"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 30 10:28:56 GMT 2021","Sat Oct 30 10:29:15 GMT 2021","18955","","Contract: PaymentSplitter once deployed","","Contract: PaymentSplitter once deployed","has total shares","has total shares",""
"failed","Sat Oct 30 10:28:46 GMT 2021","Sat Oct 30 10:28:51 GMT 2021","4713","","Contract: PaymentSplitter","","Contract: PaymentSplitter","rejects zero-valued shares","rejects zero-valued shares",""
"broken","Sat Oct 30 10:32:59 GMT 2021","Sat Oct 30 10:32:59 GMT 2021","0","","Contract: ProxyAdmin","","Contract: ProxyAdmin","""before all"" hook: set implementations for ""has an owner""","""before all"" hook: set implementations for ""has an owner""",""
"broken","Sat Oct 30 10:43:32 GMT 2021","Sat Oct 30 10:43:39 GMT 2021","7191","","Contract: MerkleProof verify","","Contract: MerkleProof verify","returns true for a valid Merkle proof","returns true for a valid Merkle proof",""
"broken","Sat Oct 30 10:36:16 GMT 2021","Sat Oct 30 10:36:28 GMT 2021","12185","","Contract: ERC20Burnable burn when the given amount is not greater than balance of the sender for a zero amount","","Contract: ERC20Burnable burn when the given amount is not greater than balance of the sender for a zero amount","burns the requested amount","burns the requested amount",""
"broken","Sat Oct 30 10:47:40 GMT 2021","Sat Oct 30 10:47:52 GMT 2021","12117","","Contract: TimersBlockNumber","","Contract: TimersBlockNumber","unset","unset",""
"broken","Sat Oct 30 10:46:01 GMT 2021","Sat Oct 30 10:46:20 GMT 2021","19521","","Contract: MulticallToken","","Contract: MulticallToken","batches function calls","batches function calls",""
"passed","Sat Oct 30 10:04:21 GMT 2021","Sat Oct 30 10:04:21 GMT 2021","25","","org.neonlabs.compatibility.ConnectionKtTest","","org.neonlabs.compatibility.ConnectionKtTest","shouldWork","shouldWork()","allure description"
"broken","Sat Oct 30 10:45:02 GMT 2021","Sat Oct 30 10:45:25 GMT 2021","22897","","Contract: ERC1820Implementer with no registered interfaces","","Contract: ERC1820Implementer with no registered interfaces","returns false when interface implementation is queried","returns false when interface implementation is queried",""
"broken","Sat Oct 30 10:45:43 GMT 2021","Sat Oct 30 10:45:52 GMT 2021","9357","","Contract: SafeMath with flag add","","Contract: SafeMath with flag add","adds correctly","adds correctly",""
"passed","Sat Oct 30 10:07:04 GMT 2021","Sat Oct 30 10:07:04 GMT 2021","4","tests.truffle","test_truffle","","","","test_truffle_test",""
"broken","Sat Oct 30 10:46:45 GMT 2021","Sat Oct 30 10:46:52 GMT 2021","6659","","Contract: BitMap","","Contract: BitMap","starts empty","starts empty",""
"broken","Sat Oct 30 10:43:49 GMT 2021","Sat Oct 30 10:44:00 GMT 2021","11215","","Contract: ConditionalEscrow when withdrawal is allowed as an escrow deposits","","Contract: ConditionalEscrow when withdrawal is allowed as an escrow deposits","can accept a single deposit","can accept a single deposit",""
"passed","Sat Oct 30 10:07:03 GMT 2021","Sat Oct 30 10:07:03 GMT 2021","7","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"broken","Sat Oct 30 10:39:02 GMT 2021","Sat Oct 30 10:39:13 GMT 2021","10328","","Contract: SafeERC20 with token that returns no boolean values","","Contract: SafeERC20 with token that returns no boolean values","doesn't revert on transfer","doesn't revert on transfer",""
"skipped","Sat Oct 30 10:07:03 GMT 2021","Sat Oct 30 10:07:03 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"broken","Sat Oct 30 10:39:38 GMT 2021","Sat Oct 30 10:39:55 GMT 2021","16978","","Contract: ERC721Enumerable Contract interface ERC165 ERC165's supportsInterface(bytes4)","","Contract: ERC721Enumerable Contract interface ERC165 ERC165's supportsInterface(bytes4)","uses less than 30k gas [skip-on-coverage]","uses less than 30k gas [skip-on-coverage]",""
"broken","Sat Oct 30 10:42:42 GMT 2021","Sat Oct 30 10:42:51 GMT 2021","8879","","Contract: Context msgSender","","Contract: Context msgSender","returns the transaction sender when called from an EOA","returns the transaction sender when called from an EOA",""
"broken","Sat Oct 30 10:45:31 GMT 2021","Sat Oct 30 10:45:43 GMT 2021","11068","","Contract: SafeCast toUint8","","Contract: SafeCast toUint8","downcasts 0","downcasts 0",""
"passed","Sat Oct 30 10:07:03 GMT 2021","Sat Oct 30 10:07:03 GMT 2021","6","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"passed","Sat Oct 30 10:04:20 GMT 2021","Sat Oct 30 10:04:21 GMT 2021","601","","org.neonlabs.compatibility.ConnectionTest","","org.neonlabs.compatibility.ConnectionTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection web3j"
"broken","Sat Oct 30 10:39:13 GMT 2021","Sat Oct 30 10:39:25 GMT 2021","12163","","Contract: TokenTimelock with token","","Contract: TokenTimelock with token","rejects a release time in the past","rejects a release time in the past",""
"broken","Sat Oct 30 10:36:44 GMT 2021","Sat Oct 30 10:36:58 GMT 2021","14055","","Contract: ERC20FlashMint maxFlashLoan","","Contract: ERC20FlashMint maxFlashLoan","token match","token match",""
"broken","Sat Oct 30 10:41:22 GMT 2021","Sat Oct 30 10:41:29 GMT 2021","6422","","Contract: ERC777 with no default operators","","Contract: ERC777 with no default operators","default operators list is empty","default operators list is empty",""
"broken","Sat Oct 30 10:38:21 GMT 2021","Sat Oct 30 10:38:21 GMT 2021","0","","Contract: ERC20PresetFixedSupply","","Contract: ERC20PresetFixedSupply","""before all"" hook for ""deployer has the balance equal to initial supply""","""before all"" hook for ""deployer has the balance equal to initial supply""",""
"broken","Sat Oct 30 10:42:12 GMT 2021","Sat Oct 30 10:42:23 GMT 2021","10512","","Contract: Arrays findUpperBound Odd number of elements","","Contract: Arrays findUpperBound Odd number of elements","returns correct index for the basic case","returns correct index for the basic case",""
"broken","Sat Oct 30 10:42:23 GMT 2021","Sat Oct 30 10:42:31 GMT 2021","8779","","Contract: Arrays findUpperBound Array with gap","","Contract: Arrays findUpperBound Array with gap","returns index of first element in next filled range","returns index of first element in next filled range",""
"broken","Sat Oct 30 10:38:21 GMT 2021","Sat Oct 30 10:38:36 GMT 2021","15688","","Contract: ERC20PresetMinterPauser","","Contract: ERC20PresetMinterPauser","deployer has the default admin role","deployer has the default admin role",""
"broken","Sat Oct 30 10:33:09 GMT 2021","Sat Oct 30 10:33:19 GMT 2021","9400","","Contract: Initializable basic testing without inheritance before initialize","","Contract: Initializable basic testing without inheritance before initialize","initializer has not run","initializer has not run",""
"broken","Sat Oct 30 10:04:01 GMT 2021","Sat Oct 30 10:04:03 GMT 2021","1944","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"broken","Sat Oct 30 10:36:58 GMT 2021","Sat Oct 30 10:37:12 GMT 2021","13823","","Contract: ERC20Pausable pausable token transfer","","Contract: ERC20Pausable pausable token transfer","allows to transfer when unpaused","allows to transfer when unpaused",""
"broken","Sat Oct 30 10:38:36 GMT 2021","Sat Oct 30 10:38:47 GMT 2021","10318","","Contract: SafeERC20 with address that has no contract code","","Contract: SafeERC20 with address that has no contract code","reverts on transfer","reverts on transfer",""
"failed","Sat Oct 30 10:04:20 GMT 2021","Sat Oct 30 10:04:21 GMT 2021","733","","org.neonlabs.compatibility.ConnectionKtTest","","org.neonlabs.compatibility.ConnectionKtTest","shouldConnectToNetwork","shouldConnectToNetwork()","Connection"
"broken","Sat Oct 30 10:03:47 GMT 2021","Sat Oct 30 10:03:49 GMT 2021","2054","Ethers.js","","","","","shouldCountTransactions",""
"broken","Sat Oct 30 10:43:49 GMT 2021","Sat Oct 30 10:43:49 GMT 2021","0","","Contract: SignatureChecker (ERC1271)","","Contract: SignatureChecker (ERC1271)","""before all"" hook: deploying in ""Contract: SignatureChecker (ERC1271)""","""before all"" hook: deploying in ""Contract: SignatureChecker (ERC1271)""",""
"broken","Sat Oct 30 10:03:56 GMT 2021","Sat Oct 30 10:03:56 GMT 2021","5","ethjs","","","","","test01",""
"broken","Sat Oct 30 10:44:26 GMT 2021","Sat Oct 30 10:44:35 GMT 2021","8793","","Contract: ERC165 Contract interface ERC165 ERC165's supportsInterface(bytes4)","","Contract: ERC165 Contract interface ERC165 ERC165's supportsInterface(bytes4)","uses less than 30k gas [skip-on-coverage]","uses less than 30k gas [skip-on-coverage]",""
"broken","Sat Oct 30 10:32:31 GMT 2021","Sat Oct 30 10:32:31 GMT 2021","0","","Contract: Clones clone","","Contract: Clones clone","""before all"" hook: deploy implementation in ""clone""","""before all"" hook: deploy implementation in ""clone""",""
"broken","Sat Oct 30 10:40:08 GMT 2021","Sat Oct 30 10:40:25 GMT 2021","17223","","Contract: ERC721Pausable when token is paused","","Contract: ERC721Pausable when token is paused","reverts when trying to transferFrom","reverts when trying to transferFrom",""
"broken","Sat Oct 30 10:37:24 GMT 2021","Sat Oct 30 10:37:41 GMT 2021","16548","","Contract: ERC20Votes","","Contract: ERC20Votes","initial nonce is 0","initial nonce is 0",""
