"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 05 11:02:56 GMT 2022","Wed Jan 05 11:03:00 GMT 2022","4187","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits a Transfer event",""
"passed","Wed Jan 05 10:53:36 GMT 2022","Wed Jan 05 10:53:39 GMT 2022","3056","Contract: TokenTimelock","with token","once deployed","","","cannot be released just before time limit",""
"passed","Wed Jan 05 11:07:42 GMT 2022","Wed Jan 05 11:07:45 GMT 2022","3049","Contract: ERC721Enumerable","with minted tokens","safe mint > via safeMint > to a receiver contract returning unexpected value","","","reverts",""
"skipped","Wed Jan 05 10:57:44 GMT 2022","Wed Jan 05 10:57:44 GMT 2022","0","Contract: Governor","Proposal length","","","","missmatch #3",""
"passed","Wed Jan 05 10:52:58 GMT 2022","Wed Jan 05 10:53:00 GMT 2022","1522","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender does not have enough balance","","","reverts",""
"broken","Wed Jan 05 10:55:31 GMT 2022","Wed Jan 05 10:55:31 GMT 2022","0","Contract: GovernorTimelockControl","updateTimelock","using workflow","","","""after each"" hook for ""run""",""
"passed","Wed Jan 05 10:52:05 GMT 2022","Wed Jan 05 10:52:07 GMT 2022","1358","Contract: ERC20Capped","once deployed","capped token","","","starts with the correct cap",""
"passed","Wed Jan 05 11:04:04 GMT 2022","Wed Jan 05 11:04:07 GMT 2022","2841","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when the sender is not authorized for the token id","","","reverts",""
"failed","Wed Jan 05 10:52:19 GMT 2022","Wed Jan 05 10:52:39 GMT 2022","20181","Contract: GovernorTimelockCompound","to late","","","","run",""
"passed","Wed Jan 05 10:49:38 GMT 2022","Wed Jan 05 10:49:41 GMT 2022","2402","Contract: UUPSUpgradeable","","","","","upgrade to upgradeable implementation",""
"passed","Wed Jan 05 10:58:38 GMT 2022","Wed Jan 05 10:58:40 GMT 2022","1458","Contract: SafeCast","toInt64","","","","downcasts 0",""
"passed","Wed Jan 05 11:09:06 GMT 2022","Wed Jan 05 11:09:08 GMT 2022","2080","Contract: ERC721Enumerable","with minted tokens","getApproved > when token has been minted ","","","should return the zero address",""
"passed","Wed Jan 05 10:51:05 GMT 2022","Wed Jan 05 10:51:08 GMT 2022","2876","Contract: ERC20","set decimals","","","","can set decimals during construction",""
"passed","Wed Jan 05 10:50:03 GMT 2022","Wed Jan 05 10:50:04 GMT 2022","1794","Contract: ReentrancyGuard","","","","","does not allow local recursion",""
"broken","Wed Jan 05 10:55:36 GMT 2022","Wed Jan 05 10:55:38 GMT 2022","2194","Contract: ERC777","relative order of hooks","","","","send",""
"passed","Wed Jan 05 10:56:06 GMT 2022","Wed Jan 05 10:56:07 GMT 2022","1243","Contract: ECDSA","recover with invalid signature","","","","with long signature",""
"passed","Wed Jan 05 11:02:50 GMT 2022","Wed Jan 05 11:02:54 GMT 2022","4026","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","clears the approval for the token ID",""
"passed","Wed Jan 05 10:55:44 GMT 2022","Wed Jan 05 10:55:45 GMT 2022","1166","Contract: Address","sendValue","when sender contract has no funds","","","reverts when sending non-zero amounts",""
"passed","Wed Jan 05 10:49:13 GMT 2022","Wed Jan 05 10:49:16 GMT 2022","3888","Contract: UpgradeableBeacon","once deployed","","","","cannot be upgraded by other account",""
"passed","Wed Jan 05 10:48:08 GMT 2022","Wed Jan 05 10:48:10 GMT 2022","2284","Contract: AccessControl","granting","","","","accounts can be granted a role multiple times",""
"passed","Wed Jan 05 11:03:16 GMT 2022","Wed Jan 05 11:03:20 GMT 2022","4441","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"broken","Wed Jan 05 10:53:15 GMT 2022","Wed Jan 05 10:53:15 GMT 2022","0","Contract: GovernorTimelockControl","executed by other proposer","","","","""after each"" hook for ""run""",""
"passed","Wed Jan 05 10:53:04 GMT 2022","Wed Jan 05 10:53:07 GMT 2022","2889","Contract: ERC20","deposit","","","","missing approval",""
"skipped","Wed Jan 05 10:48:29 GMT 2022","Wed Jan 05 10:48:29 GMT 2022","0","Contract: TimelockController","usage scenario","","","","call reverting",""
"passed","Wed Jan 05 10:53:17 GMT 2022","Wed Jan 05 10:53:19 GMT 2022","2560","Contract: ERC20","_approve","when the spender is not the zero address > when the sender does not have enough balance","","","emits an approval event",""
