"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 10:21:35 GMT 2022","Wed Feb 02 10:22:03 GMT 2022","27515","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered from",""
"passed","Wed Feb 02 10:27:44 GMT 2022","Wed Feb 02 10:27:59 GMT 2022","14460","Contract: Create2","deploy","","","","deploys a ERC1820Implementer from inline assembly code",""
"broken","Wed Feb 02 10:35:29 GMT 2022","Wed Feb 02 10:35:29 GMT 2022","4","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Wed Feb 02 10:25:00 GMT 2022","Wed Feb 02 10:25:17 GMT 2022","17224","Contract: ERC1155Supply","after burn","single","","","exist",""
"skipped","Wed Feb 02 10:25:46 GMT 2022","Wed Feb 02 10:25:46 GMT 2022","0","Contract: ERC20VotesComp","","","","","domain separator",""
"passed","Wed Feb 02 10:26:17 GMT 2022","Wed Feb 02 10:26:37 GMT 2022","19994","Contract: ERC1155Burnable","burnBatch","","","","unapproved accounts cannot burn the holder's tokens",""
"passed","Wed Feb 02 10:22:41 GMT 2022","Wed Feb 02 10:22:57 GMT 2022","15380","Contract: ProxyAdmin","#getProxyAdmin","","","","call to invalid proxy",""
"passed","Wed Feb 02 10:23:46 GMT 2022","Wed Feb 02 10:24:00 GMT 2022","14177","Contract: ProxyAdmin","#upgrade","with unauthorized account","","","fails to upgrade",""
"skipped","Wed Feb 02 10:20:05 GMT 2022","Wed Feb 02 10:20:05 GMT 2022","0","Contract: TimelockController","usage scenario","","","","call reverting",""
"broken","Wed Feb 02 10:27:42 GMT 2022","Wed Feb 02 10:27:59 GMT 2022","17229","Contract: Address","sendValue","when sender contract has funds > with contract recipient","","","sends funds",""
"passed","Wed Feb 02 10:28:47 GMT 2022","Wed Feb 02 10:28:49 GMT 2022","1759","Contract: ERC165","Contract interface","ERC165 > supportsInterface(bytes4)","","","has to be implemented",""
"passed","Wed Feb 02 10:28:32 GMT 2022","Wed Feb 02 10:28:33 GMT 2022","477","Contract: SignatureChecker (ERC1271)","ERC1271 wallet","","","","with invalid signer",""
"broken","Wed Feb 02 10:35:02 GMT 2022","Wed Feb 02 10:35:02 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Wed Feb 02 10:29:26 GMT 2022","Wed Feb 02 10:29:32 GMT 2022","6602","Contract: ERC165Checker","ERC165 not supported","","","","does not support ERC165",""
"passed","Wed Feb 02 10:27:28 GMT 2022","Wed Feb 02 10:27:44 GMT 2022","15877","Contract: StorageSlot","boolean storage slot","","","","set",""
"passed","Wed Feb 02 10:28:37 GMT 2022","Wed Feb 02 10:28:41 GMT 2022","4496","Contract: Escrow","as an escrow","deposits","","","can accept a single deposit",""
"broken","Wed Feb 02 10:32:30 GMT 2022","Wed Feb 02 10:32:30 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"passed","Wed Feb 02 10:27:02 GMT 2022","Wed Feb 02 10:27:13 GMT 2022","11025","Contract: Address","sendValue","when sender contract has funds","","","sends non-zero amounts",""
"skipped","Wed Feb 02 10:25:46 GMT 2022","Wed Feb 02 10:25:46 GMT 2022","0","Contract: ERC20VotesComp","set delegation","with signature","","","rejects reused signature",""
"broken","Wed Feb 02 10:35:01 GMT 2022","Wed Feb 02 10:35:01 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Wed Feb 02 10:25:54 GMT 2022","Wed Feb 02 10:26:04 GMT 2022","9860","Contract: ERC721","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Wed Feb 02 10:20:53 GMT 2022","Wed Feb 02 10:21:07 GMT 2022","13176","Contract: AccessControl","revoking","","","","roles that are not had can be revoked",""
"broken","Wed Feb 02 10:37:36 GMT 2022","Wed Feb 02 10:37:36 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
