"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 07 10:26:40 GMT 2022","Fri Jan 07 10:26:47 GMT 2022","6183","Contract: TransparentUpgradeableProxy","upgradeToAndCall","with migrations > when the sender is not the admin","","","reverts",""
"passed","Fri Jan 07 10:54:48 GMT 2022","Fri Jan 07 10:54:58 GMT 2022","9804","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits a Transfer event",""
"passed","Fri Jan 07 11:14:08 GMT 2022","Fri Jan 07 11:14:13 GMT 2022","5482","Contract: ERC721Enumerable","_mint(address, uint256)","with minted token","","","adjusts owner tokens by index",""
"passed","Fri Jan 07 10:36:55 GMT 2022","Fri Jan 07 10:37:26 GMT 2022","31279","Contract: Governor","Settings update","setVotingPeriod to 0","","","run",""
"skipped","Fri Jan 07 10:28:45 GMT 2022","Fri Jan 07 10:28:45 GMT 2022","0","Contract: ERC20VotesComp","change delegation","","","","call",""
"passed","Fri Jan 07 10:53:56 GMT 2022","Fri Jan 07 10:54:06 GMT 2022","9716","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the approved individual","","","clears the approval for the token ID",""
"passed","Fri Jan 07 10:37:21 GMT 2022","Fri Jan 07 10:37:43 GMT 2022","21903","Contract: ConditionalEscrow","when withdrawal is allowed","as an escrow > deposits","","","can accept a single deposit",""
"passed","Fri Jan 07 10:39:02 GMT 2022","Fri Jan 07 10:39:06 GMT 2022","3635","Contract: SignedSafeMath","add","","","","reverts on positive addition overflow",""
"passed","Fri Jan 07 10:39:35 GMT 2022","Fri Jan 07 10:39:38 GMT 2022","3310","Contract: SafeCast","toUint96","","","","reverts when downcasting 2^96 (79228162514264337593543950336)",""
"passed","Fri Jan 07 11:02:55 GMT 2022","Fri Jan 07 11:03:07 GMT 2022","11383","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when sent to the owner","","","keeps the owner balance",""
"passed","Fri Jan 07 10:29:58 GMT 2022","Fri Jan 07 10:30:09 GMT 2022","10823","Contract: ERC20","withdraw","","","","missing balance",""
"passed","Fri Jan 07 10:53:25 GMT 2022","Fri Jan 07 10:53:37 GMT 2022","12317","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner","","","adjusts owners tokens by index",""
"passed","Fri Jan 07 10:22:51 GMT 2022","Fri Jan 07 10:22:55 GMT 2022","3614","Contract: BeaconProxy","initialization","","","","reverting initialization",""
"failed","Fri Jan 07 10:25:52 GMT 2022","Fri Jan 07 10:26:15 GMT 2022","22879","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Fri Jan 07 10:33:52 GMT 2022","Fri Jan 07 10:33:52 GMT 2022","0","Contract: GovernorTimelockControl","updateTimelock","using workflow","","","""after each"" hook for ""run""",""
"passed","Fri Jan 07 10:51:58 GMT 2022","Fri Jan 07 10:52:11 GMT 2022","12952","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when the given token ID does not exist","","","reverts",""
"passed","Fri Jan 07 10:53:59 GMT 2022","Fri Jan 07 10:54:09 GMT 2022","10075","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits an Approval event",""
"passed","Fri Jan 07 10:35:31 GMT 2022","Fri Jan 07 10:35:33 GMT 2022","2708","Contract: ERC721PresetMinterPauserAutoId","Contract interface","AccessControlEnumerable > getRoleMember(bytes32,uint256)","","","has to be implemented",""
"passed","Fri Jan 07 10:20:04 GMT 2022","Fri Jan 07 10:20:11 GMT 2022","7486","Contract: PaymentSplitter","once deployed","release > Ether","","","reverts if non-payee want to claim",""
"passed","Fri Jan 07 10:32:42 GMT 2022","Fri Jan 07 10:32:51 GMT 2022","9622","Contract: ERC20","erc20 behaviour","transfer > when the recipient is the zero address","","","reverts",""
"passed","Fri Jan 07 10:21:22 GMT 2022","Fri Jan 07 10:21:22 GMT 2022","2","migrate-imports.js","","","","","replaces import paths in a file",""
"skipped","Fri Jan 07 10:37:57 GMT 2022","Fri Jan 07 10:37:57 GMT 2022","0","Contract: Governor","Settings update","update protected","","","setVotingPeriod",""
"passed","Fri Jan 07 10:27:55 GMT 2022","Fri Jan 07 10:28:07 GMT 2022","11966","Contract: TransparentUpgradeableProxy","regression","","","","should change function signature",""
"passed","Fri Jan 07 10:41:18 GMT 2022","Fri Jan 07 10:41:29 GMT 2022","11518","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"passed","Fri Jan 07 11:11:50 GMT 2022","Fri Jan 07 11:11:53 GMT 2022","2642","Contract: ERC721Enumerable","Contract interface","ERC721Metadata > name()","","","has to be implemented",""
"passed","Fri Jan 07 10:29:50 GMT 2022","Fri Jan 07 10:29:59 GMT 2022","8853","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when called by an operator on behalf of the multiTokenHolder > when operator is approved by multiTokenHolder","","","emits a TransferBatch log",""
"passed","Fri Jan 07 10:34:52 GMT 2022","Fri Jan 07 10:35:10 GMT 2022","17339","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the operator","","","clears the approval for the token ID",""
"passed","Fri Jan 07 10:19:16 GMT 2022","Fri Jan 07 10:19:18 GMT 2022","1349","Contract: PaymentSplitter","","","","","rejects null payees",""
"passed","Fri Jan 07 10:40:06 GMT 2022","Fri Jan 07 10:40:09 GMT 2022","2916","Contract: SafeMath","with default revert message","div","","","returns complete number result on non-even division",""
"skipped","Fri Jan 07 10:28:45 GMT 2022","Fri Jan 07 10:28:45 GMT 2022","0","Contract: ERC20VotesComp","getPastTotalSupply","","","","returns the latest block if >= last checkpoint block",""
"passed","Fri Jan 07 10:42:25 GMT 2022","Fri Jan 07 10:42:28 GMT 2022","2906","Contract: SafeCast","toInt128","","","","reverts when downcasting -2^127 - 1 (-170141183460469231731687303715884105729)",""
"skipped","Fri Jan 07 10:19:12 GMT 2022","Fri Jan 07 10:19:12 GMT 2022","0","Contract: TimelockController","methods","batch > schedule","","","length of batch parameter must match #1",""
"passed","Fri Jan 07 10:44:34 GMT 2022","Fri Jan 07 10:44:45 GMT 2022","10644","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","emits a Transfer event",""
"passed","Fri Jan 07 10:32:18 GMT 2022","Fri Jan 07 10:32:20 GMT 2022","2585","Contract: ERC721Enumerable","Contract interface","ERC721 > transferFrom(address,address,uint256)","","","has to be implemented",""
"passed","Fri Jan 07 10:35:20 GMT 2022","Fri Jan 07 10:35:49 GMT 2022","29206","Contract: Governor","Cancel","After execution","","","run",""
"broken","Fri Jan 07 10:34:35 GMT 2022","Fri Jan 07 10:34:41 GMT 2022","6092","Contract: ERC777","relative order of hooks","","","","send",""
"passed","Fri Jan 07 11:08:44 GMT 2022","Fri Jan 07 11:08:53 GMT 2022","8498","Contract: ERC721","with minted tokens","setApprovalForAll > when the operator willing to approve is not the owner > when the operator was already approved","","","keeps the approval to the given address",""
"passed","Fri Jan 07 10:35:57 GMT 2022","Fri Jan 07 10:36:02 GMT 2022","4922","Contract: ERC721PresetMinterPauserAutoId","pausing","","","","cannot mint while paused",""
"passed","Fri Jan 07 10:32:55 GMT 2022","Fri Jan 07 10:33:03 GMT 2022","8876","Contract: ERC721Pausable","when token is paused","","","","reverts when trying to burn",""
"passed","Fri Jan 07 10:27:55 GMT 2022","Fri Jan 07 10:28:00 GMT 2022","5012","Contract: ERC20Burnable","burnFrom","when the given amount is greater than the allowance","","","reverts",""
"passed","Fri Jan 07 11:10:26 GMT 2022","Fri Jan 07 11:10:29 GMT 2022","2462","Contract: ERC721","Contract interface","ERC721Metadata > tokenURI(uint256)","","","has to be implemented",""
"passed","Fri Jan 07 11:11:05 GMT 2022","Fri Jan 07 11:11:11 GMT 2022","5307","Contract: ERC721Enumerable","_mint(address, uint256)","with minted token","","","reverts when adding a token id that already exists",""
"passed","Fri Jan 07 10:30:01 GMT 2022","Fri Jan 07 10:30:34 GMT 2022","33157","Contract: Governor","scenario","quorum not reached","","","run",""
"passed","Fri Jan 07 10:24:53 GMT 2022","Fri Jan 07 10:24:59 GMT 2022","5762","Contract: ERC1155","like an ERC1155","setApprovalForAll","","","reverts if attempting to approve self as an operator",""
"passed","Fri Jan 07 10:35:13 GMT 2022","Fri Jan 07 10:35:16 GMT 2022","2801","Contract: Arrays","findUpperBound","Odd number of elements","","","returns 0 for the first element",""
"passed","Fri Jan 07 10:26:18 GMT 2022","Fri Jan 07 10:26:37 GMT 2022","19225","Contract: GovernorTimelockControl","Contract interface","Governor > castVote(uint256,uint8)","","","has to be implemented",""
"passed","Fri Jan 07 10:36:19 GMT 2022","Fri Jan 07 10:36:22 GMT 2022","3406","Contract: Strings","from uint256 - decimal format","","","","converts 0",""
"broken","Fri Jan 07 10:26:18 GMT 2022","Fri Jan 07 10:26:18 GMT 2022","0","Contract: GovernorTimelockCompound","nominal","","","","""after each"" hook for ""run""",""
"passed","Fri Jan 07 10:32:06 GMT 2022","Fri Jan 07 10:32:15 GMT 2022","9778","Contract: ERC20","erc20 behaviour","transfer > when the recipient is not the zero address > when the sender transfers all balance","","","emits a transfer event",""
"passed","Fri Jan 07 11:11:55 GMT 2022","Fri Jan 07 11:11:58 GMT 2022","2492","Contract: ERC721Enumerable","Contract interface","ERC721Metadata > tokenURI(uint256)","","","has to be implemented",""
"passed","Fri Jan 07 10:25:54 GMT 2022","Fri Jan 07 10:26:03 GMT 2022","9134","Contract: ERC1155","like an ERC1155","safeTransferFrom > when called by the multiTokenHolder","","","preserves existing balances which are not transferred by multiTokenHolder",""
"passed","Fri Jan 07 10:40:57 GMT 2022","Fri Jan 07 10:41:07 GMT 2022","9754","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the operator","","","adjusts owners balances",""
"passed","Fri Jan 07 11:08:30 GMT 2022","Fri Jan 07 11:08:39 GMT 2022","8918","Contract: ERC721Enumerable","with minted tokens","approve > when approving a non-zero address > when there was a prior approval to a different address","","","sets the approval for the target address",""
"passed","Fri Jan 07 10:33:27 GMT 2022","Fri Jan 07 10:33:34 GMT 2022","7289","Contract: SafeERC20","with token that returns no boolean values","approvals > with zero allowance","","","reverts when decreasing the allowance",""
"passed","Fri Jan 07 10:30:11 GMT 2022","Fri Jan 07 10:30:15 GMT 2022","4093","Contract: ERC20PresetMinterPauser","","","","","deployer has the default admin role",""
"passed","Fri Jan 07 10:32:26 GMT 2022","Fri Jan 07 10:32:33 GMT 2022","6955","Contract: ERC721Pausable","when token is paused","","","","reverts when trying to transferFrom",""
"passed","Fri Jan 07 10:39:18 GMT 2022","Fri Jan 07 10:39:21 GMT 2022","2920","Contract: SignedSafeMath","sub","","","","reverts on negative subtraction overflow",""
"passed","Fri Jan 07 10:21:57 GMT 2022","Fri Jan 07 10:22:01 GMT 2022","4480","Contract: MinimalForwarder","with message","execute > invalid signature","","","tampered from",""
"passed","Fri Jan 07 10:41:47 GMT 2022","Fri Jan 07 10:41:50 GMT 2022","2831","Contract: SafeCast","toInt64","","","","downcasts 1",""
"passed","Fri Jan 07 10:43:07 GMT 2022","Fri Jan 07 10:43:22 GMT 2022","14866","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","adjusts owners tokens by index",""
"passed","Fri Jan 07 10:33:10 GMT 2022","Fri Jan 07 10:33:13 GMT 2022","2544","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > safeBatchTransferFrom(address,address,uint256[],uint256[],bytes)","","","has to be implemented",""
"passed","Fri Jan 07 10:25:36 GMT 2022","Fri Jan 07 10:25:47 GMT 2022","11360","Contract: ERC1155Holder","","","","","receives ERC1155 tokens from a single ID",""
"passed","Fri Jan 07 10:41:09 GMT 2022","Fri Jan 07 10:41:12 GMT 2022","2781","Contract: SafeCast","toInt16","","","","reverts when downcasting -2^15 - 2 (-32770)",""
"skipped","Fri Jan 07 10:28:45 GMT 2022","Fri Jan 07 10:28:45 GMT 2022","0","Contract: ERC20VotesComp","getPastTotalSupply","","","","generally returns the voting balance at the appropriate checkpoint",""
"passed","Fri Jan 07 10:33:57 GMT 2022","Fri Jan 07 10:34:04 GMT 2022","7511","Contract: SafeERC20","with token that returns no boolean values","approvals > with non-zero allowance","","","doesn't revert when decreasing the allowance to a positive value",""
"passed","Fri Jan 07 10:26:18 GMT 2022","Fri Jan 07 10:26:44 GMT 2022","25892","Contract: GovernorTimelockCompound","not queued","","","","run",""
"passed","Fri Jan 07 10:20:16 GMT 2022","Fri Jan 07 10:20:22 GMT 2022","5658","Contract: AccessControl","renouncing","with granted role","","","bearer can renounce role",""
"broken","Fri Jan 07 10:33:25 GMT 2022","Fri Jan 07 10:33:52 GMT 2022","27182","Contract: GovernorTimelockControl","updateTimelock","using workflow","","","run",""
"passed","Fri Jan 07 10:21:32 GMT 2022","Fri Jan 07 10:21:36 GMT 2022","3945","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered to",""
"passed","Fri Jan 07 10:41:58 GMT 2022","Fri Jan 07 10:42:09 GMT 2022","10709","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the operator","","","adjusts owners tokens by index",""
"passed","Fri Jan 07 10:23:58 GMT 2022","Fri Jan 07 10:24:05 GMT 2022","6919","Contract: Pausable","when unpaused","when paused > unpausing","","","is unpausable by the pauser",""
"passed","Fri Jan 07 11:05:50 GMT 2022","Fri Jan 07 11:05:59 GMT 2022","8819","Contract: ERC721","with minted tokens","safe mint > via safeMint > to a receiver contract that panics","","","reverts",""
"skipped","Fri Jan 07 10:19:12 GMT 2022","Fri Jan 07 10:19:12 GMT 2022","0","Contract: TimelockController","methods","batch > execute","","","partial execution",""
