"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 11 04:03:52 GMT 2022","Fri Feb 11 04:03:52 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Fri Feb 11 04:09:00 GMT 2022","Fri Feb 11 04:09:00 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"passed","Fri Feb 11 03:52:36 GMT 2022","Fri Feb 11 03:52:37 GMT 2022","693","Contract: PaymentSplitter","","","","","rejects zero-valued shares",""
"broken","Fri Feb 11 03:54:42 GMT 2022","Fri Feb 11 03:54:44 GMT 2022","1851","Contract: TimersBlockNumber","","","","","unset",""
"broken","Fri Feb 11 03:52:33 GMT 2022","Fri Feb 11 03:52:36 GMT 2022","2861","Contract: Ownable","","","","","has an owner",""
"skipped","Fri Feb 11 03:52:43 GMT 2022","Fri Feb 11 03:52:43 GMT 2022","0","Contract: TimelockController","methods","cancel","","","prevent non-proposer from canceling",""
"broken","Fri Feb 11 03:54:04 GMT 2022","Fri Feb 11 03:54:07 GMT 2022","2524","Contract: ERC721Enumerable","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"broken","Fri Feb 11 04:06:24 GMT 2022","Fri Feb 11 04:06:24 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Fri Feb 11 03:53:11 GMT 2022","Fri Feb 11 03:53:11 GMT 2022","0","Contract: TransparentUpgradeableProxy","","","","","""before all"" hook: deploy implementation for ""cannot be initialized with a non-contract address""",""
"skipped","Fri Feb 11 03:52:48 GMT 2022","Fri Feb 11 03:52:48 GMT 2022","0","Contract: GovernorTimelockControl","","","","","doesn't accept ether transfers",""
"broken","Fri Feb 11 04:09:00 GMT 2022","Fri Feb 11 04:09:00 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"broken","Fri Feb 11 03:54:17 GMT 2022","Fri Feb 11 03:54:19 GMT 2022","2026","Contract: ERC721Holder","","","","","receives an ERC721 token",""
"broken","Fri Feb 11 04:06:25 GMT 2022","Fri Feb 11 04:06:25 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Fri Feb 11 03:54:31 GMT 2022","Fri Feb 11 03:54:33 GMT 2022","2373","Contract: Create2","computeAddress","","","","computes the correct contract address",""
"broken","Fri Feb 11 03:54:36 GMT 2022","Fri Feb 11 03:54:38 GMT 2022","1591","Contract: Arrays","findUpperBound","Empty array","","","always returns 0 for empty array",""
"passed","Fri Feb 11 03:52:35 GMT 2022","Fri Feb 11 03:52:36 GMT 2022","782","Contract: PaymentSplitter","","","","","rejects null payees",""
"skipped","Fri Feb 11 03:53:46 GMT 2022","Fri Feb 11 03:53:46 GMT 2022","0","Contract: ERC20Votes","set delegation","with signature","","","accept signed delegation",""
"broken","Fri Feb 11 03:52:54 GMT 2022","Fri Feb 11 03:52:57 GMT 2022","2801","Contract: MinimalForwarder","with message","verify > valid signature","","","success",""
"skipped","Fri Feb 11 03:52:43 GMT 2022","Fri Feb 11 03:52:43 GMT 2022","1","Contract: TimelockController","","","","","initial state",""
"broken","Fri Feb 11 03:55:21 GMT 2022","Fri Feb 11 03:55:23 GMT 2022","2108","Contract: SignedSafeMath","add","","","","adds correctly if it does not overflow and the result is negative",""
"skipped","Fri Feb 11 03:53:49 GMT 2022","Fri Feb 11 03:53:49 GMT 2022","0","Contract: ERC20VotesComp","transfers","","","","no delegation",""
"skipped","Fri Feb 11 03:52:43 GMT 2022","Fri Feb 11 03:52:43 GMT 2022","0","Contract: TimelockController","methods","batch > execute > with scheduled operation > on time","","","length mismatch #1",""
"broken","Fri Feb 11 04:08:57 GMT 2022","Fri Feb 11 04:08:57 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
