"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 15 08:40:56 GMT 2022","Tue Feb 15 08:41:32 GMT 2022","35289","Contract: GovernorTimelockCompound","re-queue / re-execute","","","","run",""
"passed","Tue Feb 15 09:39:26 GMT 2022","Tue Feb 15 09:39:30 GMT 2022","4020","Contract: ERC20","_burn","for a non zero account > for less amount than balance","","","decrements initialHolder balance",""
"passed","Tue Feb 15 08:00:50 GMT 2022","Tue Feb 15 08:00:54 GMT 2022","4038","Contract: AccessControl","Contract interface","AccessControl > revokeRole(bytes32,address)","","","has to be implemented",""
"passed","Tue Feb 15 09:03:03 GMT 2022","Tue Feb 15 09:03:09 GMT 2022","5993","Contract: Clones","clone","initialization without parameters > non payable > when not sending balance","","","has expected balance",""
"skipped","Tue Feb 15 09:46:23 GMT 2022","Tue Feb 15 09:46:23 GMT 2022","0","Contract: ERC20Votes","","","","","domain separator",""
"passed","Tue Feb 15 09:56:44 GMT 2022","Tue Feb 15 09:56:52 GMT 2022","8365","Contract: SafeERC20","with token that returns true on all calls","approvals > with non-zero allowance","","","doesn't revert when decreasing the allowance to a positive value",""
"passed","Tue Feb 15 09:05:35 GMT 2022","Tue Feb 15 09:05:36 GMT 2022","695","Contract: ERC1967Proxy","","","","","cannot be initialized with a non-contract address",""
"passed","Tue Feb 15 09:15:28 GMT 2022","Tue Feb 15 09:15:30 GMT 2022","2537","Contract: Initializable","basic testing without inheritance","before initialize","","","initializer has not run",""
"passed","Tue Feb 15 08:11:22 GMT 2022","Tue Feb 15 08:11:37 GMT 2022","14593","Contract: Governor","Contract interface","Governor > castVote(uint256,uint8)","","","has to be implemented",""
"skipped","Tue Feb 15 08:30:06 GMT 2022","Tue Feb 15 08:30:06 GMT 2022","0","Contract: TimelockController","methods","batch > schedule","","","prevent overwritting active operation",""
"passed","Tue Feb 15 09:36:28 GMT 2022","Tue Feb 15 09:36:34 GMT 2022","5255","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is not the zero address > when the spender does not have enough approved balance > when the token owner does not have enough balance","","","reverts",""
"passed","Tue Feb 15 09:03:51 GMT 2022","Tue Feb 15 09:03:55 GMT 2022","4226","Contract: Clones","clone","initialization with parameters > payable > when not sending balance","","","has expected balance",""
