"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 07 11:42:15 GMT 2022","Fri Jan 07 11:42:15 GMT 2022","0","Contract: ERC1967Proxy","without initialization","when sending some balance","","","sets the implementation address",""
"passed","Fri Jan 07 12:03:35 GMT 2022","Fri Jan 07 12:04:04 GMT 2022","28422","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is not the zero address > when the spender has enough approved balance > when the token owner has enough balance","","","transfers the requested amount",""
"passed","Fri Jan 07 11:51:03 GMT 2022","Fri Jan 07 11:51:15 GMT 2022","11632","Contract: Pausable","when unpaused","","","","cannot take drastic measure in non-pause",""
"skipped","Fri Jan 07 11:37:34 GMT 2022","Fri Jan 07 11:37:34 GMT 2022","0","Contract: GovernorVotesQuorumFraction","","","","","deployment check",""
"passed","Fri Jan 07 11:52:06 GMT 2022","Fri Jan 07 11:52:15 GMT 2022","9255","Contract: ReentrancyGuard","","","","","does not allow remote callback",""
"passed","Fri Jan 07 11:52:40 GMT 2022","Fri Jan 07 11:52:50 GMT 2022","9752","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns amounts owned by each account in order passed",""
"passed","Fri Jan 07 12:01:14 GMT 2022","Fri Jan 07 12:02:21 GMT 2022","66986","Contract: ERC1155","like an ERC1155","safeTransferFrom > when sending to a valid receiver > without data","","","emits a TransferSingle log",""
"passed","Fri Jan 07 12:03:09 GMT 2022","Fri Jan 07 12:03:31 GMT 2022","22154","Contract: ERC20","transfer","when the recipient is not the zero address > when the sender transfers zero tokens","","","emits a transfer event",""
"broken","Fri Jan 07 11:53:07 GMT 2022","Fri Jan 07 11:53:07 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"passed","Fri Jan 07 11:58:07 GMT 2022","Fri Jan 07 11:58:18 GMT 2022","11320","Contract: ERC1155PresetMinterPauser","Contract interface","AccessControl > grantRole(bytes32,address)","","","has to be implemented",""
"passed","Fri Jan 07 11:36:51 GMT 2022","Fri Jan 07 11:36:56 GMT 2022","4741","Contract: Ownable","transfer ownership","","","","prevents non-owners from transferring",""
"skipped","Fri Jan 07 11:36:44 GMT 2022","Fri Jan 07 11:36:44 GMT 2022","0","Contract: TimelockController","methods","batch > schedule","","","prevent non-proposer from commiting",""
"passed","Fri Jan 07 12:03:31 GMT 2022","Fri Jan 07 12:03:35 GMT 2022","4000","Contract: ERC20","transfer","when the recipient is the zero address","","","reverts",""
"failed","Fri Jan 07 12:02:01 GMT 2022","Fri Jan 07 12:02:01 GMT 2022","1","Contract: GovernorTimelockCompound","re-queue / re-execute","","","","""after each"" hook for ""run""",""
"passed","Fri Jan 07 12:06:58 GMT 2022","Fri Jan 07 12:07:05 GMT 2022","6404","Contract: ERC20Snapshot","totalSupplyAt","with initial snapshot > with no supply changes after the snapshot","","","returns the current total supply",""
"passed","Fri Jan 07 11:51:41 GMT 2022","Fri Jan 07 11:52:56 GMT 2022","74816","Contract: UUPSUpgradeable","","","","","reject proxy address as implementation",""
"passed","Fri Jan 07 11:50:02 GMT 2022","Fri Jan 07 11:50:30 GMT 2022","27681","Contract: GovernorTimelockCompound","Contract interface","Governor > execute(address[],uint256[],bytes[],bytes32)","","","has to be implemented",""
"passed","Fri Jan 07 11:41:40 GMT 2022","Fri Jan 07 11:41:40 GMT 2022","2","migrate-imports.js","","","","","replaces import paths in a file",""
"passed","Fri Jan 07 12:06:41 GMT 2022","Fri Jan 07 12:06:58 GMT 2022","16757","Contract: ERC20Snapshot","totalSupplyAt","","","","reverts with a not-yet-created snapshot id",""
"passed","Fri Jan 07 12:09:34 GMT 2022","Fri Jan 07 12:10:18 GMT 2022","44303","Contract: ERC20","increase allowance","when the spender is not the zero address > when the sender has enough balance","","","emits an approval event",""
"passed","Fri Jan 07 12:06:47 GMT 2022","Fri Jan 07 12:07:23 GMT 2022","36418","Contract: GovernorTimelockControl","Contract interface","GovernorTimelock > proposalEta(uint256)","","","has to be implemented",""
"failed","Fri Jan 07 11:44:07 GMT 2022","Fri Jan 07 11:45:19 GMT 2022","71658","Contract: ERC2771Context","when receiving a relayed call","msgData","","","returns the relayed transaction original data",""
"passed","Fri Jan 07 11:37:25 GMT 2022","Fri Jan 07 11:37:31 GMT 2022","6137","Contract: PaymentSplitter","once deployed","shares","","","does not store shares if address is not payee",""
"passed","Fri Jan 07 12:04:39 GMT 2022","Fri Jan 07 12:04:59 GMT 2022","19640","Contract: ERC20Capped","once deployed","capped token","","","fails to mint after cap is reached",""
"broken","Fri Jan 07 12:14:29 GMT 2022","Fri Jan 07 12:14:32 GMT 2022","2840","Contract: ERC721Enumerable","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"skipped","Fri Jan 07 11:36:44 GMT 2022","Fri Jan 07 11:36:44 GMT 2022","0","Contract: TimelockController","usage scenario","","","","call nonpayable with eth",""
"broken","Fri Jan 07 12:15:02 GMT 2022","Fri Jan 07 12:15:04 GMT 2022","2876","Contract: RefundEscrow","once deployed","","","","only the owner can enter closed state",""
"passed","Fri Jan 07 11:59:54 GMT 2022","Fri Jan 07 12:00:35 GMT 2022","41385","Contract: TransparentUpgradeableProxy","transparent proxy","when function names clash","","","when sender is proxy admin should run the proxy function",""
"broken","Fri Jan 07 11:48:00 GMT 2022","Fri Jan 07 11:48:00 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"passed","Fri Jan 07 12:03:08 GMT 2022","Fri Jan 07 12:04:13 GMT 2022","65836","Contract: ERC1155","like an ERC1155","safeTransferFrom > when sending to a valid receiver > with data","","","debits transferred balance from sender",""
"broken","Fri Jan 07 11:50:32 GMT 2022","Fri Jan 07 11:50:32 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"skipped","Fri Jan 07 12:06:46 GMT 2022","Fri Jan 07 12:06:46 GMT 2022","0","Contract: ERC20Votes","getPastTotalSupply","","","","reverts if block number >= current block",""
"passed","Fri Jan 07 11:42:20 GMT 2022","Fri Jan 07 11:44:45 GMT 2022","145301","Contract: Governor","Contract interface","Governor > proposalSnapshot(uint256)","","","has to be implemented",""
"broken","Fri Jan 07 11:53:07 GMT 2022","Fri Jan 07 11:53:07 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
"passed","Fri Jan 07 12:08:11 GMT 2022","Fri Jan 07 12:08:28 GMT 2022","17504","Contract: ERC20","decrease allowance","when the spender is not the zero address > when the sender has enough balance > when the spender had an approved amount","","","reverts when more than the full allowance is removed",""
"skipped","Fri Jan 07 12:06:49 GMT 2022","Fri Jan 07 12:06:49 GMT 2022","0","Contract: ERC20VotesComp","set delegation","with signature","","","rejects bad delegatee",""
"skipped","Fri Jan 07 11:48:37 GMT 2022","Fri Jan 07 11:48:37 GMT 2022","0","Contract: TransparentUpgradeableProxy","initialization without parameters","non payable > when not sending balance","","","sets the implementation address",""
"passed","Fri Jan 07 11:41:40 GMT 2022","Fri Jan 07 11:41:40 GMT 2022","5","migrate-imports.js","","","","","every new path exists",""
"broken","Fri Jan 07 12:14:58 GMT 2022","Fri Jan 07 12:14:58 GMT 2022","0","Contract: SignatureChecker (ERC1271)","","","","","""before all"" hook: deploying in ""Contract: SignatureChecker (ERC1271)""",""
"passed","Fri Jan 07 11:48:26 GMT 2022","Fri Jan 07 11:49:31 GMT 2022","65142","Contract: GovernorTimelockCompound","Contract interface","Governor > hasVoted(uint256,address)","","","has to be implemented",""
"passed","Fri Jan 07 12:09:07 GMT 2022","Fri Jan 07 12:09:17 GMT 2022","9621","Contract: ERC20PresetMinterPauser","pausing","","","","deployer can pause",""
"passed","Fri Jan 07 12:10:32 GMT 2022","Fri Jan 07 12:10:57 GMT 2022","25617","Contract: ERC20PresetMinterPauser","pausing","","","","other accounts cannot pause",""
"passed","Fri Jan 07 12:00:25 GMT 2022","Fri Jan 07 12:01:07 GMT 2022","42026","Contract: ERC20Burnable","burn","when the given amount is not greater than balance of the sender > for a non-zero amount","","","burns the requested amount",""
"broken","Fri Jan 07 12:06:03 GMT 2022","Fri Jan 07 12:07:07 GMT 2022","64053","Contract: Governor","scenario","duplicate executed proposal","","","run",""
"passed","Fri Jan 07 11:54:03 GMT 2022","Fri Jan 07 11:54:25 GMT 2022","21489","Contract: TransparentUpgradeableProxy","upgradeToAndCall","without migrations > when the call does fail","","","reverts",""
"passed","Fri Jan 07 11:52:36 GMT 2022","Fri Jan 07 11:52:40 GMT 2022","4129","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts don't own tokens","","","returns zeros for each account",""
"passed","Fri Jan 07 12:07:15 GMT 2022","Fri Jan 07 12:07:24 GMT 2022","8572","Contract: ERC20Pausable","pausable token","transfer from","","","reverts when trying to transfer from when paused",""
"skipped","Fri Jan 07 12:06:46 GMT 2022","Fri Jan 07 12:06:46 GMT 2022","0","Contract: ERC20Votes","Compound test suite","getPastVotes","","","returns zero if < first checkpoint block",""
"passed","Fri Jan 07 11:37:52 GMT 2022","Fri Jan 07 11:38:00 GMT 2022","8020","Contract: PaymentSplitter","once deployed","release > Token","","","reverts if no funds to claim",""
"passed","Fri Jan 07 11:38:12 GMT 2022","Fri Jan 07 11:39:36 GMT 2022","83945","Contract: GovernorTimelockCompound","Contract interface","Governor > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"broken","Fri Jan 07 12:14:55 GMT 2022","Fri Jan 07 12:14:58 GMT 2022","2799","Contract: MerkleProof","verify","","","","returns true for a valid Merkle proof",""
"skipped","Fri Jan 07 12:06:46 GMT 2022","Fri Jan 07 12:06:46 GMT 2022","0","Contract: ERC20Votes","Compound test suite","balanceOf","","","grants to initial account",""
"broken","Fri Jan 07 11:59:51 GMT 2022","Fri Jan 07 12:02:00 GMT 2022","128850","Contract: GovernorTimelockCompound","re-queue / re-execute","","","","run",""
"passed","Fri Jan 07 11:36:47 GMT 2022","Fri Jan 07 11:36:47 GMT 2022","756","Contract: PaymentSplitter","","","","","rejects null payees",""
"passed","Fri Jan 07 11:59:28 GMT 2022","Fri Jan 07 11:59:36 GMT 2022","8053","Contract: TransparentUpgradeableProxy","storage","","","","should store the admin proxy in specified location",""
"passed","Fri Jan 07 12:05:56 GMT 2022","Fri Jan 07 12:06:47 GMT 2022","50402","Contract: GovernorTimelockControl","Contract interface","GovernorTimelock > timelock()","","","has to be implemented",""
"passed","Fri Jan 07 12:03:28 GMT 2022","Fri Jan 07 12:03:36 GMT 2022","7903","Contract: ERC1155PresetMinterPauser","pausing","","","","other accounts cannot pause",""
"broken","Fri Jan 07 11:54:46 GMT 2022","Fri Jan 07 11:54:46 GMT 2022","0","Contract: GovernorTimelockCompound","nominal","","","","""after each"" hook for ""run""",""
"passed","Fri Jan 07 11:48:27 GMT 2022","Fri Jan 07 11:48:53 GMT 2022","26109","Contract: Clones","cloneDeterministic","initialization without parameters > non payable > when sending some balance","","","reverts",""
"passed","Fri Jan 07 11:46:51 GMT 2022","Fri Jan 07 11:47:27 GMT 2022","36232","Contract: ProxyAdmin","#getProxyAdmin","","","","call to invalid proxy",""
"passed","Fri Jan 07 11:59:54 GMT 2022","Fri Jan 07 12:02:19 GMT 2022","144981","Contract: GovernorTimelockControl","Contract interface","Governor > castVoteBySig(uint256,uint8,uint8,bytes32,bytes32)","","","has to be implemented",""
