"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 16 10:43:57 GMT 2022","Wed Mar 16 10:43:57 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Wed Mar 16 10:46:32 GMT 2022","Wed Mar 16 10:46:32 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"broken","Wed Mar 16 10:49:06 GMT 2022","Wed Mar 16 10:49:06 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"broken","Wed Mar 16 10:49:08 GMT 2022","Wed Mar 16 10:49:08 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"broken","Wed Mar 16 10:46:30 GMT 2022","Wed Mar 16 10:46:30 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Wed Mar 16 10:49:35 GMT 2022","Wed Mar 16 10:49:43 GMT 2022","8662","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"passed","Wed Mar 16 10:49:26 GMT 2022","Wed Mar 16 10:49:34 GMT 2022","8637","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Wed Mar 16 10:49:05 GMT 2022","Wed Mar 16 10:49:05 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"broken","Wed Mar 16 10:49:05 GMT 2022","Wed Mar 16 10:49:05 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"broken","Wed Mar 16 10:49:07 GMT 2022","Wed Mar 16 10:49:07 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Wed Mar 16 10:43:59 GMT 2022","Wed Mar 16 10:43:59 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Wed Mar 16 10:46:32 GMT 2022","Wed Mar 16 10:46:32 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"broken","Wed Mar 16 10:49:05 GMT 2022","Wed Mar 16 10:49:05 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Wed Mar 16 10:43:57 GMT 2022","Wed Mar 16 10:43:57 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Wed Mar 16 10:49:07 GMT 2022","Wed Mar 16 10:49:07 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"broken","Wed Mar 16 10:43:59 GMT 2022","Wed Mar 16 10:43:59 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"broken","Wed Mar 16 10:43:58 GMT 2022","Wed Mar 16 10:43:58 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"broken","Wed Mar 16 10:43:58 GMT 2022","Wed Mar 16 10:43:58 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"failed","Wed Mar 16 10:35:09 GMT 2022","Wed Mar 16 10:38:39 GMT 2022","210178","tests.brownie","test_brownie","","","","test_brownie_connect",""
"broken","Wed Mar 16 10:49:04 GMT 2022","Wed Mar 16 10:49:04 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"broken","Wed Mar 16 10:43:56 GMT 2022","Wed Mar 16 10:43:56 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"broken","Wed Mar 16 10:46:32 GMT 2022","Wed Mar 16 10:46:32 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Wed Mar 16 10:43:56 GMT 2022","Wed Mar 16 10:43:56 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"broken","Wed Mar 16 10:46:31 GMT 2022","Wed Mar 16 10:46:31 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Wed Mar 16 10:41:25 GMT 2022","Wed Mar 16 10:41:25 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"broken","Wed Mar 16 10:49:04 GMT 2022","Wed Mar 16 10:49:04 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
"broken","Wed Mar 16 10:46:31 GMT 2022","Wed Mar 16 10:46:31 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"broken","Wed Mar 16 10:46:31 GMT 2022","Wed Mar 16 10:46:31 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"skipped","Wed Mar 16 10:49:08 GMT 2022","Wed Mar 16 10:49:08 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"broken","Wed Mar 16 10:46:30 GMT 2022","Wed Mar 16 10:46:30 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Wed Mar 16 10:49:06 GMT 2022","Wed Mar 16 10:49:06 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"broken","Wed Mar 16 10:43:56 GMT 2022","Wed Mar 16 10:43:56 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
