"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 22 14:13:01 GMT 2022","Tue Feb 22 14:13:09 GMT 2022","7998","Contract: EnumerableSet","EnumerableAddressSet","add","","","adds several values",""
"passed","Tue Feb 22 14:06:04 GMT 2022","Tue Feb 22 14:06:09 GMT 2022","4186","Contract: StorageSlot","address storage slot","get","","","from right slot",""
"passed","Tue Feb 22 13:53:19 GMT 2022","Tue Feb 22 13:53:44 GMT 2022","24854","Contract: GovernorTimelockControl","Contract interface","Governor > execute(address[],uint256[],bytes[],bytes32)","","","has to be implemented",""
"passed","Tue Feb 22 13:46:23 GMT 2022","Tue Feb 22 13:46:30 GMT 2022","6641","Contract: PaymentSplitter","once deployed","accepts payments","","","Ether",""
"passed","Tue Feb 22 13:51:20 GMT 2022","Tue Feb 22 13:51:40 GMT 2022","20122","Contract: GovernorTimelockCompound","Contract interface","Governor > castVote(uint256,uint8)","","","has to be implemented",""
"failed","Tue Feb 22 13:52:34 GMT 2022","Tue Feb 22 13:52:37 GMT 2022","3418","Contract: ERC1155PresetMinterPauser","Contract interface","ERC1155 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Tue Feb 22 14:10:27 GMT 2022","Tue Feb 22 14:10:40 GMT 2022","12470","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the operator","","","adjusts owners balances",""
"broken","Tue Feb 22 13:57:24 GMT 2022","Tue Feb 22 13:57:24 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"passed","Tue Feb 22 14:10:37 GMT 2022","Tue Feb 22 14:10:40 GMT 2022","2864","Contract: SafeMath","with default revert message","div","","","reverts on division by zero",""
"passed","Tue Feb 22 14:01:51 GMT 2022","Tue Feb 22 14:02:07 GMT 2022","16329","Contract: Governor","Cancel","Before proposal","","","run",""
"passed","Tue Feb 22 13:56:24 GMT 2022","Tue Feb 22 13:56:33 GMT 2022","8662","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom","","","reverts when transferring to zero address",""
"passed","Tue Feb 22 14:06:00 GMT 2022","Tue Feb 22 14:06:03 GMT 2022","2972","Contract: MulticallToken","","","","","bubbles up revert reasons",""
"passed","Tue Feb 22 14:25:18 GMT 2022","Tue Feb 22 14:25:29 GMT 2022","10805","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Tue Feb 22 14:10:40 GMT 2022","Tue Feb 22 14:10:56 GMT 2022","16078","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","clears the approval for the token ID",""
"passed","Tue Feb 22 14:09:26 GMT 2022","Tue Feb 22 14:09:31 GMT 2022","4875","Contract: SafeCast","toUint64","","","","downcasts 0",""
"passed","Tue Feb 22 14:39:16 GMT 2022","Tue Feb 22 14:39:27 GMT 2022","11159","Contract: ERC721Enumerable","with minted tokens","safe mint > via safeMint > to a receiver contract that reverts without message","","","reverts",""
"passed","Tue Feb 22 13:58:34 GMT 2022","Tue Feb 22 13:58:39 GMT 2022","4799","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender transfers all balance","","","transfers the requested amount",""
"passed","Tue Feb 22 14:00:06 GMT 2022","Tue Feb 22 14:00:19 GMT 2022","12999","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > to a receiver contract that reverts only on single transfers","","","emits a TransferBatch log",""
"passed","Tue Feb 22 14:44:56 GMT 2022","Tue Feb 22 14:45:01 GMT 2022","5211","Contract: ERC721Enumerable","metadata","","","","has a name",""
"broken","Tue Feb 22 13:54:15 GMT 2022","Tue Feb 22 13:54:15 GMT 2022","1","Contract: GovernorTimelockCompound","nominal","","","","""after each"" hook for ""run""",""
"passed","Tue Feb 22 14:42:14 GMT 2022","Tue Feb 22 14:42:27 GMT 2022","13137","Contract: ERC721","with minted tokens","getApproved > when token has been minted  > when account has been approved","","","returns approved account",""
"passed","Tue Feb 22 14:07:57 GMT 2022","Tue Feb 22 14:08:09 GMT 2022","11888","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the approved individual","","","emits a Transfer event",""
"broken","Tue Feb 22 13:59:56 GMT 2022","Tue Feb 22 13:59:56 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"passed","Tue Feb 22 13:48:04 GMT 2022","Tue Feb 22 13:48:19 GMT 2022","15628","Contract: GovernorTimelockCompound","Contract interface","Governor > COUNTING_MODE()","","","has to be implemented",""
"passed","Tue Feb 22 14:11:34 GMT 2022","Tue Feb 22 14:11:37 GMT 2022","3376","Contract: SignedSafeMath","div","","","","reverts on overflow, negative second",""
"passed","Tue Feb 22 13:50:12 GMT 2022","Tue Feb 22 13:50:17 GMT 2022","4745","Contract: Clones","cloneDeterministic","initialization without parameters > payable > when not sending balance","","","initializes the proxy",""
"passed","Tue Feb 22 14:12:24 GMT 2022","Tue Feb 22 14:12:29 GMT 2022","4535","Contract: EnumerableSet","EnumerableBytes32Set","remove","","","returns false when removing values not in the set",""
"passed","Tue Feb 22 14:10:13 GMT 2022","Tue Feb 22 14:10:26 GMT 2022","12588","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"passed","Tue Feb 22 14:11:32 GMT 2022","Tue Feb 22 14:11:35 GMT 2022","3366","Contract: SafeCast","toInt16","","","","downcasts 2^15 - 1 (32767)",""
"passed","Tue Feb 22 13:47:48 GMT 2022","Tue Feb 22 13:47:56 GMT 2022","8090","Contract: AccessControl","setting role admin","","","","the new admin can revoke roles",""
"passed","Tue Feb 22 13:55:11 GMT 2022","Tue Feb 22 13:55:16 GMT 2022","4181","Contract: ERC20","approve","when the spender is not the zero address > when the sender has enough balance","","","emits an approval event",""
"passed","Tue Feb 22 13:49:24 GMT 2022","Tue Feb 22 13:49:30 GMT 2022","5979","Contract: Clones","clone","initialization with parameters > payable > when not sending balance","","","has expected balance",""
"passed","Tue Feb 22 14:11:31 GMT 2022","Tue Feb 22 14:11:43 GMT 2022","12018","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when sent to the owner","","","keeps ownership of the token",""
"passed","Tue Feb 22 13:47:32 GMT 2022","Tue Feb 22 13:47:48 GMT 2022","16684","Contract: GovernorTimelockCompound","Contract interface","Governor > name()","","","has to be implemented",""
"passed","Tue Feb 22 14:04:45 GMT 2022","Tue Feb 22 14:04:55 GMT 2022","9994","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the owner without an approved user","","","clears the approval for the token ID",""
"passed","Tue Feb 22 14:08:31 GMT 2022","Tue Feb 22 14:08:38 GMT 2022","6454","Contract: ERC165Checker","ERC165 not supported","","","","does not support mock interface via getSupportedInterfaces",""
"passed","Tue Feb 22 14:10:34 GMT 2022","Tue Feb 22 14:10:37 GMT 2022","3268","Contract: ERC165Checker","account address does not support ERC165","","","","does not support mock interface via supportsAllInterfaces",""
"passed","Tue Feb 22 14:07:16 GMT 2022","Tue Feb 22 14:07:19 GMT 2022","2711","Contract: ECDSA","recover with valid signature","with v1 signature","","","works with 28 as version value",""
"passed","Tue Feb 22 13:52:36 GMT 2022","Tue Feb 22 13:52:46 GMT 2022","10543","Contract: ERC1155","like an ERC1155","safeTransferFrom > when called by the multiTokenHolder","","","debits transferred balance from sender",""
"passed","Tue Feb 22 13:50:50 GMT 2022","Tue Feb 22 13:50:54 GMT 2022","4373","Contract: Clones","cloneDeterministic","initialization with parameters > non payable > when sending some balance","","","reverts",""
"passed","Tue Feb 22 13:51:54 GMT 2022","Tue Feb 22 13:51:59 GMT 2022","4595","Contract: ERC1155Supply","after mint","batch","","","exist",""
"skipped","Tue Feb 22 13:56:12 GMT 2022","Tue Feb 22 13:56:12 GMT 2022","0","Contract: ERC20VotesComp","set delegation","with signature","","","rejects bad delegatee",""
"failed","Tue Feb 22 14:03:50 GMT 2022","Tue Feb 22 14:03:52 GMT 2022","2574","Contract: ERC721PresetMinterPauserAutoId","Contract interface","AccessControlEnumerable > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Tue Feb 22 14:15:01 GMT 2022","Tue Feb 22 14:15:15 GMT 2022","14065","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","adjusts owners tokens by index",""
"skipped","Tue Feb 22 13:53:06 GMT 2022","Tue Feb 22 13:53:06 GMT 2022","0","Contract: TransparentUpgradeableProxy","upgradeToAndCall","with migrations > when the sender is the admin > when upgrading to V1","","","calls the 'initialize' function and sends given value to the proxy",""
"passed","Tue Feb 22 14:27:49 GMT 2022","Tue Feb 22 14:28:01 GMT 2022","11864","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when sent to the owner","","","keeps same tokens by index",""
"passed","Tue Feb 22 13:46:23 GMT 2022","Tue Feb 22 13:46:26 GMT 2022","2771","Contract: AccessControl","Contract interface","AccessControl > revokeRole(bytes32,address)","","","has to be implemented",""
"passed","Tue Feb 22 13:59:52 GMT 2022","Tue Feb 22 13:59:55 GMT 2022","2501","Contract: ERC721Enumerable","Contract interface","ERC721 > ownerOf(uint256)","","","has to be implemented",""
"passed","Tue Feb 22 14:09:58 GMT 2022","Tue Feb 22 14:10:02 GMT 2022","4344","Contract: SafeCast","toUint96","","","","reverts when downcasting 2^96 (79228162514264337593543950336)",""
"passed","Tue Feb 22 14:41:20 GMT 2022","Tue Feb 22 14:41:30 GMT 2022","9538","Contract: ERC721Enumerable","with minted tokens","approve > when the address that receives the approval is the owner","","","reverts",""
"passed","Tue Feb 22 14:02:40 GMT 2022","Tue Feb 22 14:02:50 GMT 2022","9739","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the approved individual","","","emits an Approval event",""
"passed","Tue Feb 22 14:37:18 GMT 2022","Tue Feb 22 14:37:32 GMT 2022","13453","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > to a receiver contract returning unexpected value","","","reverts",""
"passed","Tue Feb 22 14:12:31 GMT 2022","Tue Feb 22 14:12:56 GMT 2022","24514","Contract: BitMap","unset","","","","adds and removes multiple keys",""
"passed","Tue Feb 22 13:53:43 GMT 2022","Tue Feb 22 13:53:47 GMT 2022","4574","Contract: TransparentUpgradeableProxy","changeAdmin","when the new proposed admin is not the zero address > when the sender is the admin","","","assigns new proxy admin",""
"passed","Tue Feb 22 13:51:41 GMT 2022","Tue Feb 22 13:52:05 GMT 2022","23518","Contract: GovernorTimelockControl","Contract interface","Governor > quorum(uint256)","","","has to be implemented",""
"passed","Tue Feb 22 14:28:04 GMT 2022","Tue Feb 22 14:28:17 GMT 2022","13203","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner","","","transfers the ownership of the given token ID to the given address",""
