"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 03 11:14:51 GMT 2022","Mon Jan 03 11:14:51 GMT 2022","0","Contract: TransparentUpgradeableProxy","initialization without parameters","payable > when sending some balance","","","sets the implementation address",""
"passed","Mon Jan 03 11:39:30 GMT 2022","Mon Jan 03 11:39:43 GMT 2022","13468","Contract: ERC1155","internal functions","_burnBatch > with minted-then-burnt tokens","","","accounts for both minting and burning",""
"passed","Mon Jan 03 11:28:56 GMT 2022","Mon Jan 03 11:29:08 GMT 2022","11610","Contract: SafeMath","with flag","div","","","divides correctly",""
"failed","Mon Jan 03 11:08:46 GMT 2022","Mon Jan 03 11:09:18 GMT 2022","31785","Contract: MinimalForwarder","with message","verify > valid signature","","","success",""
"passed","Mon Jan 03 11:32:28 GMT 2022","Mon Jan 03 11:32:45 GMT 2022","17465","Contract: EnumerableSet","EnumerableAddressSet","add","","","returns false when adding values already in the set",""
"passed","Mon Jan 03 11:09:19 GMT 2022","Mon Jan 03 11:09:34 GMT 2022","15055","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered from",""
"passed","Mon Jan 03 11:19:57 GMT 2022","Mon Jan 03 11:20:10 GMT 2022","12671","Contract: ERC20Pausable","pausable token","mint","","","allows to mint when unpaused",""
"passed","Mon Jan 03 11:16:20 GMT 2022","Mon Jan 03 11:16:38 GMT 2022","18168","Contract: ERC1155Pausable","when token is paused","","","","reverts when trying to safeBatchTransferFrom from operator",""
"passed","Mon Jan 03 11:18:12 GMT 2022","Mon Jan 03 11:18:31 GMT 2022","19713","Contract: TransparentUpgradeableProxy","upgradeToAndCall","without migrations > when the call does not fail > when the sender is the admin","","","upgrades to the requested implementation",""
"passed","Mon Jan 03 11:19:13 GMT 2022","Mon Jan 03 11:19:27 GMT 2022","14006","Contract: ERC20Pausable","pausable token","transfer from","","","allows to transfer from when unpaused",""
"passed","Mon Jan 03 11:20:24 GMT 2022","Mon Jan 03 11:20:34 GMT 2022","10347","Contract: ERC20Pausable","pausable token","mint","","","reverts when trying to mint when paused",""
"broken","Mon Jan 03 11:17:08 GMT 2022","Mon Jan 03 11:17:25 GMT 2022","16613","Contract: ERC1155Holder","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Mon Jan 03 11:23:40 GMT 2022","Mon Jan 03 11:23:52 GMT 2022","11827","Contract: Arrays","findUpperBound","Even number of elements","","","returns 0 for the element under the lower boundary",""
"passed","Mon Jan 03 11:20:41 GMT 2022","Mon Jan 03 11:21:00 GMT 2022","19296","Contract: ERC20PresetMinterPauser","pausing","","","","deployer can unpause",""
"passed","Mon Jan 03 11:29:30 GMT 2022","Mon Jan 03 11:29:37 GMT 2022","6149","Contract: SafeMath","with flag","div","","","reverts on division by zero",""
"passed","Mon Jan 03 11:28:00 GMT 2022","Mon Jan 03 11:28:37 GMT 2022","37060","Contract: SafeERC20","with token that returns no boolean values","approvals > with non-zero allowance","","","reverts when approving a non-zero allowance",""
"passed","Mon Jan 03 11:33:58 GMT 2022","Mon Jan 03 11:34:15 GMT 2022","17477","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > to a receiver contract that reverts","","","reverts",""
"failed","Mon Jan 03 11:13:31 GMT 2022","Mon Jan 03 11:13:40 GMT 2022","9754","Contract: Clones","clone","initialization with parameters > payable > when sending some balance","","","has expected balance",""
"passed","Mon Jan 03 11:26:33 GMT 2022","Mon Jan 03 11:26:41 GMT 2022","7733","Contract: ECDSA","recover with valid signature","with v1 signature","","","works with short EIP2098 format",""
"passed","Mon Jan 03 11:21:57 GMT 2022","Mon Jan 03 11:22:02 GMT 2022","4634","Contract: ERC721Enumerable","Contract interface","ERC721 > isApprovedForAll(address,address)","","","has to be implemented",""
"passed","Mon Jan 03 11:22:35 GMT 2022","Mon Jan 03 11:22:53 GMT 2022","17752","Contract: ERC721Enumerable","with minted tokens","balanceOf > when the given address does not own any tokens","","","returns 0",""
"skipped","Mon Jan 03 11:18:58 GMT 2022","Mon Jan 03 11:18:58 GMT 2022","0","Contract: ERC20Votes","Compound test suite","getPastVotes","","","reverts if block number >= current block",""
"passed","Mon Jan 03 11:09:38 GMT 2022","Mon Jan 03 11:09:38 GMT 2022","324","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"passed","Mon Jan 03 11:29:09 GMT 2022","Mon Jan 03 11:29:16 GMT 2022","7477","Contract: MulticallToken","","","","","bubbles up revert reasons",""
"passed","Mon Jan 03 11:18:04 GMT 2022","Mon Jan 03 11:18:28 GMT 2022","24484","Contract: ERC20FlashMint","flashLoan","","","","success",""
"passed","Mon Jan 03 11:13:20 GMT 2022","Mon Jan 03 11:13:31 GMT 2022","10598","Contract: Clones","clone","initialization with parameters > payable > when sending some balance","","","initializes the proxy",""
"skipped","Mon Jan 03 11:18:56 GMT 2022","Mon Jan 03 11:18:56 GMT 2022","0","Contract: ERC20VotesComp","set delegation","with signature","","","rejects reused signature",""
"passed","Mon Jan 03 11:16:48 GMT 2022","Mon Jan 03 11:17:04 GMT 2022","15929","Contract: ERC1155Supply","after burn","single","","","totalSupply",""
"passed","Mon Jan 03 11:08:26 GMT 2022","Mon Jan 03 11:09:23 GMT 2022","57116","Contract: GovernorTimelockCompound","Contract interface","Governor > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Mon Jan 03 11:24:14 GMT 2022","Mon Jan 03 11:24:22 GMT 2022","7370","Contract: ECDSA","recover with valid signature","","","","reverts with high-s value signature",""
"skipped","Mon Jan 03 11:18:58 GMT 2022","Mon Jan 03 11:18:58 GMT 2022","0","Contract: ERC20Votes","set delegation","with signature","","","rejects bad nonce",""
"failed","Mon Jan 03 11:12:03 GMT 2022","Mon Jan 03 11:12:22 GMT 2022","19586","Contract: ERC2771Context","when receiving a relayed call","msgData","","","returns the relayed transaction original data",""
"failed","Mon Jan 03 11:13:44 GMT 2022","Mon Jan 03 11:13:56 GMT 2022","11885","Contract: TransparentUpgradeableProxy","initialization without parameters","non payable > when not sending balance","","","has expected balance",""
"passed","Mon Jan 03 11:14:32 GMT 2022","Mon Jan 03 11:14:45 GMT 2022","13236","Contract: ProxyAdmin","#upgrade","with unauthorized account","","","fails to upgrade",""
"passed","Mon Jan 03 11:11:26 GMT 2022","Mon Jan 03 11:11:32 GMT 2022","5745","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"passed","Mon Jan 03 11:27:34 GMT 2022","Mon Jan 03 11:27:42 GMT 2022","7808","Contract: Math","ceilDiv","","","","does not round up on exact division",""
"passed","Mon Jan 03 11:30:34 GMT 2022","Mon Jan 03 11:30:48 GMT 2022","13822","Contract: EnumerableSet","EnumerableBytes32Set","remove","","","removes added values",""
"passed","Mon Jan 03 11:33:18 GMT 2022","Mon Jan 03 11:33:40 GMT 2022","21850","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when sending to a valid receiver > with data","","","calls onERC1155Received",""
"passed","Mon Jan 03 11:14:15 GMT 2022","Mon Jan 03 11:14:30 GMT 2022","15199","Contract: ERC1155","like an ERC1155","balanceOf","","","reverts when queried about the zero address",""
"skipped","Mon Jan 03 11:06:33 GMT 2022","Mon Jan 03 11:06:33 GMT 2022","0","Contract: GovernorCompatibilityBravo","","","","","deployment check",""
"failed","Mon Jan 03 11:12:43 GMT 2022","Mon Jan 03 11:12:53 GMT 2022","10662","Contract: BeaconProxy","initialization","","","","no initialization",""
"passed","Mon Jan 03 11:16:24 GMT 2022","Mon Jan 03 11:16:44 GMT 2022","20622","Contract: TransparentUpgradeableProxy","initialization with parameters","payable > when sending some balance","","","initializes the proxy",""
"passed","Mon Jan 03 11:36:22 GMT 2022","Mon Jan 03 11:36:28 GMT 2022","5519","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > balanceOf(address,uint256)","","","has to be implemented",""
"passed","Mon Jan 03 11:06:33 GMT 2022","Mon Jan 03 11:06:35 GMT 2022","2667","Contract: PaymentSplitter","","","","","rejects an empty set of payees",""
"passed","Mon Jan 03 11:18:28 GMT 2022","Mon Jan 03 11:18:42 GMT 2022","14035","Contract: ERC20FlashMint","flashLoan","","","","missing return value",""
"passed","Mon Jan 03 11:09:42 GMT 2022","Mon Jan 03 11:09:52 GMT 2022","9783","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered value",""
"skipped","Mon Jan 03 11:08:41 GMT 2022","Mon Jan 03 11:08:41 GMT 2022","0","Contract: TimelockController","usage scenario","","","","call nonpayable with eth",""
"passed","Mon Jan 03 11:07:48 GMT 2022","Mon Jan 03 11:07:48 GMT 2022","1","Ethers.js","","","","","testSigner",""
"failed","Mon Jan 03 11:25:22 GMT 2022","Mon Jan 03 11:25:41 GMT 2022","18613","Contract: Address","sendValue","when sender contract has funds","","","reverts when sending more than the balance",""
"broken","Mon Jan 03 11:21:43 GMT 2022","Mon Jan 03 11:22:03 GMT 2022","19385","Contract: TokenTimelock","with token","once deployed","","","can be released after time limit",""
"passed","Mon Jan 03 11:06:39 GMT 2022","Mon Jan 03 11:06:44 GMT 2022","5446","Contract: AccessControl","Contract interface","AccessControl > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Mon Jan 03 11:29:48 GMT 2022","Mon Jan 03 11:29:59 GMT 2022","10503","Contract: StorageSlot","bytes32 storage slot","","","","set",""
"passed","Mon Jan 03 11:14:56 GMT 2022","Mon Jan 03 11:15:02 GMT 2022","5959","Contract: ERC1155Supply","before mint","","","","totalSupply",""
"passed","Mon Jan 03 11:10:11 GMT 2022","Mon Jan 03 11:10:40 GMT 2022","28417","Contract: GovernorTimelockCompound","Contract interface","Governor > version()","","","has to be implemented",""
"passed","Mon Jan 03 11:06:45 GMT 2022","Mon Jan 03 11:06:47 GMT 2022","2306","Contract: PaymentSplitter","","","","","rejects repeated payees",""
"passed","Mon Jan 03 11:12:01 GMT 2022","Mon Jan 03 11:12:13 GMT 2022","12292","Contract: Clones","clone","initialization without parameters > payable > when not sending balance","","","initializes the proxy",""
"passed","Mon Jan 03 11:07:49 GMT 2022","Mon Jan 03 11:07:49 GMT 2022","5","Ethers.js","","","","","testContracts",""
"passed","Mon Jan 03 11:22:53 GMT 2022","Mon Jan 03 11:23:08 GMT 2022","15641","Contract: ERC721Enumerable","with minted tokens","balanceOf > when querying the zero address","","","throws",""
"passed","Mon Jan 03 11:23:13 GMT 2022","Mon Jan 03 11:23:19 GMT 2022","5867","Contract: Arrays","findUpperBound","Even number of elements","","","returns 0 for the first element",""
"passed","Mon Jan 03 11:17:11 GMT 2022","Mon Jan 03 11:17:28 GMT 2022","17170","Contract: TransparentUpgradeableProxy","implementation","","","","delegates to the implementation",""
"passed","Mon Jan 03 11:26:25 GMT 2022","Mon Jan 03 11:26:33 GMT 2022","7651","Contract: ECDSA","recover with valid signature","with v1 signature","","","reverts with wrong version",""
"passed","Mon Jan 03 11:14:21 GMT 2022","Mon Jan 03 11:14:41 GMT 2022","19816","Contract: TransparentUpgradeableProxy","initialization without parameters","payable > when not sending balance","","","initializes the proxy",""
"passed","Mon Jan 03 11:35:10 GMT 2022","Mon Jan 03 11:35:24 GMT 2022","13819","Contract: EnumerableSet","EnumerableUintSet","remove","","","removes added values",""
"failed","Mon Jan 03 11:11:44 GMT 2022","Mon Jan 03 11:11:52 GMT 2022","8822","Contract: Clones","clone","initialization without parameters > non payable > when not sending balance","","","has expected balance",""
"skipped","Mon Jan 03 11:18:58 GMT 2022","Mon Jan 03 11:18:58 GMT 2022","0","Contract: ERC20Votes","getPastTotalSupply","","","","returns the latest block if >= last checkpoint block",""
"failed","Mon Jan 03 11:11:48 GMT 2022","Mon Jan 03 11:11:55 GMT 2022","7516","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
"passed","Mon Jan 03 11:27:18 GMT 2022","Mon Jan 03 11:27:34 GMT 2022","15949","Contract: SafeERC20","with token that returns no boolean values","approvals > with zero allowance","","","doesn't revert when increasing the allowance",""
"passed","Mon Jan 03 11:24:41 GMT 2022","Mon Jan 03 11:24:50 GMT 2022","8686","Contract: MerkleProof","verify","","","","returns true for a valid Merkle proof",""
"skipped","Mon Jan 03 11:08:41 GMT 2022","Mon Jan 03 11:08:41 GMT 2022","0","Contract: TimelockController","usage scenario","","","","call reverting",""
"passed","Mon Jan 03 11:09:55 GMT 2022","Mon Jan 03 11:10:32 GMT 2022","37418","Contract: AccessControl","renouncing","with granted role","","","a role can be renounced multiple times",""
