"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 06:34:50 GMT 2021","Thu Dec 23 06:34:58 GMT 2021","8396","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when called by an operator on behalf of the multiTokenHolder > when operator is approved by multiTokenHolder","","","preserves operator's balances not involved in the transfer",""
"passed","Thu Dec 23 06:35:55 GMT 2021","Thu Dec 23 06:35:57 GMT 2021","2395","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender transfers zero tokens","","","emits a transfer event",""
"passed","Thu Dec 23 06:40:39 GMT 2021","Thu Dec 23 06:40:40 GMT 2021","1712","Contract: SafeMath","memory leakage","","","","div",""
"passed","Thu Dec 23 06:32:54 GMT 2021","Thu Dec 23 06:33:00 GMT 2021","5655","Contract: ERC20","approve","when the spender is not the zero address > when the sender has enough balance > when the spender had an approved amount","","","approves the requested amount and replaces the previous one",""
"passed","Thu Dec 23 06:38:38 GMT 2021","Thu Dec 23 06:38:41 GMT 2021","2534","Contract: ERC165","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Thu Dec 23 06:34:03 GMT 2021","Thu Dec 23 06:34:09 GMT 2021","5314","Contract: ERC20FlashMint","flashLoan","","","","missing return value",""
"failed","Thu Dec 23 06:38:42 GMT 2021","Thu Dec 23 06:38:45 GMT 2021","2850","Contract: Create2","deploy","","","","deploys a contract with funds deposited in the factory",""
"passed","Thu Dec 23 06:35:53 GMT 2021","Thu Dec 23 06:35:56 GMT 2021","3205","Contract: ERC721","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Thu Dec 23 06:32:17 GMT 2021","Thu Dec 23 06:32:25 GMT 2021","7732","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"skipped","Thu Dec 23 06:26:37 GMT 2021","Thu Dec 23 06:26:37 GMT 2021","0","Contract: TimelockController","maintenance","","","","prevent unauthorized maintenance",""
