"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 27 12:02:17 GMT 2021","Mon Dec 27 12:02:27 GMT 2021","10368","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns multiple times the balance of the same address when asked",""
"passed","Mon Dec 27 12:34:42 GMT 2021","Mon Dec 27 12:34:52 GMT 2021","9594","Contract: Address","functionCallWithValue","with non-zero value","","","reverts if insufficient sender balance",""
"passed","Mon Dec 27 11:48:09 GMT 2021","Mon Dec 27 11:48:14 GMT 2021","5479","Contract: Initializable","basic testing without inheritance","before initialize","","","initializer has not run",""
"passed","Mon Dec 27 12:36:29 GMT 2021","Mon Dec 27 12:36:34 GMT 2021","5037","Contract: SafeCast","toUint64","","","","downcasts 2^64 - 1 (18446744073709551615)",""
"passed","Mon Dec 27 12:36:20 GMT 2021","Mon Dec 27 12:36:29 GMT 2021","8725","Contract: ERC165Checker","ERC165 and single interface supported","","","","supports mock interface via supportsInterface",""
"passed","Mon Dec 27 13:06:07 GMT 2021","Mon Dec 27 13:06:24 GMT 2021","16386","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","adjusts owners tokens by index",""
"passed","Mon Dec 27 12:02:26 GMT 2021","Mon Dec 27 12:02:40 GMT 2021","14055","Contract: ERC1155Pausable","when token is paused","","","","reverts when trying to safeBatchTransferFrom from operator",""
"broken","Mon Dec 27 11:41:49 GMT 2021","Mon Dec 27 11:43:57 GMT 2021","128344","Contract: GovernorTimelockControl","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"failed","Mon Dec 27 11:55:23 GMT 2021","Mon Dec 27 11:55:39 GMT 2021","16007","Contract: ERC1967Proxy","initialization without parameters","payable > when sending some balance","","","has expected balance",""
"passed","Mon Dec 27 12:21:42 GMT 2021","Mon Dec 27 12:21:57 GMT 2021","14781","Contract: ERC20","decrease allowance","when the spender is not the zero address > when the sender has enough balance > when the spender had an approved amount","","","reverts when more than the full allowance is removed",""
"broken","Mon Dec 27 12:02:36 GMT 2021","Mon Dec 27 12:02:37 GMT 2021","1424","Contract: ERC1155Supply","after mint","batch","","","totalSupply",""
"passed","Mon Dec 27 11:53:02 GMT 2021","Mon Dec 27 11:53:11 GMT 2021","8766","Contract: Pausable","when unpaused","","","","cannot take drastic measure in non-pause",""
"passed","Mon Dec 27 12:30:28 GMT 2021","Mon Dec 27 12:31:44 GMT 2021","76395","Contract: ERC1155","internal functions","_burnBatch > with minted-then-burnt tokens","","","accounts for both minting and burning",""
"passed","Mon Dec 27 12:38:04 GMT 2021","Mon Dec 27 12:38:17 GMT 2021","12640","Contract: EnumerableSet","EnumerableBytes32Set","remove","","","removes added values",""
"passed","Mon Dec 27 12:23:16 GMT 2021","Mon Dec 27 12:23:36 GMT 2021","20483","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner","","","emits an Approval event",""
"passed","Mon Dec 27 12:32:21 GMT 2021","Mon Dec 27 12:32:48 GMT 2021","26575","Contract: TimersBlockNumber","","","","","unset",""
"passed","Mon Dec 27 12:23:20 GMT 2021","Mon Dec 27 12:23:24 GMT 2021","4085","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > approve(address,uint256)","","","has to be implemented",""
"skipped","Mon Dec 27 11:39:09 GMT 2021","Mon Dec 27 11:39:09 GMT 2021","0","Contract: Governor","","","","","deployment check",""
"skipped","Mon Dec 27 11:39:09 GMT 2021","Mon Dec 27 11:39:09 GMT 2021","0","Contract: TimelockController","usage scenario","","","","call payable with eth",""
"passed","Mon Dec 27 12:14:54 GMT 2021","Mon Dec 27 12:15:04 GMT 2021","10328","Contract: ERC20PresetMinterPauser","pausing","","","","deployer can unpause",""
"passed","Mon Dec 27 12:33:50 GMT 2021","Mon Dec 27 12:33:55 GMT 2021","5017","Contract: Strings","from uint256 - fixed hex format","","","","converts a positive number (short)",""
"passed","Mon Dec 27 12:00:23 GMT 2021","Mon Dec 27 12:02:17 GMT 2021","113646","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns amounts owned by each account in order passed",""
"passed","Mon Dec 27 11:39:26 GMT 2021","Mon Dec 27 11:39:39 GMT 2021","12539","Contract: Ownable","transfer ownership","","","","guards ownership against stuck state",""
"broken","Mon Dec 27 11:50:28 GMT 2021","Mon Dec 27 11:52:39 GMT 2021","131069","Contract: UpgradeableBeacon","once deployed","","","","cannot be upgraded by other account",""
"passed","Mon Dec 27 12:35:51 GMT 2021","Mon Dec 27 12:36:00 GMT 2021","9716","Contract: Address","functionStaticCall","","","","calls the requested function",""
"passed","Mon Dec 27 13:32:37 GMT 2021","Mon Dec 27 13:32:47 GMT 2021","10033","Contract: ERC721","with minted tokens","getApproved > when token has been minted ","","","should return the zero address",""
"passed","Mon Dec 27 12:38:49 GMT 2021","Mon Dec 27 12:38:53 GMT 2021","4905","Contract: SafeCast","toInt8","","","","downcasts -1",""
"failed","Mon Dec 27 12:36:23 GMT 2021","Mon Dec 27 12:36:28 GMT 2021","4741","Contract: SignedSafeMath","mul","","","","reverts on multiplication overflow, positive operands",""
"passed","Mon Dec 27 12:26:58 GMT 2021","Mon Dec 27 12:27:19 GMT 2021","21462","Contract: ERC1155","internal functions","_mintBatch > with minted batch of tokens","","","emits a TransferBatch event",""
"passed","Mon Dec 27 12:39:18 GMT 2021","Mon Dec 27 12:39:23 GMT 2021","4851","Contract: SafeCast","toInt8","","","","reverts when downcasting 2^7 + 1 (129)",""
"passed","Mon Dec 27 12:02:40 GMT 2021","Mon Dec 27 12:02:43 GMT 2021","3097","Contract: ERC20Capped","","","","","requires a non-zero cap",""
"failed","Mon Dec 27 12:36:45 GMT 2021","Mon Dec 27 12:36:52 GMT 2021","6241","Contract: SafeMath","with default revert message","add","","","reverts on addition overflow",""
"passed","Mon Dec 27 12:32:44 GMT 2021","Mon Dec 27 12:32:49 GMT 2021","5033","Contract: Strings","from uint256 - decimal format","","","","converts a positive number",""
