"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 16 12:20:54 GMT 2021","Thu Dec 16 12:21:02 GMT 2021","7851","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","adjusts owners balances",""
"skipped","Thu Dec 16 12:10:50 GMT 2021","Thu Dec 16 12:10:50 GMT 2021","0","Contract: TimelockController","methods","batch > execute > with scheduled operation > on time","","","length mismatch #1",""
"passed","Thu Dec 16 12:11:17 GMT 2021","Thu Dec 16 12:11:20 GMT 2021","2617","Contract: ERC20Pausable","pausable token","transfer","","","reverts when trying to transfer when paused",""
"passed","Thu Dec 16 12:22:24 GMT 2021","Thu Dec 16 12:22:47 GMT 2021","22252","Contract: Governor","Settings update","setVotingPeriod","","","run",""
"passed","Thu Dec 16 12:38:10 GMT 2021","Thu Dec 16 12:38:12 GMT 2021","1694","Contract: ERC721Enumerable","Contract interface","ERC721 > getApproved(uint256)","","","has to be implemented",""
"passed","Thu Dec 16 12:15:49 GMT 2021","Thu Dec 16 12:15:50 GMT 2021","1796","Contract: SafeMath","with flag","mul","","","multiplies by zero correctly",""
"passed","Thu Dec 16 13:04:17 GMT 2021","Thu Dec 16 13:04:19 GMT 2021","2073","Contract: ERC1155","internal functions","_burn","","","reverts when burning a non-existent token id",""
"passed","Thu Dec 16 12:10:55 GMT 2021","Thu Dec 16 12:10:59 GMT 2021","4327","Contract: Context","msgSender","","","","returns the transaction sender when called from an EOA",""
"passed","Thu Dec 16 12:17:05 GMT 2021","Thu Dec 16 12:17:07 GMT 2021","1734","Contract: SafeMath","memory leakage","","","","sub",""
"passed","Thu Dec 16 12:22:57 GMT 2021","Thu Dec 16 12:22:59 GMT 2021","2071","Contract: ERC1820Implementer","with registered interfaces","","","","returns false when interface implementation for non-supported interfaces is queried",""
"passed","Thu Dec 16 12:44:46 GMT 2021","Thu Dec 16 12:44:53 GMT 2021","6885","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","adjusts owners tokens by index",""
"passed","Thu Dec 16 12:57:57 GMT 2021","Thu Dec 16 12:57:59 GMT 2021","2627","Contract: ERC721Enumerable","with minted tokens","totalSupply","","","returns total token supply",""
"passed","Thu Dec 16 12:13:04 GMT 2021","Thu Dec 16 12:13:07 GMT 2021","2983","Contract: EnumerableSet","EnumerableBytes32Set","add","","","adds a value",""
"passed","Thu Dec 16 12:12:30 GMT 2021","Thu Dec 16 12:12:34 GMT 2021","4340","Contract: ERC20Burnable","burnFrom","when the given amount is greater than the balance of the sender","","","reverts",""
"passed","Thu Dec 16 12:20:22 GMT 2021","Thu Dec 16 12:20:24 GMT 2021","1674","Contract: SafeCast","toInt64","","","","downcasts 0",""
"passed","Thu Dec 16 12:17:58 GMT 2021","Thu Dec 16 12:17:59 GMT 2021","1686","Contract: Math","average","","","","is correctly calculated with two max uint256 numbers",""
"passed","Thu Dec 16 12:11:14 GMT 2021","Thu Dec 16 12:11:17 GMT 2021","3727","Contract: ERC20Pausable","pausable token","transfer","","","allows to transfer when paused and then unpaused",""
"broken","Thu Dec 16 12:15:32 GMT 2021","Thu Dec 16 12:15:36 GMT 2021","4302","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"passed","Thu Dec 16 12:31:55 GMT 2021","Thu Dec 16 12:31:58 GMT 2021","3465","Contract: Clones","clone","initialization without parameters > payable > when sending some balance","","","initializes the proxy",""
"passed","Thu Dec 16 12:14:21 GMT 2021","Thu Dec 16 12:14:24 GMT 2021","3222","Contract: EnumerableSet","EnumerableUintSet","remove","","","removes added values",""
"passed","Thu Dec 16 12:21:10 GMT 2021","Thu Dec 16 12:21:35 GMT 2021","25573","Contract: Governor","Cancel","After deadline","","","run",""
"passed","Thu Dec 16 12:16:20 GMT 2021","Thu Dec 16 12:16:22 GMT 2021","2260","Contract: SafeMath","with default revert message","mul","","","multiplies correctly",""
"passed","Thu Dec 16 12:23:08 GMT 2021","Thu Dec 16 12:23:10 GMT 2021","1951","Contract: ERC165Storage","","","","","does not allow 0xffffffff",""
"passed","Thu Dec 16 12:59:09 GMT 2021","Thu Dec 16 12:59:13 GMT 2021","3361","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns multiple times the balance of the same address when asked",""
"passed","Thu Dec 16 12:14:48 GMT 2021","Thu Dec 16 12:14:50 GMT 2021","2107","Contract: StorageSlot","address storage slot","","","","set",""
"passed","Thu Dec 16 12:49:04 GMT 2021","Thu Dec 16 12:49:11 GMT 2021","6442","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits an Approval event",""
"passed","Thu Dec 16 13:04:22 GMT 2021","Thu Dec 16 13:04:25 GMT 2021","3535","Contract: ERC1155","internal functions","_burn > with minted-then-burnt tokens","","","emits a TransferSingle event",""
"passed","Thu Dec 16 12:16:54 GMT 2021","Thu Dec 16 12:16:56 GMT 2021","2634","Contract: SafeMath","with custom revert message","mod","","","reverts with a 0 divisor",""
"passed","Thu Dec 16 12:38:06 GMT 2021","Thu Dec 16 12:38:08 GMT 2021","2090","Contract: ERC721Enumerable","Contract interface","ERC721 > ownerOf(uint256)","","","has to be implemented",""
"passed","Thu Dec 16 12:30:44 GMT 2021","Thu Dec 16 12:30:53 GMT 2021","8997","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when sent to the owner","","","emits only a transfer event",""
"passed","Thu Dec 16 12:30:19 GMT 2021","Thu Dec 16 12:30:25 GMT 2021","6487","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner without an approved user","","","adjusts owners balances",""
"passed","Thu Dec 16 12:31:15 GMT 2021","Thu Dec 16 12:31:20 GMT 2021","4773","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when the given token ID does not exist","","","reverts",""
"passed","Thu Dec 16 12:11:36 GMT 2021","Thu Dec 16 12:11:39 GMT 2021","2863","Contract: EnumerableMap","set","","","","returns false when adding keys already in the set",""
"passed","Thu Dec 16 12:37:09 GMT 2021","Thu Dec 16 12:37:12 GMT 2021","3028","Contract: ERC721URIStorage","token URI","","","","base URI is added as a prefix to the token URI",""
"broken","Thu Dec 16 12:12:35 GMT 2021","Thu Dec 16 12:12:36 GMT 2021","668","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"passed","Thu Dec 16 12:33:53 GMT 2021","Thu Dec 16 12:33:57 GMT 2021","4113","Contract: ERC721","with minted tokens","setApprovalForAll > when the operator willing to approve is not the owner > when the operator was already approved","","","keeps the approval to the given address",""
"passed","Thu Dec 16 12:59:06 GMT 2021","Thu Dec 16 12:59:09 GMT 2021","3292","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns amounts owned by each account in order passed",""
"passed","Thu Dec 16 12:36:00 GMT 2021","Thu Dec 16 12:36:02 GMT 2021","2088","Contract: ERC721PresetMinterPauserAutoId","Contract interface","AccessControl > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Thu Dec 16 12:25:48 GMT 2021","Thu Dec 16 12:25:54 GMT 2021","5773","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","transfers the ownership of the given token ID to the given address",""
"passed","Thu Dec 16 12:43:55 GMT 2021","Thu Dec 16 12:43:59 GMT 2021","4324","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when the address to transfer the token to is the zero address","","","reverts",""
"passed","Thu Dec 16 12:11:41 GMT 2021","Thu Dec 16 12:11:54 GMT 2021","12601","Contract: Governor","Contract interface","Governor > name()","","","has to be implemented",""
"passed","Thu Dec 16 12:10:47 GMT 2021","Thu Dec 16 12:10:50 GMT 2021","2101","Contract: ERC20Permit","","","","","domain separator",""
"passed","Thu Dec 16 12:24:24 GMT 2021","Thu Dec 16 12:24:45 GMT 2021","20661","Contract: GovernorVotesQuorumFraction","update quorum over the maximum","","","","run",""
"passed","Thu Dec 16 12:22:47 GMT 2021","Thu Dec 16 12:22:49 GMT 2021","2018","Contract: MulticallToken","","","","","bubbles up revert reasons",""
