"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 30 16:10:30 GMT 2021","Thu Dec 30 16:10:31 GMT 2021","175","Contract: PaymentSplitter","","","","","rejects more payees than shares",""
"passed","Thu Dec 30 16:21:06 GMT 2021","Thu Dec 30 16:21:33 GMT 2021","27107","Contract: Governor","state","Succeeded","","","run",""
"skipped","Thu Dec 30 16:25:03 GMT 2021","Thu Dec 30 16:25:03 GMT 2021","0","Contract: Governor","Settings update","update protected","","","setVotingPeriod",""
"broken","Thu Dec 30 16:18:16 GMT 2021","Thu Dec 30 16:18:39 GMT 2021","22099","Contract: Governor","scenario","double cast","","","run",""
"passed","Thu Dec 30 16:14:07 GMT 2021","Thu Dec 30 16:14:20 GMT 2021","13620","Contract: GovernorTimelockControl","Contract interface","Governor > execute(address[],uint256[],bytes[],bytes32)","","","has to be implemented",""
"passed","Thu Dec 30 16:12:32 GMT 2021","Thu Dec 30 16:12:37 GMT 2021","5162","Contract: UUPSUpgradeable","","","","","reject proxy address as implementation",""
"failed","Thu Dec 30 16:14:47 GMT 2021","Thu Dec 30 16:15:09 GMT 2021","21760","Contract: TransparentUpgradeableProxy","upgradeToAndCall","with migrations > when the sender is the admin > when upgrading to V1 > when upgrading to V2 > when upgrading to V3","","","calls the 'migrate' function and sends given value to the proxy",""
"passed","Thu Dec 30 16:21:49 GMT 2021","Thu Dec 30 16:21:51 GMT 2021","1474","Contract: ECDSA","recover with valid signature","with v0 signature","","","works with 27 as version value",""
"passed","Thu Dec 30 16:12:30 GMT 2021","Thu Dec 30 16:12:30 GMT 2021","2","Ethers.js","","","","","testSigner",""
"passed","Thu Dec 30 16:19:57 GMT 2021","Thu Dec 30 16:19:59 GMT 2021","2683","Contract: ERC721Enumerable","with minted tokens","balanceOf > when the given address owns some tokens","","","returns the amount of tokens owned by the given address",""
"failed","Thu Dec 30 16:13:20 GMT 2021","Thu Dec 30 16:13:22 GMT 2021","1688","Contract: TransparentUpgradeableProxy","upgradeTo","when the sender is not the admin","","","reverts",""
"passed","Thu Dec 30 16:11:43 GMT 2021","Thu Dec 30 16:11:46 GMT 2021","2761","Contract: UpgradeableBeacon","once deployed","","","","cannot be upgraded to a non-contract",""
"passed","Thu Dec 30 16:11:41 GMT 2021","Thu Dec 30 16:11:43 GMT 2021","1429","Contract: BeaconProxy","bad beacon is not accepted","","","","non-contract implementation",""
"passed","Thu Dec 30 16:22:34 GMT 2021","Thu Dec 30 16:22:42 GMT 2021","7782","Contract: Address","functionCallWithValue","with non-zero value","","","calls the requested function with transaction funds",""
"passed","Thu Dec 30 16:24:13 GMT 2021","Thu Dec 30 16:24:16 GMT 2021","3045","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when the given token ID does not exist","","","reverts",""
"passed","Thu Dec 30 16:35:57 GMT 2021","Thu Dec 30 16:35:59 GMT 2021","1739","Contract: ERC721Enumerable","metadata","token URI","","","reverts when queried for non existent token id",""
"passed","Thu Dec 30 16:16:02 GMT 2021","Thu Dec 30 16:16:02 GMT 2021","285","Contract: ERC20Capped","","","","","requires a non-zero cap",""
"passed","Thu Dec 30 16:14:07 GMT 2021","Thu Dec 30 16:14:10 GMT 2021","3150","Contract: ERC1155","like an ERC1155","safeTransferFrom > when called by the multiTokenHolder","","","preserves existing balances which are not transferred by multiTokenHolder",""
"passed","Thu Dec 30 16:14:49 GMT 2021","Thu Dec 30 16:14:59 GMT 2021","9891","Contract: ERC1155","like an ERC1155","safeTransferFrom > when sending to a valid receiver > without data","","","debits transferred balance from sender",""
"passed","Thu Dec 30 16:13:09 GMT 2021","Thu Dec 30 16:13:12 GMT 2021","3303","Contract: ERC1155Pausable","when token is paused","","","","reverts when trying to safeTransferFrom from operator",""
"passed","Thu Dec 30 16:16:51 GMT 2021","Thu Dec 30 16:16:53 GMT 2021","2112","Contract: ERC20Pausable","pausable token","transfer from","","","reverts when trying to transfer from when paused",""
"passed","Thu Dec 30 16:16:38 GMT 2021","Thu Dec 30 16:16:49 GMT 2021","10855","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom","","","reverts when transferring to zero address",""
"passed","Thu Dec 30 16:10:31 GMT 2021","Thu Dec 30 16:10:31 GMT 2021","245","Contract: PaymentSplitter","","","","","rejects zero-valued shares",""
"passed","Thu Dec 30 16:23:05 GMT 2021","Thu Dec 30 16:23:16 GMT 2021","10589","Contract: ERC165Checker","ERC165 and single interface supported","","","","supports mock interface via supportsAllInterfaces",""
"passed","Thu Dec 30 16:21:25 GMT 2021","Thu Dec 30 16:21:26 GMT 2021","1288","Contract: Arrays","findUpperBound","Array with gap","","","returns index of first element in next filled range",""
"passed","Thu Dec 30 16:32:07 GMT 2021","Thu Dec 30 16:32:12 GMT 2021","4452","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the operator","","","emits a Transfer event",""
"passed","Thu Dec 30 16:12:20 GMT 2021","Thu Dec 30 16:12:23 GMT 2021","2654","Contract: UUPSUpgradeable","","","","","upgrade to upgradeable implementation with call",""
"passed","Thu Dec 30 16:21:47 GMT 2021","Thu Dec 30 16:21:49 GMT 2021","1786","Contract: Escrow","as an escrow","deposits","","","can accept a single deposit",""
"passed","Thu Dec 30 16:22:52 GMT 2021","Thu Dec 30 16:22:53 GMT 2021","1074","Contract: SafeMath","with flag","mul","","","multiplies correctly",""
"passed","Thu Dec 30 16:24:02 GMT 2021","Thu Dec 30 16:24:03 GMT 2021","1164","Contract: SafeMath","with custom revert message","div","","","reverts on division by zero",""
"passed","Thu Dec 30 16:14:48 GMT 2021","Thu Dec 30 16:14:56 GMT 2021","7848","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"passed","Thu Dec 30 16:13:43 GMT 2021","Thu Dec 30 16:13:45 GMT 2021","2006","Contract: ERC1155PresetMinterPauser","","","","","deployer has the minter role",""
"passed","Thu Dec 30 16:21:26 GMT 2021","Thu Dec 30 16:21:31 GMT 2021","4536","Contract: Address","sendValue","when sender contract has funds","","","reverts when sending more than the balance",""
"passed","Thu Dec 30 16:13:45 GMT 2021","Thu Dec 30 16:13:49 GMT 2021","4007","Contract: ERC1155Pausable","when token is paused","","","","reverts when trying to burnBatch",""
"skipped","Thu Dec 30 16:11:03 GMT 2021","Thu Dec 30 16:11:03 GMT 2021","0","Contract: TimelockController","methods","batch > schedule","","","prevent overwritting active operation",""
"passed","Thu Dec 30 16:16:32 GMT 2021","Thu Dec 30 16:16:35 GMT 2021","2703","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom","","","reverts when transferring amount more than any of balances",""
"passed","Thu Dec 30 16:20:54 GMT 2021","Thu Dec 30 16:20:55 GMT 2021","1206","Contract: Arrays","findUpperBound","Even number of elements","","","returns index of the last element",""
"skipped","Thu Dec 30 16:16:52 GMT 2021","Thu Dec 30 16:16:52 GMT 2021","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","reverts if block number >= current block",""
"passed","Thu Dec 30 16:19:35 GMT 2021","Thu Dec 30 16:19:40 GMT 2021","5764","Contract: ERC721Enumerable","Contract interface","ERC721 > getApproved(uint256)","","","has to be implemented",""
"passed","Thu Dec 30 16:12:27 GMT 2021","Thu Dec 30 16:12:29 GMT 2021","1607","Ethers.js","","","","","shouldCountTransactions",""
"passed","Thu Dec 30 16:26:38 GMT 2021","Thu Dec 30 16:26:43 GMT 2021","4882","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","clears the approval for the token ID",""
"failed","Thu Dec 30 16:16:34 GMT 2021","Thu Dec 30 16:16:39 GMT 2021","5048","Contract: TransparentUpgradeableProxy","regression","","","","should remove fallback function",""
"passed","Thu Dec 30 16:23:56 GMT 2021","Thu Dec 30 16:24:05 GMT 2021","8179","Contract: EnumerableSet","EnumerableBytes32Set","remove","","","adds and removes multiple values",""
"passed","Thu Dec 30 16:22:12 GMT 2021","Thu Dec 30 16:22:15 GMT 2021","2144","Contract: ERC1155","ERC1155MetadataURI","_setURI","","","sets the new URI for all token types",""
"passed","Thu Dec 30 16:19:53 GMT 2021","Thu Dec 30 16:19:54 GMT 2021","1608","Contract: ERC721Enumerable","Contract interface","ERC721 > safeTransferFrom(address,address,uint256)","","","has to be implemented",""
"passed","Thu Dec 30 16:18:15 GMT 2021","Thu Dec 30 16:18:30 GMT 2021","14430","Contract: ERC20","withdraw","","","","to other account",""
"broken","Thu Dec 30 16:18:55 GMT 2021","Thu Dec 30 16:19:04 GMT 2021","8338","Contract: TokenTimelock","with token","once deployed","","","cannot be released twice",""
"skipped","Thu Dec 30 16:16:55 GMT 2021","Thu Dec 30 16:16:55 GMT 2021","1","Contract: ERC20Votes","change delegation","","","","call",""
"passed","Thu Dec 30 16:15:12 GMT 2021","Thu Dec 30 16:15:14 GMT 2021","2008","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is not the zero address > when the spender has enough approved balance > when the token owner has enough balance","","","emits a transfer event",""
"passed","Thu Dec 30 16:19:32 GMT 2021","Thu Dec 30 16:19:33 GMT 2021","1113","Contract: ERC721Enumerable","Contract interface","ERC721 > ownerOf(uint256)","","","has to be implemented",""
"passed","Thu Dec 30 16:22:11 GMT 2021","Thu Dec 30 16:22:13 GMT 2021","1935","Contract: ERC165Checker","ERC165 missing return data","","","","does not support mock interface via supportsInterface",""
"passed","Thu Dec 30 16:10:30 GMT 2021","Thu Dec 30 16:10:49 GMT 2021","19537","Contract: GovernorComp","voting with comp token","","","","run",""
"failed","Thu Dec 30 16:10:42 GMT 2021","Thu Dec 30 16:10:44 GMT 2021","2841","Contract: VestingWallet","vesting schedule","Eth vesting","","","execute vesting schedule",""
"failed","Thu Dec 30 16:23:52 GMT 2021","Thu Dec 30 16:23:53 GMT 2021","1156","Contract: EnumerableSet","EnumerableBytes32Set","at","","","reverts when retrieving non-existent elements",""
