"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 29 06:42:52 GMT 2021","Wed Dec 29 06:42:54 GMT 2021","1725","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Wed Dec 29 06:42:27 GMT 2021","Wed Dec 29 06:42:30 GMT 2021","2677","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"passed","Wed Dec 29 06:43:47 GMT 2021","Wed Dec 29 06:43:50 GMT 2021","3237","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_event_fires",""
"broken","Wed Dec 29 06:41:36 GMT 2021","Wed Dec 29 06:41:37 GMT 2021","1447","Ethers.js","","","","","testWritingToTheBlockchain",""
"passed","Wed Dec 29 06:42:46 GMT 2021","Wed Dec 29 06:42:47 GMT 2021","1179","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"failed","Wed Dec 29 06:45:08 GMT 2021","Wed Dec 29 06:45:25 GMT 2021","16667","tests.truffle","test_truffle","","","","test_truffle_migration",""
"passed","Wed Dec 29 06:42:32 GMT 2021","Wed Dec 29 06:42:33 GMT 2021","147","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"passed","Wed Dec 29 06:42:40 GMT 2021","Wed Dec 29 06:42:42 GMT 2021","1622","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"passed","Wed Dec 29 06:43:17 GMT 2021","Wed Dec 29 06:43:21 GMT 2021","4418","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"broken","Wed Dec 29 06:42:54 GMT 2021","Wed Dec 29 06:42:55 GMT 2021","1519","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"failed","Wed Dec 29 06:44:48 GMT 2021","Wed Dec 29 06:45:08 GMT 2021","19429","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"failed","Wed Dec 29 06:43:38 GMT 2021","Wed Dec 29 06:43:43 GMT 2021","4158","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
"passed","Wed Dec 29 06:42:33 GMT 2021","Wed Dec 29 06:42:33 GMT 2021","150","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"skipped","Wed Dec 29 06:43:50 GMT 2021","Wed Dec 29 06:43:50 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"failed","Wed Dec 29 06:43:37 GMT 2021","Wed Dec 29 06:43:38 GMT 2021","1431","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"passed","Wed Dec 29 06:41:31 GMT 2021","Wed Dec 29 06:41:32 GMT 2021","1613","Ethers.js","","","","","shouldCountTransactions",""
"passed","Wed Dec 29 06:42:49 GMT 2021","Wed Dec 29 06:42:50 GMT 2021","1460","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"failed","Wed Dec 29 06:43:46 GMT 2021","Wed Dec 29 06:43:47 GMT 2021","1411","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"broken","Wed Dec 29 06:41:30 GMT 2021","Wed Dec 29 06:41:31 GMT 2021","869","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"passed","Wed Dec 29 06:42:42 GMT 2021","Wed Dec 29 06:42:44 GMT 2021","1637","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"passed","Wed Dec 29 06:43:05 GMT 2021","Wed Dec 29 06:43:08 GMT 2021","3079","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"failed","Wed Dec 29 06:46:07 GMT 2021","Wed Dec 29 06:46:24 GMT 2021","17172","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"passed","Wed Dec 29 06:42:33 GMT 2021","Wed Dec 29 06:42:33 GMT 2021","145","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"passed","Wed Dec 29 06:41:32 GMT 2021","Wed Dec 29 06:41:33 GMT 2021","1021","Ethers.js","","","","","shouldConnectViaEthersJs",""
"passed","Wed Dec 29 06:43:30 GMT 2021","Wed Dec 29 06:43:33 GMT 2021","3433","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"passed","Wed Dec 29 06:43:21 GMT 2021","Wed Dec 29 06:43:24 GMT 2021","2920","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
"passed","Wed Dec 29 06:42:33 GMT 2021","Wed Dec 29 06:42:33 GMT 2021","145","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"broken","Wed Dec 29 06:43:37 GMT 2021","Wed Dec 29 06:43:37 GMT 2021","143","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"passed","Wed Dec 29 06:43:27 GMT 2021","Wed Dec 29 06:43:30 GMT 2021","3051","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"passed","Wed Dec 29 06:42:38 GMT 2021","Wed Dec 29 06:42:40 GMT 2021","2898","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"passed","Wed Dec 29 06:41:40 GMT 2021","Wed Dec 29 06:41:40 GMT 2021","6","ethjs","","","","","Connection test (js)",""
"broken","Wed Dec 29 06:41:47 GMT 2021","Wed Dec 29 06:41:48 GMT 2021","1065","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"passed","Wed Dec 29 06:45:46 GMT 2021","Wed Dec 29 06:46:07 GMT 2021","21374","tests.truffle","test_truffle","","","","test_truffle_test",""
"passed","Wed Dec 29 06:42:50 GMT 2021","Wed Dec 29 06:42:52 GMT 2021","1602","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"passed","Wed Dec 29 06:42:11 GMT 2021","Wed Dec 29 06:42:12 GMT 2021","1040","tests.brownie","test_brownie","","","","test_brownie_connect",""
"passed","Wed Dec 29 06:43:14 GMT 2021","Wed Dec 29 06:43:17 GMT 2021","2843","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"passed","Wed Dec 29 06:41:33 GMT 2021","Wed Dec 29 06:41:33 GMT 2021","1","Ethers.js","","","","","testSigner",""
"broken","Wed Dec 29 06:41:33 GMT 2021","Wed Dec 29 06:41:36 GMT 2021","2130","Ethers.js","","","","","testQueryingBlockchain",""
"passed","Wed Dec 29 06:43:08 GMT 2021","Wed Dec 29 06:43:11 GMT 2021","2891","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"passed","Wed Dec 29 06:42:33 GMT 2021","Wed Dec 29 06:42:33 GMT 2021","147","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"broken","Wed Dec 29 06:43:01 GMT 2021","Wed Dec 29 06:43:01 GMT 2021","398","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"passed","Wed Dec 29 06:41:38 GMT 2021","Wed Dec 29 06:41:38 GMT 2021","12","Ethers.js","","","","","testStateChangingMethods",""
"broken","Wed Dec 29 06:41:37 GMT 2021","Wed Dec 29 06:41:38 GMT 2021","1067","Ethers.js","","","","","testReadOnlyMethods",""
"passed","Wed Dec 29 06:43:43 GMT 2021","Wed Dec 29 06:43:46 GMT 2021","3100","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"passed","Wed Dec 29 06:42:33 GMT 2021","Wed Dec 29 06:42:35 GMT 2021","1507","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Wed Dec 29 06:43:35 GMT 2021","Wed Dec 29 06:43:37 GMT 2021","1554","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"passed","Wed Dec 29 06:43:33 GMT 2021","Wed Dec 29 06:43:35 GMT 2021","1885","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"passed","Wed Dec 29 06:42:57 GMT 2021","Wed Dec 29 06:42:59 GMT 2021","2074","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"passed","Wed Dec 29 06:42:59 GMT 2021","Wed Dec 29 06:43:01 GMT 2021","1665","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"broken","Wed Dec 29 06:43:24 GMT 2021","Wed Dec 29 06:43:27 GMT 2021","2791","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"failed","Wed Dec 29 06:43:50 GMT 2021","Wed Dec 29 06:44:11 GMT 2021","20083","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"passed","Wed Dec 29 06:43:01 GMT 2021","Wed Dec 29 06:43:03 GMT 2021","1611","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"passed","Wed Dec 29 06:41:39 GMT 2021","Wed Dec 29 06:41:40 GMT 2021","1019","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"passed","Wed Dec 29 06:41:37 GMT 2021","Wed Dec 29 06:41:37 GMT 2021","8","Ethers.js","","","","","testContracts",""
"failed","Wed Dec 29 06:44:11 GMT 2021","Wed Dec 29 06:44:29 GMT 2021","18931","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"broken","Wed Dec 29 06:41:39 GMT 2021","Wed Dec 29 06:41:39 GMT 2021","484","Ethers.js","","","","","testSigningMessages",""
"passed","Wed Dec 29 06:45:25 GMT 2021","Wed Dec 29 06:45:46 GMT 2021","21096","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Wed Dec 29 06:42:55 GMT 2021","Wed Dec 29 06:42:57 GMT 2021","1747","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"passed","Wed Dec 29 06:42:35 GMT 2021","Wed Dec 29 06:42:38 GMT 2021","2893","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"broken","Wed Dec 29 06:41:40 GMT 2021","Wed Dec 29 06:41:40 GMT 2021","7","ethjs","","","","","test01",""
"skipped","Wed Dec 29 06:43:50 GMT 2021","Wed Dec 29 06:43:50 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"passed","Wed Dec 29 06:43:11 GMT 2021","Wed Dec 29 06:43:14 GMT 2021","2925","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"failed","Wed Dec 29 06:44:30 GMT 2021","Wed Dec 29 06:44:48 GMT 2021","18898","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Wed Dec 29 06:41:38 GMT 2021","Wed Dec 29 06:41:39 GMT 2021","476","Ethers.js","","","","","testQueryHistoricEvents",""
"broken","Wed Dec 29 06:42:44 GMT 2021","Wed Dec 29 06:42:45 GMT 2021","1693","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
