"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 10 10:00:06 GMT 2022","Thu Mar 10 10:00:10 GMT 2022","4372","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner","","","transfers the ownership of the given token ID to the given address",""
"passed","Thu Mar 10 10:02:05 GMT 2022","Thu Mar 10 10:02:09 GMT 2022","4185","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when sent to the owner","","","emits only a transfer event",""
"passed","Thu Mar 10 09:45:03 GMT 2022","Thu Mar 10 09:45:08 GMT 2022","4766","Contract: ERC1155","like an ERC1155","setApprovalForAll","","","can unset approval for an operator",""
"passed","Thu Mar 10 09:56:56 GMT 2022","Thu Mar 10 09:57:00 GMT 2022","4632","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner without an approved user","","","emits a Transfer event",""
"passed","Thu Mar 10 09:42:07 GMT 2022","Thu Mar 10 09:42:07 GMT 2022","119","Contract: PaymentSplitter","","","","","rejects null payees",""
"passed","Thu Mar 10 09:58:09 GMT 2022","Thu Mar 10 09:58:12 GMT 2022","3654","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner","","","clears the approval for the token ID",""
"passed","Thu Mar 10 09:54:46 GMT 2022","Thu Mar 10 09:54:48 GMT 2022","1283","Contract: SafeCast","toInt256","","","","casts INT256_MAX (57896044618658097711785492504343953926634992332820282019728792003956564819967)",""
"passed","Thu Mar 10 09:51:40 GMT 2022","Thu Mar 10 09:51:44 GMT 2022","4595","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Thu Mar 10 09:45:12 GMT 2022","Thu Mar 10 09:45:21 GMT 2022","8910","Contract: Governor","Contract interface","Governor > propose(address[],uint256[],bytes[],string)","","","has to be implemented",""
"passed","Thu Mar 10 09:53:05 GMT 2022","Thu Mar 10 09:53:07 GMT 2022","1256","Contract: SafeMath","with flag","mod > modulos correctly","","","when the dividend is smaller than the divisor",""
"passed","Thu Mar 10 09:52:50 GMT 2022","Thu Mar 10 09:53:11 GMT 2022","21031","Contract: Governor","Settings update","setVotingDelay","","","run",""
"passed","Thu Mar 10 09:52:26 GMT 2022","Thu Mar 10 09:52:32 GMT 2022","5539","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when sent to the owner","","","keeps same tokens by index",""
"passed","Thu Mar 10 09:50:17 GMT 2022","Thu Mar 10 09:50:28 GMT 2022","10708","Contract: Governor","state","Pending & Active","","","run",""
"passed","Thu Mar 10 09:48:17 GMT 2022","Thu Mar 10 09:48:19 GMT 2022","2149","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender transfers all balance","","","emits a transfer event",""
"passed","Thu Mar 10 09:53:37 GMT 2022","Thu Mar 10 09:53:38 GMT 2022","1311","Contract: SafeMath","with custom revert message","div","","","divides correctly",""
"passed","Thu Mar 10 10:03:18 GMT 2022","Thu Mar 10 10:03:21 GMT 2022","2515","Contract: ERC721Enumerable","with minted tokens","approve > when clearing approval > when there was no prior approval","","","clears approval for the token",""
"passed","Thu Mar 10 09:51:06 GMT 2022","Thu Mar 10 09:51:08 GMT 2022","1773","Contract: Arrays","findUpperBound","Empty array","","","always returns 0 for empty array",""
"passed","Thu Mar 10 10:04:25 GMT 2022","Thu Mar 10 10:04:27 GMT 2022","2055","Contract: ERC721Enumerable","with minted tokens","getApproved > when token is not minted","","","reverts",""
"skipped","Thu Mar 10 09:47:09 GMT 2022","Thu Mar 10 09:47:09 GMT 2022","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","reverts if block number >= current block",""
"passed","Thu Mar 10 09:56:45 GMT 2022","Thu Mar 10 09:56:49 GMT 2022","4803","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"passed","Thu Mar 10 09:45:39 GMT 2022","Thu Mar 10 09:45:47 GMT 2022","8411","Contract: GovernorTimelockCompound","Contract interface","GovernorTimelock > queue(address[],uint256[],bytes[],bytes32)","","","has to be implemented",""
"passed","Thu Mar 10 09:54:35 GMT 2022","Thu Mar 10 09:54:39 GMT 2022","3998","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Thu Mar 10 09:49:44 GMT 2022","Thu Mar 10 09:49:49 GMT 2022","4737","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the owner","","","clears the approval for the token ID",""
"passed","Thu Mar 10 09:59:09 GMT 2022","Thu Mar 10 09:59:13 GMT 2022","3730","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Thu Mar 10 09:53:10 GMT 2022","Thu Mar 10 09:53:12 GMT 2022","1578","Contract: SafeCast","toUint64","","","","reverts when downcasting 2^64 + 1 (18446744073709551617)",""
"passed","Thu Mar 10 09:54:58 GMT 2022","Thu Mar 10 09:55:01 GMT 2022","3414","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when sent to the owner","","","keeps same tokens by index",""
