"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 13 13:09:18 GMT 2022","Thu Jan 13 13:09:19 GMT 2022","1115","Contract: EnumerableSet","EnumerableBytes32Set","at","","","reverts when retrieving non-existent elements",""
"passed","Thu Jan 13 13:15:13 GMT 2022","Thu Jan 13 13:15:18 GMT 2022","4441","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner","","","emits an Approval event",""
"skipped","Thu Jan 13 13:03:54 GMT 2022","Thu Jan 13 13:03:54 GMT 2022","0","Contract: ERC20Votes","set delegation","call","","","delegation with balance",""
"passed","Thu Jan 13 13:01:52 GMT 2022","Thu Jan 13 13:01:53 GMT 2022","1199","Contract: TransparentUpgradeableProxy","upgradeTo","when the sender is not the admin","","","reverts",""
"passed","Thu Jan 13 13:07:14 GMT 2022","Thu Jan 13 13:07:17 GMT 2022","3019","Contract: Address","functionCall","with valid contract receiver","","","reverts when the called function runs out of gas",""
"passed","Thu Jan 13 13:04:21 GMT 2022","Thu Jan 13 13:04:22 GMT 2022","146","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"skipped","Thu Jan 13 13:00:52 GMT 2022","Thu Jan 13 13:00:52 GMT 2022","0","Contract: ERC1967Proxy","without initialization","when sending some balance","","","sets the implementation address",""
"passed","Thu Jan 13 12:59:52 GMT 2022","Thu Jan 13 12:59:56 GMT 2022","4462","Contract: PaymentSplitter","once deployed","shares","","","does not store shares if address is not payee",""
"skipped","Thu Jan 13 13:06:18 GMT 2022","Thu Jan 13 13:06:18 GMT 2022","0","Contract: GovernorTimelockControl","updateTimelock","","","","protected",""
"passed","Thu Jan 13 13:09:14 GMT 2022","Thu Jan 13 13:09:17 GMT 2022","2774","Contract: EnumerableMap","remove","","","","removes added keys",""
"passed","Thu Jan 13 13:17:13 GMT 2022","Thu Jan 13 13:17:18 GMT 2022","4606","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when sent to the owner","","","clears the approval for the token ID",""
"failed","Thu Jan 13 13:04:30 GMT 2022","Thu Jan 13 13:04:30 GMT 2022","0","Contract: GovernorTimelockCompound","re-queue / re-execute","","","","""after each"" hook for ""run""",""
"passed","Thu Jan 13 13:01:14 GMT 2022","Thu Jan 13 13:01:16 GMT 2022","2014","Contract: Clones","clone","initialization with parameters > payable > when sending some balance","","","has expected balance",""
"passed","Thu Jan 13 13:17:52 GMT 2022","Thu Jan 13 13:17:56 GMT 2022","4236","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > to a receiver contract that panics","","","reverts",""
"passed","Thu Jan 13 13:05:25 GMT 2022","Thu Jan 13 13:05:27 GMT 2022","1265","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > setApprovalForAll(address,bool)","","","has to be implemented",""
"passed","Thu Jan 13 13:06:18 GMT 2022","Thu Jan 13 13:06:23 GMT 2022","4653","Contract: ERC20","erc20 behaviour","transfer from > when the token owner is the zero address","","","reverts",""
"passed","Thu Jan 13 13:02:20 GMT 2022","Thu Jan 13 13:02:22 GMT 2022","1935","Contract: ERC1155PresetMinterPauser","Contract interface","ERC1155 > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Thu Jan 13 13:06:54 GMT 2022","Thu Jan 13 13:06:56 GMT 2022","2513","Contract: Context","msgData","","","","returns the transaction sender when from another contract",""
"skipped","Thu Jan 13 13:08:46 GMT 2022","Thu Jan 13 13:08:46 GMT 2022","1","Contract: Governor","Proposal length","","","","empty",""
"passed","Thu Jan 13 13:18:18 GMT 2022","Thu Jan 13 13:18:21 GMT 2022","3066","Contract: ERC721Enumerable","with minted tokens","safe mint > via safeMint > to a receiver contract returning unexpected value","","","reverts",""
