"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 03 09:01:41 GMT 2022","Thu Mar 03 09:01:48 GMT 2022","6964","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner without an approved user","","","emits a Transfer event",""
"passed","Thu Mar 03 08:57:30 GMT 2022","Thu Mar 03 08:57:43 GMT 2022","12593","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","adjusts owners tokens by index",""
"passed","Thu Mar 03 08:54:03 GMT 2022","Thu Mar 03 08:54:04 GMT 2022","1207","Contract: SafeCast","toUint256","","","","reverts when casting INT256_MIN (-57896044618658097711785492504343953926634992332820282019728792003956564819968)",""
"passed","Thu Mar 03 08:42:37 GMT 2022","Thu Mar 03 08:42:38 GMT 2022","1332","Contract: MinimalForwarder","with message","execute > invalid signature","","","tampered data",""
"broken","Thu Mar 03 08:44:11 GMT 2022","Thu Mar 03 08:44:11 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"passed","Thu Mar 03 08:44:21 GMT 2022","Thu Mar 03 08:44:27 GMT 2022","5824","Contract: ERC1155Burnable","burnBatch","","","","holder can burn their tokens",""
"passed","Thu Mar 03 08:53:31 GMT 2022","Thu Mar 03 08:53:36 GMT 2022","5388","Contract: SafeCast","toUint128","","","","reverts when downcasting 2^128 (340282366920938463463374607431768211456)",""
"passed","Thu Mar 03 08:42:54 GMT 2022","Thu Mar 03 08:43:09 GMT 2022","15022","Contract: Governor","Contract interface","Governor > COUNTING_MODE()","","","has to be implemented",""
"passed","Thu Mar 03 08:49:13 GMT 2022","Thu Mar 03 08:49:19 GMT 2022","6337","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the owner","","","adjusts owners tokens by index",""
"passed","Thu Mar 03 08:47:20 GMT 2022","Thu Mar 03 08:47:22 GMT 2022","2267","Contract: ERC20Snapshot","balanceOfAt","with initial snapshot > with no balance changes after the snapshot","","","returns the current balance for all accounts",""
"passed","Thu Mar 03 08:59:32 GMT 2022","Thu Mar 03 08:59:39 GMT 2022","7017","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when the given token ID does not exist","","","reverts",""
"skipped","Thu Mar 03 08:46:42 GMT 2022","Thu Mar 03 08:46:42 GMT 2022","0","Contract: ERC20VotesComp","transfers","","","","full delegation",""
"passed","Thu Mar 03 08:45:37 GMT 2022","Thu Mar 03 08:45:41 GMT 2022","3523","Contract: ERC20","transfer","when the recipient is not the zero address > when the sender transfers all balance","","","transfers the requested amount",""
"passed","Thu Mar 03 08:52:15 GMT 2022","Thu Mar 03 08:52:16 GMT 2022","1241","Contract: Math","average","","","","is correctly calculated with two odd numbers",""
"passed","Thu Mar 03 08:52:02 GMT 2022","Thu Mar 03 08:52:07 GMT 2022","5458","Contract: ERC721","with minted tokens","transfers > via transferFrom > when sent to the owner","","","clears the approval for the token ID",""
"passed","Thu Mar 03 08:54:54 GMT 2022","Thu Mar 03 08:54:59 GMT 2022","4709","Contract: TimersBlockNumber","","","","","reset",""
"passed","Thu Mar 03 08:44:22 GMT 2022","Thu Mar 03 08:44:26 GMT 2022","3191","Contract: ERC1155Supply","after mint","single","","","totalSupply",""
"passed","Thu Mar 03 08:46:52 GMT 2022","Thu Mar 03 08:46:54 GMT 2022","2617","Contract: ERC20","","","","","has a symbol",""
"passed","Thu Mar 03 08:50:48 GMT 2022","Thu Mar 03 08:50:55 GMT 2022","6913","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the operator","","","emits an Approval event",""
"skipped","Thu Mar 03 08:43:55 GMT 2022","Thu Mar 03 08:43:55 GMT 2022","0","Contract: TransparentUpgradeableProxy","initialization with parameters","payable > when sending some balance","","","sets the implementation address",""
"passed","Thu Mar 03 08:52:58 GMT 2022","Thu Mar 03 08:53:01 GMT 2022","3079","Contract: SafeMath","with flag","mod > modulos correctly","","","when the dividend is a multiple of the divisor",""
"passed","Thu Mar 03 08:50:38 GMT 2022","Thu Mar 03 08:50:44 GMT 2022","6140","Contract: ERC20","erc20 behaviour","approve > when the spender is the zero address","","","reverts",""
"passed","Thu Mar 03 08:43:21 GMT 2022","Thu Mar 03 08:43:24 GMT 2022","3155","Contract: Clones","clone","initialization with parameters > payable > when sending some balance","","","has expected balance",""
"passed","Thu Mar 03 08:53:02 GMT 2022","Thu Mar 03 08:53:06 GMT 2022","3772","Contract: SafeCast","toUint32","","","","reverts when downcasting 2^32 + 1 (4294967297)",""
"passed","Thu Mar 03 08:55:11 GMT 2022","Thu Mar 03 08:55:13 GMT 2022","1575","Contract: SafeCast","toInt32","","","","reverts when downcasting -2^31 - 2 (-2147483650)",""
"passed","Thu Mar 03 08:46:02 GMT 2022","Thu Mar 03 08:46:03 GMT 2022","1158","Contract: ERC20Capped","once deployed","capped token","","","starts with the correct cap",""
"passed","Thu Mar 03 08:44:01 GMT 2022","Thu Mar 03 08:44:03 GMT 2022","1686","Contract: TransparentUpgradeableProxy","initialization with parameters","reverting initialization","","","reverts",""
"skipped","Thu Mar 03 08:44:12 GMT 2022","Thu Mar 03 08:44:12 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"passed","Thu Mar 03 08:44:32 GMT 2022","Thu Mar 03 08:44:37 GMT 2022","4535","Contract: TransparentUpgradeableProxy","upgradeToAndCall","without migrations > when the call does not fail > when the sender is not the admin","","","reverts",""
"passed","Thu Mar 03 08:51:32 GMT 2022","Thu Mar 03 08:51:36 GMT 2022","4104","Contract: Escrow","as an escrow","withdrawals","","","can withdraw payments",""
"passed","Thu Mar 03 08:50:09 GMT 2022","Thu Mar 03 08:50:11 GMT 2022","2036","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721Enumerable > totalSupply()","","","has to be implemented",""
"passed","Thu Mar 03 08:53:47 GMT 2022","Thu Mar 03 08:53:52 GMT 2022","4833","Contract: SafeCast","toUint224","","","","downcasts 2^224 - 1 (26959946667150639794667015087019630673637144422540572481103610249215)",""
"passed","Thu Mar 03 08:50:29 GMT 2022","Thu Mar 03 08:50:30 GMT 2022","1637","Contract: ERC1155","ERC1155MetadataURI","","","","emits no URI event in constructor",""
"passed","Thu Mar 03 08:59:39 GMT 2022","Thu Mar 03 08:59:54 GMT 2022","15060","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","clears the approval for the token ID",""
"skipped","Thu Mar 03 08:46:42 GMT 2022","Thu Mar 03 08:46:42 GMT 2022","0","Contract: ERC20VotesComp","set delegation","with signature","","","rejects bad delegatee",""
"passed","Thu Mar 03 08:51:20 GMT 2022","Thu Mar 03 08:51:22 GMT 2022","2018","Contract: Escrow","as an escrow","deposits","","","emits a deposited event",""
"passed","Thu Mar 03 08:59:00 GMT 2022","Thu Mar 03 08:59:11 GMT 2022","10900","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract","","","calls onERC721Received from approved",""
"passed","Thu Mar 03 08:46:21 GMT 2022","Thu Mar 03 08:46:24 GMT 2022","2735","Contract: ERC20Burnable","burnFrom","on success > for a non-zero amount","","","burns the requested amount",""
"broken","Thu Mar 03 08:52:04 GMT 2022","Thu Mar 03 08:52:05 GMT 2022","1318","Contract: ERC1820Implementer","with no registered interfaces","","","","returns false when interface implementation is queried",""
"passed","Thu Mar 03 08:55:30 GMT 2022","Thu Mar 03 08:55:32 GMT 2022","2008","Contract: EnumerableMap","read","get with message","","","existing value",""
"passed","Thu Mar 03 08:46:54 GMT 2022","Thu Mar 03 08:46:59 GMT 2022","5375","Contract: ERC20Snapshot","totalSupplyAt","with initial snapshot > with supply changes after the snapshot","","","returns the total supply before the changes",""
"failed","Thu Mar 03 08:48:19 GMT 2022","Thu Mar 03 08:48:20 GMT 2022","1414","Contract: ERC721","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Thu Mar 03 08:47:32 GMT 2022","Thu Mar 03 08:47:57 GMT 2022","24224","Contract: GovernorTimelockControl","executed by other proposer","","","","run",""
"passed","Thu Mar 03 08:47:24 GMT 2022","Thu Mar 03 08:47:27 GMT 2022","2498","Contract: ERC20","_mint","for a non zero account","","","increments totalSupply",""
"passed","Thu Mar 03 08:47:41 GMT 2022","Thu Mar 03 08:47:44 GMT 2022","2957","Contract: ERC20PresetMinterPauser","pausing","","","","other accounts cannot unpause",""
"passed","Thu Mar 03 08:50:58 GMT 2022","Thu Mar 03 08:51:03 GMT 2022","5455","Contract: ERC721PresetMinterPauserAutoId","burning","","","","holders can burn their tokens",""
"failed","Thu Mar 03 08:45:07 GMT 2022","Thu Mar 03 08:45:11 GMT 2022","4680","Contract: ERC1155Holder","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"broken","Thu Mar 03 08:49:44 GMT 2022","Thu Mar 03 08:49:44 GMT 2022","1","Contract: ERC777PresetFixedSupply","","","","","""before all"" hook for ""returns the name""",""
"passed","Thu Mar 03 08:53:10 GMT 2022","Thu Mar 03 08:53:12 GMT 2022","2902","Contract: SignedSafeMath","div","","","","reverts on division by zero",""
"skipped","Thu Mar 03 08:46:42 GMT 2022","Thu Mar 03 08:46:42 GMT 2022","0","Contract: ERC20VotesComp","Compound test suite","balanceOf","","","grants to initial account",""
"passed","Thu Mar 03 09:01:24 GMT 2022","Thu Mar 03 09:01:28 GMT 2022","4608","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner without an approved user","","","emits a Transfer event",""
"passed","Thu Mar 03 08:49:03 GMT 2022","Thu Mar 03 08:49:09 GMT 2022","6061","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > to a receiver contract that reverts only on single transfers","","","emits a TransferBatch log",""
"passed","Thu Mar 03 08:48:00 GMT 2022","Thu Mar 03 08:48:06 GMT 2022","5361","Contract: TokenTimelock","with token","once deployed","","","cannot be released just before time limit",""
"passed","Thu Mar 03 08:43:16 GMT 2022","Thu Mar 03 08:43:18 GMT 2022","2390","Contract: Clones","clone","initialization with parameters > payable > when not sending balance","","","has expected balance",""
"passed","Thu Mar 03 08:41:18 GMT 2022","Thu Mar 03 08:41:18 GMT 2022","640","Contract: PaymentSplitter","","","","","rejects null payees",""
"passed","Thu Mar 03 08:47:25 GMT 2022","Thu Mar 03 08:47:32 GMT 2022","7851","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when called by an operator on behalf of the multiTokenHolder > when operator is approved by multiTokenHolder","","","debits transferred balances from sender",""
"passed","Thu Mar 03 08:41:50 GMT 2022","Thu Mar 03 08:41:58 GMT 2022","7609","Contract: GovernorTimelockCompound","Contract interface","Governor > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Thu Mar 03 09:03:18 GMT 2022","Thu Mar 03 09:03:22 GMT 2022","3876","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the approved individual","","","clears the approval for the token ID",""
"passed","Thu Mar 03 08:49:53 GMT 2022","Thu Mar 03 08:49:56 GMT 2022","2576","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721 > getApproved(uint256)","","","has to be implemented",""
"passed","Thu Mar 03 08:45:17 GMT 2022","Thu Mar 03 08:45:20 GMT 2022","2300","Contract: TransparentUpgradeableProxy","storage","","","","should store the implementation address in specified location",""
"passed","Thu Mar 03 08:49:42 GMT 2022","Thu Mar 03 08:49:47 GMT 2022","5717","Contract: ERC20","erc20 behaviour","transfer from > when the token owner is not the zero address > when the recipient is the zero address","","","reverts",""
"passed","Thu Mar 03 08:49:54 GMT 2022","Thu Mar 03 08:49:55 GMT 2022","1216","Contract: Arrays","findUpperBound","Even number of elements","","","returns 0 for the element under the lower boundary",""
"passed","Thu Mar 03 08:46:41 GMT 2022","Thu Mar 03 08:47:04 GMT 2022","23177","Contract: Governor","scenario","send ethers","","","run",""
"passed","Thu Mar 03 08:45:56 GMT 2022","Thu Mar 03 08:45:57 GMT 2022","1406","Contract: ERC20Permit","permit","","","","rejects other signature",""
"passed","Thu Mar 03 08:49:34 GMT 2022","Thu Mar 03 08:49:36 GMT 2022","1642","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > balanceOfBatch(address[],uint256[])","","","has to be implemented",""
"passed","Thu Mar 03 08:51:41 GMT 2022","Thu Mar 03 08:51:46 GMT 2022","5231","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when sent to the owner","","","clears the approval for the token ID",""
"passed","Thu Mar 03 08:51:14 GMT 2022","Thu Mar 03 08:51:16 GMT 2022","1293","Contract: ECDSA","recover with valid signature","with v1 signature","","","works with short EIP2098 format",""
"passed","Thu Mar 03 08:53:22 GMT 2022","Thu Mar 03 08:53:23 GMT 2022","1284","Contract: Strings","from uint256 - decimal format","","","","converts a positive number",""
"passed","Thu Mar 03 08:47:37 GMT 2022","Thu Mar 03 08:47:39 GMT 2022","2534","Contract: ERC20PresetMinterPauser","pausing","","","","cannot mint while paused",""
"passed","Thu Mar 03 08:52:24 GMT 2022","Thu Mar 03 08:52:39 GMT 2022","15558","Contract: ERC721","with minted tokens","transfers > via transferFrom > when the address of the previous owner is incorrect","","","reverts",""
"passed","Thu Mar 03 08:48:05 GMT 2022","Thu Mar 03 08:48:07 GMT 2022","1392","Contract: ERC20","_transfer","when the sender is the zero address","","","reverts",""
"passed","Thu Mar 03 08:56:56 GMT 2022","Thu Mar 03 08:56:59 GMT 2022","2938","Contract: EnumerableSet","EnumerableUintSet","remove","","","returns false when removing values not in the set",""
"passed","Thu Mar 03 08:52:21 GMT 2022","Thu Mar 03 08:52:23 GMT 2022","1899","Contract: SafeCast","toUint8","","","","downcasts 2^8 - 1 (255)",""
"passed","Thu Mar 03 08:53:15 GMT 2022","Thu Mar 03 08:53:16 GMT 2022","1363","Contract: MulticallToken","","","","","bubbles up revert reasons",""
"skipped","Thu Mar 03 08:41:47 GMT 2022","Thu Mar 03 08:41:47 GMT 2022","0","Contract: TimelockController","methods","batch > schedule","","","enforce minimum delay",""
"passed","Thu Mar 03 08:56:50 GMT 2022","Thu Mar 03 08:56:51 GMT 2022","1097","Contract: EnumerableSet","EnumerableUintSet","at","","","reverts when retrieving non-existent elements",""
"skipped","Thu Mar 03 08:44:53 GMT 2022","Thu Mar 03 08:44:53 GMT 2022","0","Contract: TransparentUpgradeableProxy","upgradeToAndCall","with migrations > when the sender is the admin > when upgrading to V1 > when upgrading to V2","","","calls the 'migrate' function and sends given value to the proxy",""
"passed","Thu Mar 03 08:54:39 GMT 2022","Thu Mar 03 08:54:41 GMT 2022","1948","Contract: EnumerableMap","remove","","","","returns false when removing keys not in the set",""
"passed","Thu Mar 03 08:50:01 GMT 2022","Thu Mar 03 08:50:03 GMT 2022","1818","Contract: Arrays","findUpperBound","Odd number of elements","","","returns 0 for the element under the lower boundary",""
"passed","Thu Mar 03 08:48:29 GMT 2022","Thu Mar 03 08:48:34 GMT 2022","4651","Contract: ERC721Burnable","like a burnable ERC721","burn > when successful","","","burns the given token ID and adjusts the balance of the owner",""
"passed","Thu Mar 03 08:50:42 GMT 2022","Thu Mar 03 08:50:44 GMT 2022","2120","Contract: Create2","computeAddress","","","","computes the correct contract address",""
"passed","Thu Mar 03 08:51:10 GMT 2022","Thu Mar 03 08:51:26 GMT 2022","16387","Contract: ConditionalEscrow","when withdrawal is allowed","as an escrow > deposits","","","can accept a single deposit",""
"failed","Thu Mar 03 08:51:50 GMT 2022","Thu Mar 03 08:51:51 GMT 2022","1238","Contract: ERC165Storage","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Thu Mar 03 08:54:14 GMT 2022","Thu Mar 03 08:54:18 GMT 2022","4554","Contract: SafeCast","toInt8","","","","downcasts -2^7 (-128)",""
"passed","Thu Mar 03 08:44:14 GMT 2022","Thu Mar 03 08:44:18 GMT 2022","3636","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns amounts owned by each account in order passed",""
"passed","Thu Mar 03 08:55:36 GMT 2022","Thu Mar 03 08:55:50 GMT 2022","13491","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the approved individual","","","clears the approval for the token ID",""
"passed","Thu Mar 03 08:45:48 GMT 2022","Thu Mar 03 08:46:14 GMT 2022","25570","Contract: Governor","scenario","nominal","","","run",""
"passed","Thu Mar 03 08:58:41 GMT 2022","Thu Mar 03 08:58:49 GMT 2022","8004","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when the address to transfer the token to is the zero address","","","reverts",""
"passed","Thu Mar 03 08:53:38 GMT 2022","Thu Mar 03 08:53:42 GMT 2022","4191","Contract: SafeMath","with default revert message","mod > modulos correctly","","","when the dividend is equal to the divisor",""
"passed","Thu Mar 03 08:41:45 GMT 2022","Thu Mar 03 08:41:49 GMT 2022","3210","Contract: PaymentSplitter","once deployed","release > Ether","","","reverts if non-payee want to claim",""
"passed","Thu Mar 03 08:47:54 GMT 2022","Thu Mar 03 08:47:56 GMT 2022","2445","Contract: SafeERC20","with token that returns false on all calls","","","","reverts on increaseAllowance",""
"passed","Thu Mar 03 08:42:23 GMT 2022","Thu Mar 03 08:42:25 GMT 2022","1719","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered data",""
"passed","Thu Mar 03 08:50:13 GMT 2022","Thu Mar 03 08:50:20 GMT 2022","6577","Contract: Address","sendValue","when sender contract has funds > with contract recipient","","","sends funds",""
"passed","Thu Mar 03 08:49:02 GMT 2022","Thu Mar 03 08:49:09 GMT 2022","6615","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner","","","transfers the ownership of the given token ID to the given address",""
