"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 04 13:06:01 GMT 2022","Fri Mar 04 13:06:05 GMT 2022","3350","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when sent to the owner","","","keeps same tokens by index",""
"passed","Fri Mar 04 13:10:31 GMT 2022","Fri Mar 04 13:10:34 GMT 2022","3422","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when sent to the owner","","","emits only a transfer event",""
"broken","Fri Mar 04 12:42:12 GMT 2022","Fri Mar 04 12:42:12 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"passed","Fri Mar 04 13:05:34 GMT 2022","Fri Mar 04 13:05:38 GMT 2022","4248","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner without an approved user","","","emits an Approval event",""
"passed","Fri Mar 04 13:00:36 GMT 2022","Fri Mar 04 13:00:41 GMT 2022","4758","Contract: ERC165Checker","ERC165 and many interfaces supported","","","","supports none of the interfaces queried via supportsAllInterfaces",""
"passed","Fri Mar 04 12:58:54 GMT 2022","Fri Mar 04 12:58:55 GMT 2022","1237","Contract: ECDSA","recover with valid signature","with v1 signature","","","reverts with 01 as version value",""
"passed","Fri Mar 04 12:49:15 GMT 2022","Fri Mar 04 12:49:29 GMT 2022","13676","Contract: TransparentUpgradeableProxy","regression","","","","should remove fallback function",""
"passed","Fri Mar 04 13:01:32 GMT 2022","Fri Mar 04 13:01:34 GMT 2022","2855","Contract: MulticallToken","","","","","batches function calls",""
"passed","Fri Mar 04 12:56:44 GMT 2022","Fri Mar 04 12:56:47 GMT 2022","3073","Contract: Address","sendValue","when sender contract has no funds","","","sends 0 wei",""
"passed","Fri Mar 04 13:04:26 GMT 2022","Fri Mar 04 13:04:27 GMT 2022","1290","Contract: SafeCast","toInt128","","","","reverts when downcasting 2^127 (170141183460469231731687303715884105728)",""
"passed","Fri Mar 04 12:57:46 GMT 2022","Fri Mar 04 12:57:54 GMT 2022","8044","Contract: Create2","deploy","","","","deploys a contract with funds deposited in the factory",""
"passed","Fri Mar 04 13:14:14 GMT 2022","Fri Mar 04 13:14:17 GMT 2022","3382","Contract: ERC721","with minted tokens","approve > when clearing approval > when there was no prior approval","","","clears approval for the token",""
"passed","Fri Mar 04 13:04:30 GMT 2022","Fri Mar 04 13:04:31 GMT 2022","1190","Contract: SafeCast","toInt256","","","","casts 0",""
"passed","Fri Mar 04 13:02:31 GMT 2022","Fri Mar 04 13:02:35 GMT 2022","4426","Contract: StorageSlot","bytes32 storage slot","get","","","from right slot",""
"skipped","Fri Mar 04 12:49:43 GMT 2022","Fri Mar 04 12:49:43 GMT 2022","0","Contract: ERC20Votes","change delegation","","","","call",""
"passed","Fri Mar 04 13:02:15 GMT 2022","Fri Mar 04 13:02:17 GMT 2022","1657","Contract: Strings","from uint256 - decimal format","","","","converts MAX_UINT256",""
"broken","Fri Mar 04 12:53:48 GMT 2022","Fri Mar 04 12:54:18 GMT 2022","29152","Contract: GovernorTimelockControl","re-queue / re-execute","","","","run",""
"passed","Fri Mar 04 12:45:30 GMT 2022","Fri Mar 04 12:45:39 GMT 2022","9347","Contract: ERC1155","like an ERC1155","safeTransferFrom > when called by the multiTokenHolder","","","debits transferred balance from sender",""
"passed","Fri Mar 04 13:01:57 GMT 2022","Fri Mar 04 13:02:12 GMT 2022","14558","Contract: ERC721","with minted tokens","transfers > via transferFrom > when the sender is not authorized for the token id","","","reverts",""
"passed","Fri Mar 04 13:10:56 GMT 2022","Fri Mar 04 13:11:00 GMT 2022","4176","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract","","","calls onERC721Received",""
"passed","Fri Mar 04 12:50:17 GMT 2022","Fri Mar 04 12:50:21 GMT 2022","4181","Contract: ERC20","decrease allowance","when the spender is not the zero address > when the sender has enough balance > when the spender had an approved amount","","","sets the allowance to zero when all allowance is removed",""
"passed","Fri Mar 04 13:06:35 GMT 2022","Fri Mar 04 13:06:41 GMT 2022","5410","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","emits an Approval event",""
"passed","Fri Mar 04 12:46:57 GMT 2022","Fri Mar 04 12:46:59 GMT 2022","1678","Contract: ERC1155PresetMinterPauser","Contract interface","AccessControl > revokeRole(bytes32,address)","","","has to be implemented",""
