"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 03 16:04:27 GMT 2022","Thu Mar 03 16:04:27 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"passed","Thu Mar 03 16:04:16 GMT 2022","Thu Mar 03 16:04:18 GMT 2022","1261","tests.brownie","test_brownie","","","","test_brownie_connect",""
"broken","Thu Mar 03 16:04:31 GMT 2022","Thu Mar 03 16:04:31 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"broken","Thu Mar 03 16:04:30 GMT 2022","Thu Mar 03 16:04:30 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Thu Mar 03 16:04:31 GMT 2022","Thu Mar 03 16:04:31 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"failed","Thu Mar 03 16:06:44 GMT 2022","Thu Mar 03 16:07:02 GMT 2022","17257","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"broken","Thu Mar 03 16:04:30 GMT 2022","Thu Mar 03 16:04:30 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"passed","Thu Mar 03 16:02:51 GMT 2022","Thu Mar 03 16:02:51 GMT 2022","6","Ethers.js","","","","","testStateChangingMethods",""
"broken","Thu Mar 03 16:02:50 GMT 2022","Thu Mar 03 16:02:51 GMT 2022","713","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Thu Mar 03 16:04:27 GMT 2022","Thu Mar 03 16:04:27 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"skipped","Thu Mar 03 16:04:31 GMT 2022","Thu Mar 03 16:04:31 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"broken","Thu Mar 03 16:04:29 GMT 2022","Thu Mar 03 16:04:29 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"broken","Thu Mar 03 16:04:27 GMT 2022","Thu Mar 03 16:04:27 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Thu Mar 03 16:04:29 GMT 2022","Thu Mar 03 16:04:29 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Thu Mar 03 16:02:50 GMT 2022","Thu Mar 03 16:02:50 GMT 2022","7","Ethers.js","","","","","testContracts",""
"failed","Thu Mar 03 16:05:47 GMT 2022","Thu Mar 03 16:06:04 GMT 2022","16821","tests.truffle","test_truffle","","","","test_truffle_migration",""
"broken","Thu Mar 03 16:04:29 GMT 2022","Thu Mar 03 16:04:29 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"broken","Thu Mar 03 16:04:29 GMT 2022","Thu Mar 03 16:04:29 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"passed","Thu Mar 03 16:06:04 GMT 2022","Thu Mar 03 16:06:24 GMT 2022","20156","tests.truffle","test_truffle","","","","test_truffle_contract",""
"broken","Thu Mar 03 16:04:27 GMT 2022","Thu Mar 03 16:04:27 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"broken","Thu Mar 03 16:04:30 GMT 2022","Thu Mar 03 16:04:30 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"broken","Thu Mar 03 16:04:28 GMT 2022","Thu Mar 03 16:04:28 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
"passed","Thu Mar 03 16:06:24 GMT 2022","Thu Mar 03 16:06:44 GMT 2022","20076","tests.truffle","test_truffle","","","","test_truffle_test",""
"skipped","Thu Mar 03 16:04:31 GMT 2022","Thu Mar 03 16:04:31 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Thu Mar 03 16:02:52 GMT 2022","Thu Mar 03 16:02:52 GMT 2022","5","ethjs","","","","","Connection test (js)",""
"broken","Thu Mar 03 16:02:51 GMT 2022","Thu Mar 03 16:02:52 GMT 2022","324","Ethers.js","","","","","testSigningMessages",""
