"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 23 09:29:29 GMT 2022","Wed Feb 23 09:29:29 GMT 2022","0","Contract: ERC20Votes","transfers","","","","receiver delegation",""
"passed","Wed Feb 23 09:25:40 GMT 2022","Wed Feb 23 09:25:46 GMT 2022","6612","Contract: Governor","Contract interface","Governor > version()","","","has to be implemented",""
"passed","Wed Feb 23 09:34:01 GMT 2022","Wed Feb 23 09:34:04 GMT 2022","2788","Contract: Escrow","as an escrow","deposits","","","can add multiple deposits on a single account",""
"passed","Wed Feb 23 09:30:08 GMT 2022","Wed Feb 23 09:30:15 GMT 2022","7356","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when sending to a valid receiver > without data","","","debits transferred balances from sender",""
"failed","Wed Feb 23 09:33:11 GMT 2022","Wed Feb 23 09:33:13 GMT 2022","1815","Contract: ERC721PresetMinterPauserAutoId","Contract interface","AccessControlEnumerable > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Wed Feb 23 09:35:49 GMT 2022","Wed Feb 23 09:35:50 GMT 2022","1256","Contract: SafeMath","with flag","mod > modulos correctly","","","when the dividend is larger than the divisor",""
"passed","Wed Feb 23 09:36:05 GMT 2022","Wed Feb 23 09:36:07 GMT 2022","1793","Contract: StorageSlot","boolean storage slot","","","","set",""
"passed","Wed Feb 23 09:40:12 GMT 2022","Wed Feb 23 09:40:16 GMT 2022","3449","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the approved individual","","","emits an Approval event",""
"skipped","Wed Feb 23 09:26:29 GMT 2022","Wed Feb 23 09:26:29 GMT 2022","0","Contract: TransparentUpgradeableProxy","initialization without parameters","payable > when sending some balance","","","sets the implementation address",""
"passed","Wed Feb 23 09:37:05 GMT 2022","Wed Feb 23 09:37:09 GMT 2022","3968","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner","","","emits a Transfer event",""
"passed","Wed Feb 23 09:26:17 GMT 2022","Wed Feb 23 09:26:25 GMT 2022","7994","Contract: Governor","Contract interface","Governor > proposalDeadline(uint256)","","","has to be implemented",""
"passed","Wed Feb 23 09:35:39 GMT 2022","Wed Feb 23 09:35:40 GMT 2022","1301","Contract: SafeMath","with flag","mul","","","reverts on multiplication overflow",""
"passed","Wed Feb 23 09:42:32 GMT 2022","Wed Feb 23 09:42:36 GMT 2022","4165","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the approved individual","","","adjusts owners tokens by index",""
"passed","Wed Feb 23 09:34:48 GMT 2022","Wed Feb 23 09:34:53 GMT 2022","4872","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner","","","adjusts owners tokens by index",""
"passed","Wed Feb 23 09:33:51 GMT 2022","Wed Feb 23 09:33:51 GMT 2022","83","Contract: SignatureChecker (ERC1271)","ERC1271 wallet","","","","with invalid signer",""
"passed","Wed Feb 23 09:37:03 GMT 2022","Wed Feb 23 09:37:05 GMT 2022","2084","Contract: EnumerableSet","EnumerableAddressSet","remove","","","removes added values",""
"passed","Wed Feb 23 09:36:05 GMT 2022","Wed Feb 23 09:36:07 GMT 2022","1412","Contract: Strings","from uint256 - decimal format","","","","converts 0",""
"passed","Wed Feb 23 09:29:31 GMT 2022","Wed Feb 23 09:29:33 GMT 2022","1717","Contract: ERC20Pausable","pausable token","burn","","","allows to burn when unpaused",""
"passed","Wed Feb 23 09:32:37 GMT 2022","Wed Feb 23 09:32:43 GMT 2022","6185","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the approved individual","","","adjusts owners balances",""
"broken","Wed Feb 23 09:28:30 GMT 2022","Wed Feb 23 09:28:30 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"passed","Wed Feb 23 09:44:00 GMT 2022","Wed Feb 23 09:44:03 GMT 2022","3776","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when the given token ID does not exist","","","reverts",""
"passed","Wed Feb 23 09:28:17 GMT 2022","Wed Feb 23 09:28:20 GMT 2022","3227","Contract: ERC1155PresetMinterPauser","batched minting","","","","deployer can batch mint tokens",""
"passed","Wed Feb 23 09:27:05 GMT 2022","Wed Feb 23 09:27:09 GMT 2022","3928","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns amounts owned by each account in order passed",""
"passed","Wed Feb 23 09:30:48 GMT 2022","Wed Feb 23 09:31:11 GMT 2022","23193","Contract: Governor","scenario","double cast","","","run",""
"passed","Wed Feb 23 09:25:51 GMT 2022","Wed Feb 23 09:25:52 GMT 2022","1256","Contract: ERC1967Proxy","without initialization","when not sending balance","","","has expected balance",""
"passed","Wed Feb 23 09:41:20 GMT 2022","Wed Feb 23 09:41:25 GMT 2022","4072","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract","","","calls onERC721Received",""
"skipped","Wed Feb 23 09:27:50 GMT 2022","Wed Feb 23 09:27:50 GMT 2022","0","Contract: TransparentUpgradeableProxy","upgradeToAndCall","with migrations > when the sender is the admin > when upgrading to V1 > when upgrading to V2 > when upgrading to V3","","","calls the 'migrate' function and sends given value to the proxy",""
"passed","Wed Feb 23 09:25:38 GMT 2022","Wed Feb 23 09:25:47 GMT 2022","8694","Contract: GovernorTimelockControl","Contract interface","Governor > version()","","","has to be implemented",""
"passed","Wed Feb 23 09:27:02 GMT 2022","Wed Feb 23 09:27:11 GMT 2022","8196","Contract: GovernorTimelockCompound","Contract interface","Governor > castVoteBySig(uint256,uint8,uint8,bytes32,bytes32)","","","has to be implemented",""
"skipped","Wed Feb 23 09:34:36 GMT 2022","Wed Feb 23 09:34:36 GMT 2022","0","Contract: Governor","Proposal length","","","","missmatch #1",""
"passed","Wed Feb 23 09:29:04 GMT 2022","Wed Feb 23 09:29:07 GMT 2022","3276","Contract: ERC20","decrease allowance","when the spender is not the zero address > when the sender has enough balance > when the spender had an approved amount","","","emits an approval event",""
"passed","Wed Feb 23 09:24:27 GMT 2022","Wed Feb 23 09:24:28 GMT 2022","933","Contract: Ownable","transfer ownership","","","","prevents non-owners from transferring",""
"passed","Wed Feb 23 09:30:22 GMT 2022","Wed Feb 23 09:30:25 GMT 2022","2901","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender transfers all balance","","","transfers the requested amount",""
"passed","Wed Feb 23 09:31:46 GMT 2022","Wed Feb 23 09:31:48 GMT 2022","1345","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > safeTransferFrom(address,address,uint256,uint256,bytes)","","","has to be implemented",""
"passed","Wed Feb 23 09:34:03 GMT 2022","Wed Feb 23 09:34:04 GMT 2022","1256","Contract: ECDSA","recover with valid signature","with v1 signature","","","reverts with wrong version",""
"passed","Wed Feb 23 09:30:37 GMT 2022","Wed Feb 23 09:30:43 GMT 2022","5812","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when sending to a valid receiver > with data","","","credits transferred balances to receiver",""
"passed","Wed Feb 23 09:40:32 GMT 2022","Wed Feb 23 09:40:35 GMT 2022","3252","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits an Approval event",""
"passed","Wed Feb 23 09:37:53 GMT 2022","Wed Feb 23 09:37:57 GMT 2022","4038","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the approved individual","","","emits an Approval event",""
"passed","Wed Feb 23 09:45:27 GMT 2022","Wed Feb 23 09:45:30 GMT 2022","2808","Contract: ERC721Enumerable","with minted tokens","approve > when the sender is an operator","","","emits an approval event",""
"passed","Wed Feb 23 09:41:02 GMT 2022","Wed Feb 23 09:41:06 GMT 2022","3360","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when sent to the owner","","","keeps the owner balance",""
"passed","Wed Feb 23 09:25:11 GMT 2022","Wed Feb 23 09:25:17 GMT 2022","6171","Contract: GovernorTimelockCompound","Contract interface","Governor > version()","","","has to be implemented",""
"passed","Wed Feb 23 09:34:21 GMT 2022","Wed Feb 23 09:34:23 GMT 2022","1810","Contract: ERC165Checker","ERC165 missing return data","","","","does not support mock interface via supportsAllInterfaces",""
"passed","Wed Feb 23 09:25:23 GMT 2022","Wed Feb 23 09:25:26 GMT 2022","2297","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered nonce",""
"passed","Wed Feb 23 09:34:34 GMT 2022","Wed Feb 23 09:34:36 GMT 2022","2201","Contract: ERC165Checker","ERC165 not supported","","","","does not support mock interface via getSupportedInterfaces",""
"passed","Wed Feb 23 09:26:44 GMT 2022","Wed Feb 23 09:26:47 GMT 2022","3055","Contract: Pausable","when unpaused","when paused > unpausing > when unpaused","","","should resume allowing normal process",""
"passed","Wed Feb 23 09:31:28 GMT 2022","Wed Feb 23 09:31:33 GMT 2022","4366","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > to a contract that does not implement the required function","","","reverts",""
"passed","Wed Feb 23 09:37:57 GMT 2022","Wed Feb 23 09:38:01 GMT 2022","4295","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the approved individual","","","adjusts owners balances",""
"passed","Wed Feb 23 09:35:39 GMT 2022","Wed Feb 23 09:35:41 GMT 2022","1165","Contract: SafeCast","toUint32","","","","downcasts 1",""
"passed","Wed Feb 23 09:36:07 GMT 2022","Wed Feb 23 09:36:08 GMT 2022","1125","Contract: SafeMath","with default revert message","mod > modulos correctly","","","when the dividend is smaller than the divisor",""
"passed","Wed Feb 23 09:25:02 GMT 2022","Wed Feb 23 09:25:06 GMT 2022","3904","Contract: AccessControl","renouncing","with granted role","","","only the sender can renounce their roles",""
"passed","Wed Feb 23 09:32:54 GMT 2022","Wed Feb 23 09:32:56 GMT 2022","1754","Contract: ERC721PresetMinterPauserAutoId","Contract interface","ERC721Enumerable > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"skipped","Wed Feb 23 09:24:48 GMT 2022","Wed Feb 23 09:24:48 GMT 2022","0","Contract: TimelockController","methods","batch > execute","","","partial execution",""
"passed","Wed Feb 23 09:33:27 GMT 2022","Wed Feb 23 09:33:35 GMT 2022","8671","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner without an approved user","","","clears the approval for the token ID",""
"passed","Wed Feb 23 09:46:00 GMT 2022","Wed Feb 23 09:46:02 GMT 2022","2339","Contract: ERC721","_burn","with minted tokens > with burnt token","","","reverts when burning a token id that has been deleted",""
"passed","Wed Feb 23 09:26:15 GMT 2022","Wed Feb 23 09:26:18 GMT 2022","2654","Contract: Clones","clone","initialization with parameters > payable > when not sending balance","","","has expected balance",""
"passed","Wed Feb 23 09:40:19 GMT 2022","Wed Feb 23 09:40:22 GMT 2022","3150","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits an Approval event",""
"passed","Wed Feb 23 09:31:51 GMT 2022","Wed Feb 23 09:31:53 GMT 2022","2201","Contract: ERC1155","internal functions","_mint > with minted tokens","","","emits a TransferSingle event",""
"failed","Wed Feb 23 09:25:11 GMT 2022","Wed Feb 23 09:25:19 GMT 2022","7151","Contract: Governor","Contract interface","Governor > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Wed Feb 23 09:42:36 GMT 2022","Wed Feb 23 09:42:40 GMT 2022","4079","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the operator","","","transfers the ownership of the given token ID to the given address",""
"passed","Wed Feb 23 09:34:25 GMT 2022","Wed Feb 23 09:34:29 GMT 2022","3687","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner","","","transfers the ownership of the given token ID to the given address",""
"passed","Wed Feb 23 09:31:40 GMT 2022","Wed Feb 23 09:32:02 GMT 2022","22401","Contract: GovernorTimelockControl","cancel after queue prevents execution","","","","run",""
"passed","Wed Feb 23 09:28:38 GMT 2022","Wed Feb 23 09:28:41 GMT 2022","2571","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is not the zero address > when the spender has enough approved balance > when the token owner does not have enough balance","","","reverts",""
"passed","Wed Feb 23 09:46:57 GMT 2022","Wed Feb 23 09:46:59 GMT 2022","2893","Contract: ERC721Enumerable","with minted tokens","tokenOfOwnerByIndex > after transferring all tokens to another user","","","returns empty collection for original owner",""
"passed","Wed Feb 23 09:36:14 GMT 2022","Wed Feb 23 09:36:15 GMT 2022","1244","Contract: Strings","from uint256 - fixed hex format","","","","converts a positive number (short)",""
"passed","Wed Feb 23 09:27:03 GMT 2022","Wed Feb 23 09:27:05 GMT 2022","1712","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts don't own tokens","","","returns zeros for each account",""
"passed","Wed Feb 23 09:31:50 GMT 2022","Wed Feb 23 09:31:51 GMT 2022","1482","Contract: ERC1155","internal functions","_mint","","","reverts with a zero destination address",""
