"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 23 05:35:46 GMT 2022","Wed Feb 23 05:35:46 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"passed","Wed Feb 23 05:33:48 GMT 2022","Wed Feb 23 05:33:48 GMT 2022","6","Ethers.js","","","","","testContracts",""
"broken","Wed Feb 23 05:33:48 GMT 2022","Wed Feb 23 05:33:48 GMT 2022","286","Ethers.js","","","","","testQueryHistoricEvents",""
"failed","Wed Feb 23 05:37:03 GMT 2022","Wed Feb 23 05:37:19 GMT 2022","16081","tests.truffle","test_truffle","","","","test_truffle_migration",""
"skipped","Wed Feb 23 05:35:49 GMT 2022","Wed Feb 23 05:35:49 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Wed Feb 23 05:33:49 GMT 2022","Wed Feb 23 05:33:49 GMT 2022","627","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"failed","Wed Feb 23 05:36:08 GMT 2022","Wed Feb 23 05:36:26 GMT 2022","18380","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"broken","Wed Feb 23 05:35:45 GMT 2022","Wed Feb 23 05:35:45 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"passed","Wed Feb 23 05:33:07 GMT 2022","Wed Feb 23 05:33:08 GMT 2022","133","Contract: PaymentSplitter","","","","","rejects an empty set of payees",""
"skipped","Wed Feb 23 05:33:07 GMT 2022","Wed Feb 23 05:33:07 GMT 2022","1","Contract: GovernorComp","","","","","deployment check",""
"broken","Wed Feb 23 05:35:42 GMT 2022","Wed Feb 23 05:35:43 GMT 2022","1239","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"failed","Wed Feb 23 05:33:07 GMT 2022","Wed Feb 23 05:33:08 GMT 2022","1423","Contract: AccessControl","Contract interface","AccessControl > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"broken","Wed Feb 23 05:35:47 GMT 2022","Wed Feb 23 05:35:47 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"broken","Wed Feb 23 05:35:46 GMT 2022","Wed Feb 23 05:35:46 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"passed","Wed Feb 23 05:33:08 GMT 2022","Wed Feb 23 05:33:08 GMT 2022","102","Contract: PaymentSplitter","","","","","rejects null payees",""
"broken","Wed Feb 23 05:35:48 GMT 2022","Wed Feb 23 05:35:48 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"broken","Wed Feb 23 05:35:48 GMT 2022","Wed Feb 23 05:35:48 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"broken","Wed Feb 23 05:33:45 GMT 2022","Wed Feb 23 05:33:47 GMT 2022","1209","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Wed Feb 23 05:35:48 GMT 2022","Wed Feb 23 05:35:48 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"failed","Wed Feb 23 05:35:49 GMT 2022","Wed Feb 23 05:36:08 GMT 2022","19193","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"passed","Wed Feb 23 05:33:48 GMT 2022","Wed Feb 23 05:33:48 GMT 2022","5","Ethers.js","","","","","testStateChangingMethods",""
"broken","Wed Feb 23 05:35:48 GMT 2022","Wed Feb 23 05:35:48 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Wed Feb 23 05:35:49 GMT 2022","Wed Feb 23 05:35:49 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"broken","Wed Feb 23 05:35:46 GMT 2022","Wed Feb 23 05:35:46 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Wed Feb 23 05:35:45 GMT 2022","Wed Feb 23 05:35:45 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Wed Feb 23 05:35:48 GMT 2022","Wed Feb 23 05:35:48 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"broken","Wed Feb 23 05:35:48 GMT 2022","Wed Feb 23 05:35:48 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Wed Feb 23 05:33:48 GMT 2022","Wed Feb 23 05:33:49 GMT 2022","287","Ethers.js","","","","","testSigningMessages",""
"broken","Wed Feb 23 05:35:45 GMT 2022","Wed Feb 23 05:35:45 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"broken","Wed Feb 23 05:35:46 GMT 2022","Wed Feb 23 05:35:46 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
