"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 05 21:04:05 GMT 2022","Sat Mar 05 21:05:29 GMT 2022","83594","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner","","","adjusts owners tokens by index",""
"passed","Sat Mar 05 20:59:49 GMT 2022","Sat Mar 05 21:00:13 GMT 2022","24001","Contract: ERC20","_approve","when the spender is not the zero address > when the sender has enough balance > when there was no approved amount before","","","approves the requested amount",""
"passed","Sat Mar 05 20:37:26 GMT 2022","Sat Mar 05 20:37:39 GMT 2022","13347","Contract: Governor","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Sat Mar 05 21:01:47 GMT 2022","Sat Mar 05 21:02:06 GMT 2022","18996","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner","","","emits a Transfer event",""
"passed","Sat Mar 05 20:42:20 GMT 2022","Sat Mar 05 20:43:00 GMT 2022","39728","Contract: Governor","Contract interface","Governor > proposalDeadline(uint256)","","","has to be implemented",""
"broken","Sat Mar 05 20:39:09 GMT 2022","Sat Mar 05 20:39:09 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"passed","Sat Mar 05 20:59:40 GMT 2022","Sat Mar 05 20:59:44 GMT 2022","4180","Contract: ERC721","Contract interface","ERC721 > safeTransferFrom(address,address,uint256,bytes)","","","has to be implemented",""
"skipped","Sat Mar 05 20:37:25 GMT 2022","Sat Mar 05 20:37:25 GMT 2022","0","Contract: TimelockController","methods","simple > execute > with scheduled operation > on time","","","executor can reveal",""
"passed","Sat Mar 05 20:48:38 GMT 2022","Sat Mar 05 20:48:46 GMT 2022","7590","Contract: ERC1155Holder","Contract interface","ERC1155Receiver > onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)","","","has to be implemented",""
"passed","Sat Mar 05 20:50:46 GMT 2022","Sat Mar 05 20:50:54 GMT 2022","7703","Contract: ERC20FlashMint","flashFee","","","","token mismatch",""
"passed","Sat Mar 05 20:47:34 GMT 2022","Sat Mar 05 20:48:26 GMT 2022","51621","Contract: GovernorTimelockControl","Contract interface","Governor > propose(address[],uint256[],bytes[],string)","","","has to be implemented",""
"passed","Sat Mar 05 20:47:21 GMT 2022","Sat Mar 05 20:47:37 GMT 2022","15638","Contract: ERC1155Pausable","when token is paused","balanceOf","","","returns the amount of tokens owned by the given address",""
"skipped","Sat Mar 05 20:52:48 GMT 2022","Sat Mar 05 20:52:48 GMT 2022","0","Contract: ERC20Votes","transfers","","","","full delegation",""
"passed","Sat Mar 05 20:48:50 GMT 2022","Sat Mar 05 20:48:52 GMT 2022","2051","Contract: ERC20Permit","","","","","domain separator",""
"broken","Sat Mar 05 20:39:11 GMT 2022","Sat Mar 05 20:39:11 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"passed","Sat Mar 05 21:05:09 GMT 2022","Sat Mar 05 21:05:33 GMT 2022","23663","Contract: ERC1155","internal functions","_mintBatch > with minted batch of tokens","","","emits a TransferBatch event",""
"passed","Sat Mar 05 21:06:58 GMT 2022","Sat Mar 05 21:07:10 GMT 2022","11895","Contract: Address","sendValue","when sender contract has no funds","","","sends 0 wei",""
"skipped","Sat Mar 05 20:52:48 GMT 2022","Sat Mar 05 20:52:48 GMT 2022","0","Contract: ERC20Votes","getPastTotalSupply","","","","returns zero if < first checkpoint block",""
"broken","Sat Mar 05 20:36:15 GMT 2022","Sat Mar 05 20:36:21 GMT 2022","5784","Contract: GovernorCompatibilityBravo","nominal","","","","run",""
"passed","Sat Mar 05 21:03:00 GMT 2022","Sat Mar 05 21:03:43 GMT 2022","42556","Contract: GovernorTimelockControl","cancel after queue prevents execution","","","","run",""
"passed","Sat Mar 05 20:42:23 GMT 2022","Sat Mar 05 20:42:30 GMT 2022","6531","Contract: TransparentUpgradeableProxy","initialization with parameters","payable > when sending some balance","","","initializes the proxy",""
"passed","Sat Mar 05 20:51:16 GMT 2022","Sat Mar 05 20:51:52 GMT 2022","35523","Contract: ERC1155","like an ERC1155","safeTransferFrom > when sending to a valid receiver > with data","","","emits a TransferSingle log",""
"passed","Sat Mar 05 20:39:53 GMT 2022","Sat Mar 05 20:40:01 GMT 2022","7670","Contract: Clones","clone","initialization with parameters > payable > when not sending balance","","","has expected balance",""
"passed","Sat Mar 05 20:43:05 GMT 2022","Sat Mar 05 20:43:13 GMT 2022","7219","Contract: TransparentUpgradeableProxy","upgradeTo","when the sender is the admin > when the given implementation is different from the current one","","","emits an event",""
"passed","Sat Mar 05 20:53:13 GMT 2022","Sat Mar 05 20:53:22 GMT 2022","9722","Contract: ERC20Pausable","pausable token","mint","","","allows to mint when unpaused",""
"passed","Sat Mar 05 20:38:52 GMT 2022","Sat Mar 05 20:38:53 GMT 2022","898","tests.brownie","test_brownie","","","","test_brownie_connect",""
"passed","Sat Mar 05 20:51:32 GMT 2022","Sat Mar 05 20:51:41 GMT 2022","8987","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is the zero address","","","reverts",""
"passed","Sat Mar 05 20:55:18 GMT 2022","Sat Mar 05 20:55:26 GMT 2022","8146","Contract: ERC20","increase allowance","when the spender is not the zero address > when the sender has enough balance > when there was no approved amount before","","","approves the requested amount",""
"passed","Sat Mar 05 20:49:35 GMT 2022","Sat Mar 05 20:49:50 GMT 2022","15271","Contract: ERC20Capped","once deployed","capped token","","","mints when amount is less than cap",""
"passed","Sat Mar 05 21:00:12 GMT 2022","Sat Mar 05 21:00:56 GMT 2022","44148","Contract: ERC20","erc20 behaviour","transfer > when the recipient is not the zero address > when the sender transfers all balance","","","emits a transfer event",""
"passed","Sat Mar 05 20:58:37 GMT 2022","Sat Mar 05 20:58:54 GMT 2022","17906","Contract: ERC20","_burn","for a non zero account > for less amount than balance","","","decrements initialHolder balance",""
"broken","Sat Mar 05 21:08:02 GMT 2022","Sat Mar 05 21:08:15 GMT 2022","13536","Contract: Context","msgSender","","","","returns the transaction sender when called from an EOA",""
"passed","Sat Mar 05 21:04:09 GMT 2022","Sat Mar 05 21:04:41 GMT 2022","32354","Contract: SafeERC20","with token that returns no boolean values","approvals > with non-zero allowance","","","doesn't revert when increasing the allowance",""
"passed","Sat Mar 05 21:02:31 GMT 2022","Sat Mar 05 21:03:00 GMT 2022","28816","Contract: ERC20","erc20 behaviour","transfer from > when the token owner is not the zero address > when the recipient is not the zero address > when the spender has enough approved balance > when the token owner has enough balance","","","decreases the spender allowance",""
