"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 06 11:01:29 GMT 2022","Wed Apr 06 11:01:29 GMT 2022","2","Ethers.js","","","","","testSigner",""
"broken","Wed Apr 06 11:09:13 GMT 2022","Wed Apr 06 11:09:13 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"passed","Wed Apr 06 11:09:22 GMT 2022","Wed Apr 06 11:09:30 GMT 2022","8000","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"failed","Wed Apr 06 10:55:16 GMT 2022","Wed Apr 06 10:58:46 GMT 2022","210192","tests.brownie","test_brownie","","","","test_brownie_connect",""
"broken","Wed Apr 06 11:09:13 GMT 2022","Wed Apr 06 11:09:13 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
"broken","Wed Apr 06 11:06:37 GMT 2022","Wed Apr 06 11:06:37 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Wed Apr 06 11:04:04 GMT 2022","Wed Apr 06 11:04:04 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Wed Apr 06 11:06:39 GMT 2022","Wed Apr 06 11:06:39 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Wed Apr 06 11:09:12 GMT 2022","Wed Apr 06 11:09:12 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"broken","Wed Apr 06 11:06:38 GMT 2022","Wed Apr 06 11:06:38 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"broken","Wed Apr 06 11:06:39 GMT 2022","Wed Apr 06 11:06:39 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"broken","Wed Apr 06 11:09:10 GMT 2022","Wed Apr 06 11:09:10 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"broken","Wed Apr 06 11:06:38 GMT 2022","Wed Apr 06 11:06:38 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Wed Apr 06 11:09:13 GMT 2022","Wed Apr 06 11:09:13 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Wed Apr 06 11:04:06 GMT 2022","Wed Apr 06 11:04:06 GMT 2022","1","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"broken","Wed Apr 06 10:53:17 GMT 2022","Wed Apr 06 10:55:29 GMT 2022","131433","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"broken","Wed Apr 06 11:04:05 GMT 2022","Wed Apr 06 11:04:05 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"skipped","Wed Apr 06 11:09:14 GMT 2022","Wed Apr 06 11:09:14 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"broken","Wed Apr 06 11:09:12 GMT 2022","Wed Apr 06 11:09:12 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"broken","Wed Apr 06 11:06:37 GMT 2022","Wed Apr 06 11:06:37 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Wed Apr 06 10:59:02 GMT 2022","Wed Apr 06 11:01:33 GMT 2022","150133","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"broken","Wed Apr 06 11:04:05 GMT 2022","Wed Apr 06 11:04:05 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"broken","Wed Apr 06 11:09:14 GMT 2022","Wed Apr 06 11:09:14 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_event_fires",""
"failed","Wed Apr 06 11:09:46 GMT 2022","Wed Apr 06 11:10:09 GMT 2022","23000","tests.truffle","test_truffle","","","","test_truffle_migration",""
"broken","Wed Apr 06 11:09:14 GMT 2022","Wed Apr 06 11:09:14 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"broken","Wed Apr 06 11:04:04 GMT 2022","Wed Apr 06 11:04:04 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"broken","Wed Apr 06 11:09:11 GMT 2022","Wed Apr 06 11:09:11 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Wed Apr 06 11:09:10 GMT 2022","Wed Apr 06 11:09:10 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"passed","Wed Apr 06 11:09:38 GMT 2022","Wed Apr 06 11:09:46 GMT 2022","7975","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"broken","Wed Apr 06 11:04:06 GMT 2022","Wed Apr 06 11:04:06 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Wed Apr 06 11:01:33 GMT 2022","Wed Apr 06 11:01:33 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"broken","Wed Apr 06 11:09:11 GMT 2022","Wed Apr 06 11:09:11 GMT 2022","0","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
