"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 26 15:08:08 GMT 2022","Sat Feb 26 15:08:08 GMT 2022","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"passed","Sat Feb 26 15:28:32 GMT 2022","Sat Feb 26 15:28:57 GMT 2022","25126","Contract: MinimalForwarder","with message","execute > invalid signature","","","tampered signature",""
"passed","Sat Feb 26 15:42:44 GMT 2022","Sat Feb 26 15:43:42 GMT 2022","58551","Contract: Clones","cloneDeterministic","initialization with parameters > non payable > when not sending balance","","","initializes the proxy",""
"passed","Sat Feb 26 15:24:14 GMT 2022","Sat Feb 26 15:25:05 GMT 2022","51020","Contract: ERC1967Proxy","without initialization","when not sending balance","","","initializes the proxy",""
"passed","Sat Feb 26 15:51:56 GMT 2022","Sat Feb 26 15:52:19 GMT 2022","22626","Contract: ERC1155PresetMinterPauser","Contract interface","ERC1155 > safeBatchTransferFrom(address,address,uint256[],uint256[],bytes)","","","has to be implemented",""
"passed","Sat Feb 26 15:06:52 GMT 2022","Sat Feb 26 15:06:54 GMT 2022","2527","Contract: PaymentSplitter","","","","","rejects more payees than shares",""
"passed","Sat Feb 26 15:07:56 GMT 2022","Sat Feb 26 15:08:10 GMT 2022","14484","Contract: Ownable","transfer ownership","","","","guards ownership against stuck state",""
"passed","Sat Feb 26 15:12:11 GMT 2022","Sat Feb 26 15:13:05 GMT 2022","53833","Contract: PaymentSplitter","once deployed","shares","","","stores shares if address is payee",""
"broken","Sat Feb 26 15:06:25 GMT 2022","Sat Feb 26 15:06:25 GMT 2022","188","Ethers.js","","","","","testSigningMessages",""
"passed","Sat Feb 26 15:37:41 GMT 2022","Sat Feb 26 15:38:15 GMT 2022","33992","Contract: Initializable","complex testing with inheritance","","","","initializes child",""
"passed","Sat Feb 26 15:17:26 GMT 2022","Sat Feb 26 15:18:17 GMT 2022","51908","Contract: PaymentSplitter","once deployed","release > Token","","","reverts if non-payee want to claim",""
