"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 27 21:20:24 GMT 2022","Thu Jan 27 21:20:30 GMT 2022","5409","Contract: ERC1820Implementer","with no registered interfaces","","","","returns false when interface implementation is queried",""
"passed","Thu Jan 27 21:18:11 GMT 2022","Thu Jan 27 21:18:28 GMT 2022","16714","Contract: ERC721","with minted tokens","transfers > via transferFrom > when called by the owner without an approved user","","","emits an Approval event",""
"skipped","Thu Jan 27 21:55:41 GMT 2022","Thu Jan 27 21:55:41 GMT 2022","1","Contract: ERC721","metadata","token URI > base URI","","","base URI can be set",""
"passed","Thu Jan 27 21:11:15 GMT 2022","Thu Jan 27 21:11:34 GMT 2022","19039","Contract: ERC20","erc20 behaviour","transfer > when the recipient is not the zero address > when the sender transfers all balance","","","transfers the requested amount",""
"broken","Thu Jan 27 20:56:57 GMT 2022","Thu Jan 27 20:56:57 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"passed","Thu Jan 27 20:57:52 GMT 2022","Thu Jan 27 20:58:13 GMT 2022","20689","Contract: GovernorTimelockCompound","Contract interface","Governor > votingDelay()","","","has to be implemented",""
"passed","Thu Jan 27 21:16:47 GMT 2022","Thu Jan 27 21:16:48 GMT 2022","1316","Contract: Arrays","findUpperBound","Odd number of elements","","","returns 0 for the element under the lower boundary",""
"passed","Thu Jan 27 21:55:06 GMT 2022","Thu Jan 27 21:55:09 GMT 2022","3271","Contract: ERC721Enumerable","with minted tokens","approve > when the sender is approved for the given token ID","","","reverts",""
"passed","Thu Jan 27 21:53:59 GMT 2022","Thu Jan 27 21:54:04 GMT 2022","5332","Contract: ERC721Enumerable","with minted tokens","approve > when clearing approval > when there was no prior approval","","","emits an approval event",""
"passed","Thu Jan 27 20:56:45 GMT 2022","Thu Jan 27 20:56:51 GMT 2022","6848","Contract: BeaconProxy","initialization","","","","no initialization",""
"passed","Thu Jan 27 21:19:03 GMT 2022","Thu Jan 27 21:19:15 GMT 2022","12477","Contract: ERC165Checker","ERC165 missing return data","","","","does not support ERC165",""
"passed","Thu Jan 27 21:14:21 GMT 2022","Thu Jan 27 21:14:23 GMT 2022","2436","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Thu Jan 27 21:57:18 GMT 2022","Thu Jan 27 21:57:22 GMT 2022","3968","Contract: ERC721Enumerable","_burn","with minted tokens > with burnt token","","","emits an Approval event",""
"passed","Thu Jan 27 21:17:32 GMT 2022","Thu Jan 27 21:17:41 GMT 2022","8873","Contract: Create2","deploy","","","","deploys a ERC20Mock with correct balances",""
"passed","Thu Jan 27 21:05:18 GMT 2022","Thu Jan 27 21:05:22 GMT 2022","3565","Contract: ERC20FlashMint","flashFee","","","","token mismatch",""
"skipped","Thu Jan 27 21:55:51 GMT 2022","Thu Jan 27 21:55:51 GMT 2022","0","Contract: ERC721","metadata","token URI > base URI","","","token URI can be changed by changing the base URI",""
"passed","Thu Jan 27 20:58:31 GMT 2022","Thu Jan 27 20:58:52 GMT 2022","20555","tests.truffle","test_truffle","","","","test_truffle_contract",""
"broken","Thu Jan 27 21:08:54 GMT 2022","Thu Jan 27 21:09:17 GMT 2022","23513","Contract: ERC20","withdraw","","","","valid",""
"passed","Thu Jan 27 20:58:52 GMT 2022","Thu Jan 27 20:58:56 GMT 2022","3920","Contract: ReentrancyGuard","","","","","does not allow local recursion",""
"passed","Thu Jan 27 21:22:08 GMT 2022","Thu Jan 27 21:22:11 GMT 2022","3280","Contract: SignedSafeMath","div","","","","reverts on overflow, negative second",""
"broken","Thu Jan 27 20:54:40 GMT 2022","Thu Jan 27 20:54:41 GMT 2022","595","Ethers.js","","","","","testReadOnlyMethods",""
"passed","Thu Jan 27 20:59:06 GMT 2022","Thu Jan 27 20:59:12 GMT 2022","6216","Contract: TransparentUpgradeableProxy","initialization with parameters","payable > when not sending balance","","","has expected balance",""
"passed","Thu Jan 27 22:00:32 GMT 2022","Thu Jan 27 22:00:40 GMT 2022","7603","Contract: ERC721Enumerable","_burn","with minted tokens > with burnt token","","","burns all tokens",""
"passed","Thu Jan 27 20:54:07 GMT 2022","Thu Jan 27 20:54:21 GMT 2022","14065","Contract: VestingWallet","vesting schedule","ERC20 vesting","","","check vesting schedule",""
"passed","Thu Jan 27 21:49:05 GMT 2022","Thu Jan 27 21:49:14 GMT 2022","9258","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner without an approved user","","","adjusts owners balances",""
"passed","Thu Jan 27 21:56:18 GMT 2022","Thu Jan 27 21:56:24 GMT 2022","6795","Contract: ERC721Enumerable","with minted tokens","setApprovalForAll > when the operator willing to approve is not the owner > when the operator was already approved","","","emits an approval event",""
"passed","Thu Jan 27 21:57:27 GMT 2022","Thu Jan 27 21:57:34 GMT 2022","6330","Contract: ERC721Enumerable","_burn","with minted tokens > with burnt token","","","reverts when burning a token id that has been deleted",""
"passed","Thu Jan 27 22:00:10 GMT 2022","Thu Jan 27 22:00:16 GMT 2022","5605","Contract: ERC721Enumerable","_burn","with minted tokens > with burnt token","","","removes that token from the token list of the owner",""
"passed","Thu Jan 27 21:20:54 GMT 2022","Thu Jan 27 21:21:24 GMT 2022","30070","Contract: Governor","Settings update","setVotingPeriod to 0","","","run",""
"broken","Thu Jan 27 21:04:21 GMT 2022","Thu Jan 27 21:05:15 GMT 2022","53822","Contract: Governor","scenario","nominal","","","run",""
"passed","Thu Jan 27 21:17:08 GMT 2022","Thu Jan 27 21:17:15 GMT 2022","6593","Contract: Context","msgData","","","","returns the transaction data when called from an EOA",""
"passed","Thu Jan 27 21:23:50 GMT 2022","Thu Jan 27 21:23:54 GMT 2022","3514","Contract: BitMap","set","","","","adds several consecutive keys",""
"passed","Thu Jan 27 21:08:31 GMT 2022","Thu Jan 27 21:08:50 GMT 2022","18213","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom > when called by an operator on behalf of the multiTokenHolder > when operator is approved by multiTokenHolder","","","credits transferred balances to receiver",""
"passed","Thu Jan 27 20:56:34 GMT 2022","Thu Jan 27 20:56:42 GMT 2022","8085","Contract: UpgradeableBeacon","once deployed","","","","can be upgraded by the owner",""
"passed","Thu Jan 27 21:12:53 GMT 2022","Thu Jan 27 21:13:00 GMT 2022","7036","Contract: ERC721","with minted tokens","ownerOf > when the given token ID was not tracked by this token","","","reverts",""
"passed","Thu Jan 27 21:53:03 GMT 2022","Thu Jan 27 21:53:07 GMT 2022","4167","Contract: ERC721Enumerable","with minted tokens","safe mint > via safeMint > to a receiver contract returning unexpected value","","","reverts",""
"passed","Thu Jan 27 20:56:05 GMT 2022","Thu Jan 27 20:56:26 GMT 2022","20840","Contract: GovernorTimelockControl","Contract interface","Governor > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Thu Jan 27 21:14:22 GMT 2022","Thu Jan 27 21:14:57 GMT 2022","35770","Contract: Governor","state","Unset","","","run",""
"passed","Thu Jan 27 20:55:37 GMT 2022","Thu Jan 27 20:55:52 GMT 2022","15297","Contract: ERC2771Context","when receiving a relayed call","msgSender","","","returns the relayed transaction original sender",""
"skipped","Thu Jan 27 20:54:36 GMT 2022","Thu Jan 27 20:54:36 GMT 2022","0","Contract: TimelockController","methods","batch > execute > with scheduled operation > on time","","","length mismatch #2",""
"passed","Thu Jan 27 21:09:19 GMT 2022","Thu Jan 27 21:09:24 GMT 2022","5148","Contract: SafeERC20","with address that has no contract code","","","","reverts on approve",""
"passed","Thu Jan 27 21:23:37 GMT 2022","Thu Jan 27 21:23:43 GMT 2022","5748","Contract: BitMap","set","","","","adds a key",""
"passed","Thu Jan 27 21:12:17 GMT 2022","Thu Jan 27 21:12:23 GMT 2022","6221","Contract: ERC721Enumerable","with minted tokens","ownerOf > when the given token ID was not tracked by this token","","","reverts",""
