"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","transfers","","","","no delegation",""
"broken","Mon Jan 31 14:13:24 GMT 2022","Mon Jan 31 14:13:24 GMT 2022","181","Contract: ERC1155Holder","","","","","receives ERC1155 tokens from a multiple IDs",""
"passed","Mon Jan 31 14:14:26 GMT 2022","Mon Jan 31 14:14:28 GMT 2022","1675","Contract: BitMap","","","","","starts empty",""
"passed","Mon Jan 31 14:12:52 GMT 2022","Mon Jan 31 14:12:52 GMT 2022","267","Contract: PaymentSplitter","","","","","rejects null payees",""
"passed","Mon Jan 31 14:14:06 GMT 2022","Mon Jan 31 14:14:07 GMT 2022","1132","Contract: MerkleProof","verify","","","","returns true for a valid Merkle proof",""
"broken","Mon Jan 31 14:12:55 GMT 2022","Mon Jan 31 14:12:56 GMT 2022","557","Contract: AccessControl","Contract interface","AccessControl > getRoleAdmin(bytes32)","","","has to be implemented",""
"broken","Mon Jan 31 14:13:10 GMT 2022","Mon Jan 31 14:13:10 GMT 2022","187","Contract: ReentrancyGuard","","","","","nonReentrant function can be called",""
"broken","Mon Jan 31 14:14:37 GMT 2022","Mon Jan 31 14:14:37 GMT 2022","165","Contract: TimersTimestamp","","","","","expired",""
"broken","Mon Jan 31 14:14:36 GMT 2022","Mon Jan 31 14:14:37 GMT 2022","135","Contract: EnumerableMap","set","","","","adds several keys",""
"broken","Mon Jan 31 14:15:55 GMT 2022","Mon Jan 31 14:15:55 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"skipped","Mon Jan 31 14:12:55 GMT 2022","Mon Jan 31 14:12:55 GMT 2022","1","Contract: TimelockController","maintenance","","","","timelock scheduled maintenance",""
"skipped","Mon Jan 31 14:12:53 GMT 2022","Mon Jan 31 14:12:53 GMT 2022","0","Contract: GovernorTimelockControl","","","","","doesn't accept ether transfers",""
"failed","Mon Jan 31 14:17:27 GMT 2022","Mon Jan 31 14:17:45 GMT 2022","17854","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Mon Jan 31 14:15:26 GMT 2022","Mon Jan 31 14:15:29 GMT 2022","2818","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"skipped","Mon Jan 31 14:13:34 GMT 2022","Mon Jan 31 14:13:34 GMT 2022","0","Contract: ERC20Votes","Compound test suite","numCheckpoints","","","returns the number of checkpoints for a delegate",""
"passed","Mon Jan 31 14:14:07 GMT 2022","Mon Jan 31 14:14:10 GMT 2022","2846","Contract: MerkleProof","verify","","","","returns false for an invalid Merkle proof",""
"passed","Mon Jan 31 14:12:50 GMT 2022","Mon Jan 31 14:12:52 GMT 2022","1714","Contract: PaymentSplitter","","","","","rejects more payees than shares",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","reverts if block number >= current block",""
"broken","Mon Jan 31 14:14:25 GMT 2022","Mon Jan 31 14:14:26 GMT 2022","449","Contract: SafeCast","toUint8","","","","downcasts 2^8 - 1 (255)",""
"skipped","Mon Jan 31 14:13:34 GMT 2022","Mon Jan 31 14:13:34 GMT 2022","0","Contract: ERC20Votes","Compound test suite","getPastVotes","","","returns the latest block if >= last checkpoint block",""
"broken","Mon Jan 31 14:15:55 GMT 2022","Mon Jan 31 14:15:55 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Mon Jan 31 14:13:16 GMT 2022","Mon Jan 31 14:13:16 GMT 2022","691","Contract: ERC1155Supply","before mint","","","","exist",""
"passed","Mon Jan 31 14:13:16 GMT 2022","Mon Jan 31 14:13:24 GMT 2022","8006","Contract: ERC1155Holder","","","","","receives ERC1155 tokens from a single ID",""
"broken","Mon Jan 31 14:15:42 GMT 2022","Mon Jan 31 14:15:44 GMT 2022","1960","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"skipped","Mon Jan 31 14:12:55 GMT 2022","Mon Jan 31 14:12:55 GMT 2022","0","Contract: TimelockController","methods","simple > schedule","","","prevent overwritting active operation",""
"broken","Mon Jan 31 14:14:04 GMT 2022","Mon Jan 31 14:14:16 GMT 2022","12019","Contract: Context","msgSender","","","","returns the transaction sender when from another contract",""
"passed","Mon Jan 31 14:13:15 GMT 2022","Mon Jan 31 14:13:16 GMT 2022","1436","Contract: ERC1155","like an ERC1155","balanceOf","","","reverts when queried about the zero address",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","","","","","minting restriction",""
"passed","Mon Jan 31 14:14:08 GMT 2022","Mon Jan 31 14:14:12 GMT 2022","3706","Contract: Arrays","findUpperBound","Array with gap","","","returns index of first element in next filled range",""
"passed","Mon Jan 31 14:13:16 GMT 2022","Mon Jan 31 14:13:21 GMT 2022","4594","Contract: ERC1155","like an ERC1155","balanceOf > when accounts don't own tokens","","","returns zero for given addresses",""
"broken","Mon Jan 31 14:13:06 GMT 2022","Mon Jan 31 14:13:09 GMT 2022","2798","Contract: Clones","cloneDeterministic","","","","address already used",""
"broken","Mon Jan 31 14:14:00 GMT 2022","Mon Jan 31 14:14:01 GMT 2022","1586","Contract: Counters","","","","","starts at zero",""
"passed","Mon Jan 31 14:13:24 GMT 2022","Mon Jan 31 14:13:27 GMT 2022","3163","Contract: ERC20Burnable","burn","when the given amount is not greater than balance of the sender > for a zero amount","","","burns the requested amount",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","returns 0 if there are no checkpoints",""
"broken","Mon Jan 31 14:13:09 GMT 2022","Mon Jan 31 14:13:10 GMT 2022","876","Contract: Initializable","complex testing with inheritance","","","","initializes human",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","1","Contract: ERC20VotesComp","","","","","initial nonce is 0",""
"passed","Mon Jan 31 14:13:38 GMT 2022","Mon Jan 31 14:13:39 GMT 2022","963","Ethers.js","","","","","shouldCountTransactions",""
"passed","Mon Jan 31 14:14:21 GMT 2022","Mon Jan 31 14:14:25 GMT 2022","4358","Contract: SafeCast","toUint8","","","","downcasts 1",""
"skipped","Mon Jan 31 14:12:49 GMT 2022","Mon Jan 31 14:12:49 GMT 2022","0","Contract: GovernorCompatibilityBravo","","","","","deployment check",""
"skipped","Mon Jan 31 14:12:55 GMT 2022","Mon Jan 31 14:12:55 GMT 2022","0","Contract: TimelockController","usage scenario","","","","call out of gas",""
"passed","Mon Jan 31 14:14:34 GMT 2022","Mon Jan 31 14:14:35 GMT 2022","1153","Contract: EnumerableSet","EnumerableUintSet","","","","starts empty",""
"passed","Mon Jan 31 14:13:28 GMT 2022","Mon Jan 31 14:13:31 GMT 2022","2222","Contract: ERC20Capped","once deployed","capped token","","","starts with the correct cap",""
"passed","Mon Jan 31 14:14:31 GMT 2022","Mon Jan 31 14:14:36 GMT 2022","5737","Contract: EnumerableMap","set","","","","adds a key",""
"broken","Mon Jan 31 14:14:18 GMT 2022","Mon Jan 31 14:14:19 GMT 2022","1106","Contract: RefundEscrow","once deployed","active state","","","has beneficiary and state",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","Compound test suite","numCheckpoints","","","does not add more than one checkpoint in a block",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","set delegation","with signature","","","rejects bad delegatee",""
"skipped","Mon Jan 31 14:13:29 GMT 2022","Mon Jan 31 14:13:29 GMT 2022","0","Contract: ERC20VotesComp","Compound test suite","balanceOf","","","grants to initial account",""
"skipped","Mon Jan 31 14:16:49 GMT 2022","Mon Jan 31 14:16:49 GMT 2022","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"passed","Mon Jan 31 14:14:29 GMT 2022","Mon Jan 31 14:14:31 GMT 2022","2281","Contract: SafeMath","with flag","mul","","","multiplies correctly",""
"broken","Mon Jan 31 14:14:04 GMT 2022","Mon Jan 31 14:14:06 GMT 2022","1456","Contract: SafeERC20","with token that returns true on all calls","","","","doesn't revert on transfer",""
"broken","Mon Jan 31 14:13:22 GMT 2022","Mon Jan 31 14:13:23 GMT 2022","365","Contract: ERC20","","","","","has a symbol",""
"passed","Mon Jan 31 14:12:52 GMT 2022","Mon Jan 31 14:12:52 GMT 2022","198","Contract: PaymentSplitter","","","","","rejects zero-valued shares",""
"broken","Mon Jan 31 14:13:12 GMT 2022","Mon Jan 31 14:13:12 GMT 2022","164","Contract: BeaconProxy","initialization","","","","no initialization",""
"passed","Mon Jan 31 14:18:20 GMT 2022","Mon Jan 31 14:18:41 GMT 2022","20235","tests.truffle","test_truffle","","","","test_truffle_contract",""
"broken","Mon Jan 31 14:15:55 GMT 2022","Mon Jan 31 14:15:55 GMT 2022","0","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
