"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 05 09:19:02 GMT 2022","Wed Jan 05 09:19:03 GMT 2022","995","Contract: Strings","from uint256 - decimal format","","","","converts 0",""
"passed","Wed Jan 05 09:14:44 GMT 2022","Wed Jan 05 09:14:45 GMT 2022","1689","Contract: ERC20","_burn","for a non zero account > for less amount than balance","","","emits Transfer event",""
"passed","Wed Jan 05 09:11:53 GMT 2022","Wed Jan 05 09:11:59 GMT 2022","6224","Contract: Governor","Contract interface","Governor > quorum(uint256)","","","has to be implemented",""
"failed","Wed Jan 05 09:18:50 GMT 2022","Wed Jan 05 09:18:51 GMT 2022","1060","Contract: SafeMath","with default revert message","add","","","reverts on addition overflow",""
"passed","Wed Jan 05 09:11:30 GMT 2022","Wed Jan 05 09:11:33 GMT 2022","2427","Contract: Initializable","complex testing with inheritance","","","","initializes gramps",""
"passed","Wed Jan 05 09:15:35 GMT 2022","Wed Jan 05 09:15:36 GMT 2022","1626","Contract: ERC721Enumerable","Contract interface","ERC721 > safeTransferFrom(address,address,uint256,bytes)","","","has to be implemented",""
"passed","Wed Jan 05 09:15:59 GMT 2022","Wed Jan 05 09:16:00 GMT 2022","1263","Contract: ERC721","Contract interface","ERC721 > safeTransferFrom(address,address,uint256)","","","has to be implemented",""
"passed","Wed Jan 05 09:15:11 GMT 2022","Wed Jan 05 09:15:14 GMT 2022","2804","Contract: SafeERC20","with token that returns false on all calls","","","","reverts on transfer",""
"passed","Wed Jan 05 09:26:29 GMT 2022","Wed Jan 05 09:26:34 GMT 2022","4771","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the operator","","","clears the approval for the token ID",""
"passed","Wed Jan 05 09:30:15 GMT 2022","Wed Jan 05 09:30:17 GMT 2022","1306","Contract: ERC721Enumerable","Contract interface","ERC721Metadata > symbol()","","","has to be implemented",""
"passed","Wed Jan 05 09:13:24 GMT 2022","Wed Jan 05 09:13:26 GMT 2022","2306","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is not the zero address > when the spender has enough approved balance > when the token owner has enough balance","","","emits an approval event",""
"passed","Wed Jan 05 09:24:22 GMT 2022","Wed Jan 05 09:24:25 GMT 2022","3345","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","adjusts owners tokens by index",""
"passed","Wed Jan 05 09:16:51 GMT 2022","Wed Jan 05 09:16:53 GMT 2022","1922","Contract: ERC721PresetMinterPauserAutoId","","","","","minter role admin is the default admin",""
"passed","Wed Jan 05 09:29:54 GMT 2022","Wed Jan 05 09:29:56 GMT 2022","1481","Contract: ERC721Enumerable","_mint(address, uint256)","with minted token","","","emits a Transfer event",""
"passed","Wed Jan 05 09:12:40 GMT 2022","Wed Jan 05 09:12:42 GMT 2022","1889","Contract: ERC1155PresetMinterPauser","Contract interface","ERC1155 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Wed Jan 05 09:19:21 GMT 2022","Wed Jan 05 09:19:24 GMT 2022","3598","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the operator","","","emits an Approval event",""
"passed","Wed Jan 05 09:15:04 GMT 2022","Wed Jan 05 09:15:06 GMT 2022","1608","Contract: SafeERC20","with address that has no contract code","","","","reverts on transfer",""
"passed","Wed Jan 05 09:12:37 GMT 2022","Wed Jan 05 09:12:38 GMT 2022","1543","Contract: ERC1155PresetMinterPauser","","","","","deployer has the pauser role",""
"passed","Wed Jan 05 09:19:47 GMT 2022","Wed Jan 05 09:19:48 GMT 2022","1740","Contract: EnumerableMap","read","tryGet","","","existing value",""
"passed","Wed Jan 05 09:28:42 GMT 2022","Wed Jan 05 09:28:44 GMT 2022","2357","Contract: ERC721","with minted tokens","approve > when clearing approval > when there was no prior approval","","","clears approval for the token",""
"passed","Wed Jan 05 09:11:13 GMT 2022","Wed Jan 05 09:11:15 GMT 2022","1193","Contract: ERC1967Proxy","initialization without parameters","non payable > when not sending balance","","","has expected balance",""
"passed","Wed Jan 05 09:13:17 GMT 2022","Wed Jan 05 09:13:19 GMT 2022","1561","Contract: TransparentUpgradeableProxy","changeAdmin","when the new proposed admin is not the zero address > when the sender is the admin","","","emits an event",""
"passed","Wed Jan 05 09:25:16 GMT 2022","Wed Jan 05 09:25:20 GMT 2022","4019","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract","","","calls onERC721Received",""
"broken","Wed Jan 05 09:17:04 GMT 2022","Wed Jan 05 09:17:04 GMT 2022","342","Contract: ERC777PresetFixedSupply","","","","","returns the name",""
"broken","Wed Jan 05 09:14:50 GMT 2022","Wed Jan 05 09:14:50 GMT 2022","0","Contract: GovernorTimelockControl","executed by other proposer","","","","""after each"" hook for ""run""",""
"passed","Wed Jan 05 09:12:12 GMT 2022","Wed Jan 05 09:12:15 GMT 2022","2995","Contract: ERC1155Burnable","burn","","","","approved operators can burn the holder's tokens",""
"passed","Wed Jan 05 09:18:16 GMT 2022","Wed Jan 05 09:18:18 GMT 2022","2063","Contract: ERC165Checker","ERC165 not supported","","","","does not support mock interface via supportsInterface",""
"passed","Wed Jan 05 09:19:53 GMT 2022","Wed Jan 05 09:20:00 GMT 2022","6938","Contract: EnumerableSet","EnumerableAddressSet","remove","","","adds and removes multiple values",""
"passed","Wed Jan 05 09:15:53 GMT 2022","Wed Jan 05 09:15:54 GMT 2022","1170","Contract: ERC721","Contract interface","ERC721 > getApproved(uint256)","","","has to be implemented",""
"passed","Wed Jan 05 09:18:28 GMT 2022","Wed Jan 05 09:18:32 GMT 2022","3727","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the owner","","","transfers the ownership of the given token ID to the given address",""
"passed","Wed Jan 05 09:24:08 GMT 2022","Wed Jan 05 09:24:12 GMT 2022","3290","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the operator","","","emits a Transfer event",""
"passed","Wed Jan 05 09:24:02 GMT 2022","Wed Jan 05 09:24:05 GMT 2022","3216","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the approved individual","","","adjusts owners tokens by index",""
"skipped","Wed Jan 05 09:10:27 GMT 2022","Wed Jan 05 09:10:27 GMT 2022","0","Contract: TimelockController","methods","batch > execute","","","revert if operation is not scheduled",""
"passed","Wed Jan 05 09:14:49 GMT 2022","Wed Jan 05 09:14:51 GMT 2022","2341","Contract: ERC20","_transfer","when the recipient is not the zero address > when the sender transfers all balance","","","emits a transfer event",""
