"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 20 04:04:46 GMT 2021","Mon Dec 20 04:04:46 GMT 2021","0","Contract: ERC20VotesComp","Compound test suite","getPriorVotes","","","returns the latest block if >= last checkpoint block",""
"skipped","Mon Dec 20 03:55:29 GMT 2021","Mon Dec 20 03:55:29 GMT 2021","0","Contract: ERC20Votes","transfers","","","","receiver delegation",""
"broken","Mon Dec 20 04:21:43 GMT 2021","Mon Dec 20 04:21:43 GMT 2021","6","Contract: Ownable","","","","","has an owner",""
"broken","Mon Dec 20 04:04:25 GMT 2021","Mon Dec 20 04:05:13 GMT 2021","48476","Contract: EnumerableSet","EnumerableUintSet","","","","starts empty",""
"passed","Mon Dec 20 04:17:40 GMT 2021","Mon Dec 20 04:17:59 GMT 2021","18667","Contract: SignedSafeMath","sub","","","","reverts on positive subtraction overflow",""
"passed","Mon Dec 20 04:32:01 GMT 2021","Mon Dec 20 04:32:35 GMT 2021","33518","Contract: ERC1155Pausable","when token is paused","","","","reverts when trying to safeTransferFrom from holder",""
"passed","Mon Dec 20 04:05:15 GMT 2021","Mon Dec 20 04:05:35 GMT 2021","19806","Contract: ERC1155PresetMinterPauser","","","","","deployer has the default admin role",""
"skipped","Mon Dec 20 04:04:46 GMT 2021","Mon Dec 20 04:04:46 GMT 2021","0","Contract: ERC20VotesComp","getPastTotalSupply","","","","returns the latest block if >= last checkpoint block",""
"broken","Mon Dec 20 04:04:24 GMT 2021","Mon Dec 20 04:05:13 GMT 2021","49634","Contract: EIP712","","","","","domain separator",""
"skipped","Mon Dec 20 04:04:46 GMT 2021","Mon Dec 20 04:04:46 GMT 2021","0","Contract: ERC20VotesComp","getPastTotalSupply","","","","returns 0 if there are no checkpoints",""
"broken","Mon Dec 20 04:04:33 GMT 2021","Mon Dec 20 04:04:35 GMT 2021","1395","Contract: TransparentUpgradeableProxy","initialization without parameters","non payable > when not sending balance","","","initializes the proxy",""
"broken","Mon Dec 20 04:04:22 GMT 2021","Mon Dec 20 04:04:24 GMT 2021","1404","Contract: ERC721Enumerable","Contract interface","ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"skipped","Mon Dec 20 03:56:00 GMT 2021","Mon Dec 20 03:56:00 GMT 2021","0","Contract: TimelockController","methods","batch > execute","","","revert if operation is not scheduled",""
"passed","Mon Dec 20 04:20:56 GMT 2021","Mon Dec 20 04:21:13 GMT 2021","17138","Contract: SignedSafeMath","div","","","","reverts on overflow, negative second",""
"skipped","Mon Dec 20 03:55:29 GMT 2021","Mon Dec 20 03:55:29 GMT 2021","0","Contract: ERC20Votes","Compound test suite","balanceOf","","","grants to initial account",""
"passed","Mon Dec 20 04:10:21 GMT 2021","Mon Dec 20 04:10:36 GMT 2021","14239","Contract: Counters","","","","","starts at zero",""
"skipped","Mon Dec 20 03:55:29 GMT 2021","Mon Dec 20 03:55:29 GMT 2021","0","Contract: ERC20Votes","change delegation","","","","call",""
"broken","Mon Dec 20 04:01:47 GMT 2021","Mon Dec 20 04:01:47 GMT 2021","8","Contract: Arrays","findUpperBound","Even number of elements","","","returns correct index for the basic case",""
"passed","Mon Dec 20 04:07:34 GMT 2021","Mon Dec 20 04:07:53 GMT 2021","19268","Contract: ERC721","Contract interface","ERC721 > approve(address,uint256)","","","has to be implemented",""
"passed","Mon Dec 20 04:06:15 GMT 2021","Mon Dec 20 04:06:20 GMT 2021","5625","Contract: SignatureChecker (ERC1271)","EOA account","","","","with matching signer and signature",""
"passed","Sun Dec 19 21:57:12 GMT 2021","Sun Dec 19 21:57:18 GMT 2021","6719","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Mon Dec 20 04:04:43 GMT 2021","Mon Dec 20 04:04:44 GMT 2021","1439","Contract: ERC20PresetMinterPauser","","","","","deployer has the default admin role",""
"skipped","Mon Dec 20 03:56:00 GMT 2021","Mon Dec 20 03:56:00 GMT 2021","0","Contract: TimelockController","methods","cancel","","","prevent non-proposer from canceling",""
"broken","Mon Dec 20 04:02:45 GMT 2021","Mon Dec 20 04:04:33 GMT 2021","108338","Contract: TimersBlockNumber","","","","","fast forward",""
"passed","Mon Dec 20 04:01:47 GMT 2021","Mon Dec 20 04:02:38 GMT 2021","51787","Contract: Arrays","findUpperBound","Empty array","","","always returns 0 for empty array",""
"passed","Mon Dec 20 04:02:56 GMT 2021","Mon Dec 20 04:03:09 GMT 2021","13120","Contract: ECDSA","recover with invalid signature","","","","with long signature",""
