"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 22 20:30:13 GMT 2021","Wed Dec 22 20:30:16 GMT 2021","3910","Contract: TransparentUpgradeableProxy","upgradeTo","when the sender is the admin > when the given implementation is the zero address","","","reverts",""
"passed","Wed Dec 22 21:27:19 GMT 2021","Wed Dec 22 21:27:29 GMT 2021","9096","Contract: ERC721Enumerable","with minted tokens","approve > when the address that receives the approval is the owner","","","reverts",""
"passed","Wed Dec 22 21:24:03 GMT 2021","Wed Dec 22 21:24:13 GMT 2021","10002","Contract: ERC721","with minted tokens","safe mint > via safeMint > to a receiver contract returning unexpected value","","","reverts",""
"broken","Wed Dec 22 20:47:55 GMT 2021","Wed Dec 22 20:47:58 GMT 2021","2818","Contract: RefundEscrow","once deployed","closed state","","","rejects deposits",""
"skipped","Wed Dec 22 20:24:31 GMT 2021","Wed Dec 22 20:24:31 GMT 2021","0","Contract: TimelockController","usage scenario","","","","call payable with eth",""
"passed","Wed Dec 22 21:27:49 GMT 2021","Wed Dec 22 21:27:55 GMT 2021","6582","Contract: ERC721Enumerable","with minted tokens","approve > when the sender is an operator","","","emits an approval event",""
"passed","Wed Dec 22 20:30:32 GMT 2021","Wed Dec 22 20:30:41 GMT 2021","8686","Contract: ERC1155","like an ERC1155","safeTransferFrom","","","reverts when transferring more than balance",""
"passed","Wed Dec 22 20:48:22 GMT 2021","Wed Dec 22 20:48:29 GMT 2021","6403","Contract: SafeCast","toUint8","","","","downcasts 1",""
"passed","Wed Dec 22 20:53:14 GMT 2021","Wed Dec 22 20:53:18 GMT 2021","3091","Contract: SafeCast","toInt128","","","","reverts when downcasting -2^127 - 2 (-170141183460469231731687303715884105730)",""
"passed","Wed Dec 22 20:48:38 GMT 2021","Wed Dec 22 20:48:43 GMT 2021","4597","Contract: Math","average","","","","is correctly calculated with two max uint256 numbers",""
"passed","Wed Dec 22 21:28:48 GMT 2021","Wed Dec 22 21:28:57 GMT 2021","8872","Contract: ERC721Enumerable","with minted tokens","setApprovalForAll > when the operator willing to approve is not the owner > when the operator was already approved","","","keeps the approval to the given address",""
"passed","Wed Dec 22 21:16:23 GMT 2021","Wed Dec 22 21:16:41 GMT 2021","17782","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when called by the owner","","","adjusts owners tokens by index",""
"passed","Wed Dec 22 21:24:44 GMT 2021","Wed Dec 22 21:24:52 GMT 2021","7461","Contract: ERC721Enumerable","with minted tokens","safe mint > via safeMint > to a receiver contract returning unexpected value","","","reverts",""
"passed","Wed Dec 22 21:22:30 GMT 2021","Wed Dec 22 21:22:41 GMT 2021","11000","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > to a receiver contract returning unexpected value","","","reverts",""
"skipped","Wed Dec 22 20:30:11 GMT 2021","Wed Dec 22 20:30:11 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"passed","Wed Dec 22 20:33:58 GMT 2021","Wed Dec 22 20:34:10 GMT 2021","12155","Contract: ERC20","transfer from","when the token owner is not the zero address > when the recipient is not the zero address > when the spender has enough approved balance > when the token owner does not have enough balance","","","reverts",""
"passed","Wed Dec 22 20:56:15 GMT 2021","Wed Dec 22 20:56:46 GMT 2021","30455","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when sent to the owner","","","clears the approval for the token ID",""
"broken","Wed Dec 22 20:41:13 GMT 2021","Wed Dec 22 20:41:45 GMT 2021","32418","Contract: Governor","scenario","vote not over","","","run",""
"passed","Wed Dec 22 20:57:39 GMT 2021","Wed Dec 22 20:57:51 GMT 2021","11820","Contract: ERC721","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when the sender is not authorized for the token id","","","reverts",""
"passed","Wed Dec 22 21:29:32 GMT 2021","Wed Dec 22 21:29:35 GMT 2021","2998","Contract: ERC721","Contract interface","ERC721Metadata > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Wed Dec 22 20:38:45 GMT 2021","Wed Dec 22 20:38:50 GMT 2021","4952","Contract: SafeERC20","with address that has no contract code","","","","reverts on decreaseAllowance",""
