"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 24 11:07:16 GMT 2021","Fri Dec 24 11:07:23 GMT 2021","6996","Contract: ERC721Enumerable","metadata","token URI","","","return empty string by default",""
"passed","Fri Dec 24 11:10:30 GMT 2021","Fri Dec 24 11:10:40 GMT 2021","10391","Contract: ERC721Enumerable","_burn","with minted tokens > with burnt token","","","adjusts all tokens list",""
"passed","Fri Dec 24 10:07:27 GMT 2021","Fri Dec 24 10:07:35 GMT 2021","8040","Contract: ProxyAdmin","#upgrade","with authorized account","","","upgrades implementation",""
"failed","Fri Dec 24 10:09:22 GMT 2021","Fri Dec 24 10:09:32 GMT 2021","9753","Contract: Clones","cloneDeterministic","initialization with parameters > payable > when sending some balance","","","has expected balance",""
"passed","Fri Dec 24 10:20:55 GMT 2021","Fri Dec 24 10:21:01 GMT 2021","5996","Contract: EnumerableSet","EnumerableAddressSet","remove","","","removes added values",""
"passed","Fri Dec 24 10:19:39 GMT 2021","Fri Dec 24 10:19:43 GMT 2021","4168","Contract: ERC1155","like an ERC1155","Contract interface > ERC1155 > setApprovalForAll(address,bool)","","","has to be implemented",""
"passed","Fri Dec 24 10:14:23 GMT 2021","Fri Dec 24 10:14:45 GMT 2021","21873","Contract: ERC721Enumerable","with minted tokens","transfers > via transferFrom > when called by the owner","","","emits a Transfer event",""
"passed","Fri Dec 24 10:07:29 GMT 2021","Fri Dec 24 10:07:40 GMT 2021","11079","Contract: AccessControl","renouncing","with granted role","","","a role can be renounced multiple times",""
"passed","Fri Dec 24 10:06:08 GMT 2021","Fri Dec 24 10:06:11 GMT 2021","2785","Contract: AccessControl","default admin","","","","default admin role's admin is itself",""
"passed","Fri Dec 24 11:09:08 GMT 2021","Fri Dec 24 11:09:23 GMT 2021","14805","Contract: ERC721Enumerable","with minted tokens","tokenOfOwnerByIndex > after transferring all tokens to another user","","","returns empty collection for original owner",""
"passed","Fri Dec 24 10:16:38 GMT 2021","Fri Dec 24 10:16:39 GMT 2021","204","Contract: SignatureChecker (ERC1271)","EOA account","","","","with invalid signature",""
"passed","Fri Dec 24 10:07:25 GMT 2021","Fri Dec 24 10:07:29 GMT 2021","3947","Contract: ERC1155","like an ERC1155","balanceOfBatch","","","reverts when input arrays don't match up",""
"broken","Fri Dec 24 10:19:21 GMT 2021","Fri Dec 24 10:20:07 GMT 2021","45119","Contract: GovernorTimelockControl","executed by other proposer","","","","run",""
"passed","Fri Dec 24 10:17:08 GMT 2021","Fri Dec 24 10:17:12 GMT 2021","3901","Contract: Escrow","as an escrow","deposits","","","emits a deposited event",""
"passed","Fri Dec 24 10:39:14 GMT 2021","Fri Dec 24 10:39:37 GMT 2021","22777","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a valid receiver contract > when called by the owner without an approved user","","","transfers the ownership of the given token ID to the given address",""
"passed","Fri Dec 24 10:09:54 GMT 2021","Fri Dec 24 10:10:06 GMT 2021","12291","Contract: ERC1155PresetMinterPauser","minting","","","","deployer can mint tokens",""
"skipped","Fri Dec 24 10:12:42 GMT 2021","Fri Dec 24 10:12:42 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"passed","Fri Dec 24 10:11:32 GMT 2021","Fri Dec 24 10:11:36 GMT 2021","4120","Contract: ERC20","decrease allowance","when the spender is not the zero address > when the sender has enough balance > when the spender had an approved amount","","","reverts when more than the full allowance is removed",""
"passed","Fri Dec 24 10:10:03 GMT 2021","Fri Dec 24 10:10:18 GMT 2021","15393","Contract: ERC20Pausable","pausable token","transfer from","","","allows to transfer when paused and then unpaused",""
"passed","Fri Dec 24 10:16:36 GMT 2021","Fri Dec 24 10:17:08 GMT 2021","31719","Contract: GovernorTimelockControl","Contract interface","GovernorTimelock > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Fri Dec 24 10:13:22 GMT 2021","Fri Dec 24 10:13:28 GMT 2021","5752","Contract: ERC1155","like an ERC1155","safeBatchTransferFrom","","","reverts when transferring to zero address",""
"passed","Fri Dec 24 10:11:37 GMT 2021","Fri Dec 24 10:11:47 GMT 2021","10108","Contract: TokenTimelock","with token","once deployed","","","cannot be released before time limit",""
"passed","Fri Dec 24 11:05:59 GMT 2021","Fri Dec 24 11:06:03 GMT 2021","3783","Contract: ERC721Enumerable","_mint(address, uint256)","with minted token","","","reverts when adding a token id that already exists",""
"passed","Fri Dec 24 10:59:31 GMT 2021","Fri Dec 24 10:59:44 GMT 2021","12922","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > to a receiver contract that reverts without message","","","reverts",""
