"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 27 13:26:17 GMT 2021","Mon Dec 27 13:26:17 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"passed","Mon Dec 27 13:26:13 GMT 2021","Mon Dec 27 13:26:13 GMT 2021","1","Ethers.js","","","","","testSigner",""
"broken","Mon Dec 27 13:25:01 GMT 2021","Mon Dec 27 13:25:01 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"passed","Mon Dec 27 13:26:58 GMT 2021","Mon Dec 27 13:27:20 GMT 2021","22164","tests.truffle","test_truffle","","","","test_truffle_test",""
"broken","Mon Dec 27 13:25:01 GMT 2021","Mon Dec 27 13:25:01 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"failed","Mon Dec 27 13:25:43 GMT 2021","Mon Dec 27 13:26:01 GMT 2021","18292","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Mon Dec 27 13:25:01 GMT 2021","Mon Dec 27 13:25:01 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"passed","Mon Dec 27 13:26:19 GMT 2021","Mon Dec 27 13:26:19 GMT 2021","5","ethjs","","","","","Connection test (js)",""
"broken","Mon Dec 27 13:25:03 GMT 2021","Mon Dec 27 13:25:03 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"broken","Mon Dec 27 13:25:03 GMT 2021","Mon Dec 27 13:25:03 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"passed","Mon Dec 27 13:26:18 GMT 2021","Mon Dec 27 13:26:19 GMT 2021","953","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"broken","Mon Dec 27 13:25:01 GMT 2021","Mon Dec 27 13:25:01 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Mon Dec 27 13:25:03 GMT 2021","Mon Dec 27 13:25:03 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Mon Dec 27 13:26:13 GMT 2021","Mon Dec 27 13:26:15 GMT 2021","1795","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Mon Dec 27 13:26:17 GMT 2021","Mon Dec 27 13:26:17 GMT 2021","447","Ethers.js","","","","","testQueryHistoricEvents",""
"failed","Mon Dec 27 13:26:20 GMT 2021","Mon Dec 27 13:26:36 GMT 2021","16428","tests.truffle","test_truffle","","","","test_truffle_migration",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"broken","Mon Dec 27 13:24:54 GMT 2021","Mon Dec 27 13:24:59 GMT 2021","4166","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"failed","Mon Dec 27 13:26:01 GMT 2021","Mon Dec 27 13:26:20 GMT 2021","18376","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"broken","Mon Dec 27 13:25:03 GMT 2021","Mon Dec 27 13:25:03 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"broken","Mon Dec 27 13:25:00 GMT 2021","Mon Dec 27 13:25:00 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"broken","Mon Dec 27 13:26:15 GMT 2021","Mon Dec 27 13:26:16 GMT 2021","1323","Ethers.js","","","","","testWritingToTheBlockchain",""
"passed","Mon Dec 27 13:26:11 GMT 2021","Mon Dec 27 13:26:12 GMT 2021","1458","Ethers.js","","","","","shouldCountTransactions",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"passed","Mon Dec 27 13:26:16 GMT 2021","Mon Dec 27 13:26:16 GMT 2021","5","Ethers.js","","","","","testContracts",""
"broken","Mon Dec 27 13:25:03 GMT 2021","Mon Dec 27 13:25:03 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"broken","Mon Dec 27 13:25:05 GMT 2021","Mon Dec 27 13:25:05 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"broken","Mon Dec 27 13:26:16 GMT 2021","Mon Dec 27 13:26:17 GMT 2021","871","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Mon Dec 27 13:25:03 GMT 2021","Mon Dec 27 13:25:03 GMT 2021","0","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
