"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 16 20:53:48 GMT 2021","Thu Dec 16 20:53:50 GMT 2021","2339","Contract: AccessControl","default admin","","","","default admin role's admin is itself",""
"passed","Thu Dec 16 21:05:08 GMT 2021","Thu Dec 16 21:05:13 GMT 2021","4827","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when sent to the owner","","","keeps the owner balance",""
"passed","Thu Dec 16 20:47:46 GMT 2021","Thu Dec 16 20:47:49 GMT 2021","2286","Contract: MinimalForwarder","with message","verify > invalid signature","","","tampered nonce",""
"passed","Thu Dec 16 20:54:54 GMT 2021","Thu Dec 16 20:55:02 GMT 2021","7645","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when called by the approved individual","","","adjusts owners balances",""
"failed","Thu Dec 16 20:57:05 GMT 2021","Thu Dec 16 20:57:09 GMT 2021","3710","Contract: Clones","cloneDeterministic","initialization without parameters > payable > when not sending balance","","","has expected balance",""
"passed","Thu Dec 16 21:19:33 GMT 2021","Thu Dec 16 21:19:35 GMT 2021","1892","Contract: ERC1155","like an ERC1155","Contract interface > ERC165 > ERC165's supportsInterface(bytes4)","","","uses less than 30k gas [skip-on-coverage]",""
"passed","Thu Dec 16 21:02:55 GMT 2021","Thu Dec 16 21:03:01 GMT 2021","5600","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a user account > when called by the owner","","","adjusts owners balances",""
"passed","Thu Dec 16 20:57:25 GMT 2021","Thu Dec 16 20:57:29 GMT 2021","4063","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > with data > to a user account > when the given token ID does not exist","","","reverts",""
"passed","Thu Dec 16 20:52:55 GMT 2021","Thu Dec 16 20:52:59 GMT 2021","4005","Contract: ERC20","increase allowance","when the spender is not the zero address > when the sender does not have enough balance","","","emits an approval event",""
"passed","Thu Dec 16 20:57:56 GMT 2021","Thu Dec 16 20:57:58 GMT 2021","2676","Contract: ERC20PresetMinterPauser","","","","","deployer has the minter role",""
"passed","Thu Dec 16 21:09:07 GMT 2021","Thu Dec 16 21:09:14 GMT 2021","6149","Contract: ERC721Enumerable","with minted tokens","transfers > via safeTransferFrom > without data > to a valid receiver contract > when the sender is not authorized for the token id","","","reverts",""
"passed","Thu Dec 16 20:50:08 GMT 2021","Thu Dec 16 20:50:10 GMT 2021","1988","Contract: Arrays","findUpperBound","Odd number of elements","","","returns first index after last element if searched value is over the upper boundary",""
